PricebookEntryId,ContributingProductId,DerivedPricingScope,Formula,PricingSource,CurrencyIsoCode,EffectiveFrom,EffectiveTo,Legacy_Rule_Id__c
01uWC000005wt7mYAA,01tWC00000DD15sYAD,Both,UnitPrice,Product,USD,2026-04-01T00:00:00.000+0000,2099-12-31T00:00:00.000+0000,SC3372BACKFILL
01uWC000005wt7sYAA,01tWC00000DD16RYAT,Both,UnitPrice,Product,USD,2026-04-01T00:00:00.000+0000,2099-12-31T00:00:00.000+0000,SC3372BACKFILL
01uWC000005wt7nYAA,01tWC00000DD15xYAD,Both,UnitPrice,Product,USD,2026-04-01T00:00:00.000+0000,2099-12-31T00:00:00.000+0000,SC3372BACKFILL
01uWC000005wt7pYAA,01tWC00000DD167YAD,Both,UnitPrice,Product,USD,2026-04-01T00:00:00.000+0000,2099-12-31T00:00:00.000+0000,SC3372BACKFILL
01uWC000005wt7xYAA,01tWC00000DD1BOYA1,Both,UnitPrice,Product,USD,2026-04-01T00:00:00.000+0000,2099-12-31T00:00:00.000+0000,SC3372BACKFILL
01uWC000005wsyoYAA,01tWC00000DD1ICYA1,Both,UnitPrice,Product,USD,2026-04-01T00:00:00.000+0000,2099-12-31T00:00:00.000+0000,SC3372BACKFILL
01uWC000005wt8CYAQ,01tWC00000DD1IaYAL,Both,UnitPrice,Product,USD,2026-04-01T00:00:00.000+0000,2099-12-31T00:00:00.000+0000,SC3372BACKFILL
01uWC000005wt8mYAA,01tWC00000DD1pAYAT,Both,UnitPrice,Product,USD,2026-04-01T00:00:00.000+0000,2099-12-31T00:00:00.000+0000,SC3372BACKFILL
01uWC000005wt8fYAA,01tWC00000DD1ocYAD,Both,UnitPrice,Product,USD,2026-04-01T00:00:00.000+0000,2099-12-31T00:00:00.000+0000,SC3372BACKFILL
01uWC000005wt8jYAA,01tWC00000DD1osYAD,Both,UnitPrice,Product,USD,2026-04-01T00:00:00.000+0000,2099-12-31T00:00:00.000+0000,SC3372BACKFILL
01uWC000005wsydYAA,01tWC00000DD16EYAT,Both,UnitPrice,Product,USD,2026-04-01T00:00:00.000+0000,2099-12-31T00:00:00.000+0000,SC3372BACKFILL
01uWC000005wsygYAA,01tWC00000DD16MYAT,Both,UnitPrice,Product,USD,2026-04-01T00:00:00.000+0000,2099-12-31T00:00:00.000+0000,SC3372BACKFILL
01uWC000005wsyZYAQ,01tWC00000DD15sYAD,Both,UnitPrice,Product,USD,2026-04-01T00:00:00.000+0000,2099-12-31T00:00:00.000+0000,SC3372BACKFILL
01uWC000005wsyhYAA,01tWC00000DD16RYAT,Both,UnitPrice,Product,USD,2026-04-01T00:00:00.000+0000,2099-12-31T00:00:00.000+0000,SC3372BACKFILL
01uWC000005wsyaYAA,01tWC00000DD15xYAD,Both,UnitPrice,Product,USD,2026-04-01T00:00:00.000+0000,2099-12-31T00:00:00.000+0000,SC3372BACKFILL
01uWC000005wsycYAA,01tWC00000DD167YAD,Both,UnitPrice,Product,USD,2026-04-01T00:00:00.000+0000,2099-12-31T00:00:00.000+0000,SC3372BACKFILL
01uWC000005wsykYAA,01tWC00000DD1BWYA1,Both,UnitPrice,Product,USD,2026-04-01T00:00:00.000+0000,2099-12-31T00:00:00.000+0000,SC3372BACKFILL
01uWC000005wsyjYAA,01tWC00000DD1BOYA1,Both,UnitPrice,Product,USD,2026-04-01T00:00:00.000+0000,2099-12-31T00:00:00.000+0000,SC3372BACKFILL
01uWC000005wsynYAA,01tWC00000DD1ICYA1,Both,UnitPrice,Product,USD,2026-04-01T00:00:00.000+0000,2099-12-31T00:00:00.000+0000,SC3372BACKFILL
01uWC000005wsytYAA,01tWC00000DD1IaYAL,Both,UnitPrice,Product,USD,2026-04-01T00:00:00.000+0000,2099-12-31T00:00:00.000+0000,SC3372BACKFILL
01uWC000005wt5iYAA,01tWC00000DCwWVYA1,Both,UnitPrice,Product,USD,2026-04-01T00:00:00.000+0000,2099-12-31T00:00:00.000+0000,SC3372BACKFILL
01uWC000005wsyBYAQ,01tWC00000DD1osYAD,Both,UnitPrice,Product,USD,2026-04-01T00:00:00.000+0000,2099-12-31T00:00:00.000+0000,SC3372BACKFILL
01uWC000005wsyDYAQ,01tWC00000DD1pAYAT,Both,UnitPrice,Product,USD,2026-04-01T00:00:00.000+0000,2099-12-31T00:00:00.000+0000,SC3372BACKFILL
01uWC000005wt5JYAQ,01tWC00000DD1ocYAD,Both,UnitPrice,Product,USD,2026-04-01T00:00:00.000+0000,2099-12-31T00:00:00.000+0000,SC3372BACKFILL
