67.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
19:56:16.0 (813075)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
19:56:16.0 (920832)|EXECUTION_STARTED
19:56:16.0 (954762)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
19:56:16.0 (1689497)|CODE_UNIT_FINISHED|Flow:Quote
19:56:16.0 (1717671)|EXECUTION_FINISHED
19:56:16.9 (9773674)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
19:56:16.9 (9812391)|EXECUTION_STARTED
19:56:16.9 (9836836)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
19:56:16.9 (9867240)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
19:56:16.9 (9928033)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
19:56:16.9 (10079609)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
19:56:16.9 (11276040)|HEAP_ALLOCATE|[95]|Bytes:3
19:56:16.9 (11336500)|HEAP_ALLOCATE|[100]|Bytes:152
19:56:16.9 (11351263)|HEAP_ALLOCATE|[417]|Bytes:408
19:56:16.9 (11362743)|HEAP_ALLOCATE|[430]|Bytes:408
19:56:16.9 (11382920)|HEAP_ALLOCATE|[317]|Bytes:6
19:56:16.9 (11406629)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
19:56:16.9 (11439426)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
19:56:16.9 (11578229)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x75912a99
19:56:16.9 (11622656)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
19:56:16.9 (11636083)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
19:56:16.9 (11646134)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x75912a99
19:56:16.9 (11658129)|STATEMENT_EXECUTE|[4]
19:56:16.9 (11677168)|HEAP_ALLOCATE|[68]|Bytes:5
19:56:16.9 (11703959)|HEAP_ALLOCATE|[74]|Bytes:5
19:56:16.9 (11709954)|HEAP_ALLOCATE|[82]|Bytes:7
19:56:16.9 (11747109)|STATEMENT_EXECUTE|[5]
19:56:16.9 (11748872)|STATEMENT_EXECUTE|[6]
19:56:16.9 (17721127)|VARIABLE_SCOPE_BEGIN|[9]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|String|false|true
19:56:16.9 (17745487)|VARIABLE_SCOPE_BEGIN|[8]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|String|false|true
19:56:16.9 (17801946)|HEAP_ALLOCATE|[6]|Bytes:5
19:56:16.9 (17811793)|HEAP_ALLOCATE|[6]|Bytes:5
19:56:16.9 (17855547)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|"Renew"
19:56:16.9 (17859211)|HEAP_ALLOCATE|[6]|Bytes:7
19:56:16.9 (17863594)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|"Renewal"
19:56:16.9 (17914482)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.QuoteRenewalTypeHandler()
19:56:16.9 (17922621)|STATEMENT_EXECUTE|[6]
19:56:16.9 (17930844)|STATEMENT_EXECUTE|[6]
19:56:16.9 (19013117)|SYSTEM_MODE_ENTER|false
19:56:16.9 (19446234)|HEAP_ALLOCATE|[6]|Bytes:5
19:56:16.9 (19473003)|SYSTEM_MODE_EXIT|false
19:56:16.9 (19503251)|METHOD_EXIT|[6]|QuoteRenewalTypeHandler
19:56:16.9 (19559615)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.applyRenewalQuoteType(List<Quote>)
19:56:16.9 (19613487)|VARIABLE_SCOPE_BEGIN|[11]|quotes|List<Quote>|true|false
