Id,Product2Id,Product2.Name,Product2.ProductCode,Product2.Family,Product2.IsActive,Pricebook2Id,Pricebook2.Name,CurrencyIsoCode,UnitPrice,IsActive
01uWC000005mZ7bYAE,01tWC00000DD1BRYA1,Device Profiler Ev Express-NewMaintenance,FIM-FIM-RNM-DPEENM,New Maintenance,true,01sWC000001yExBYAU,Fortra Derived Pricing,USD,0,true
01uWC000005mZ7cYAE,01tWC00000DD1BTYA1,Device Profiler Ev Express-RenewalMaintenance,FIM-FIM-RRM-DPEERM,Renewal Maintenance,true,01sWC000001yExBYAU,Fortra Derived Pricing,USD,0,true
01uWC000005pESkYAM,01tWC00000DD1OHYA1,GoAnywhere Premium Bundle-RenewalMaintenance,GOA-GAM-RRM-GAPBRM,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pESqYAM,01tWC00000DD1OMYA1,GoAnywhere Secure Folders-NewMaintenance,GOA-GAM-RNM-GASFNM,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pESwYAM,01tWC00000DD1OOYA1,GoAnywhere Secure Folders-RenewalMaintenance,GOA-GAM-RRM-GASFRM,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pET2YAM,01tWC00000DD1OQYA1,GoAnywhere Secure Forms-NewMaintenance,GOA-GAM-RNM-GASM,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pET8YAM,01tWC00000DD1OSYA1,GoAnywhere Secure Forms-RenewalMaintenance,GOA-GAM-RRM-GOANS,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pETEYA2,01tWC00000DD1OUYA1,GoAnywhere Secure Mail-NewMaintenance,GOA-GAM-RNM-GASMNM,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pETKYA2,01tWC00000DD1OWYA1,GoAnywhere Secure Mail-RenewalMaintenance,GOA-GAM-RRM-GASMRM,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pETQYA2,01tWC00000DD1OYYA1,GoAnywhere Security Domains-NewMaintenance,GOA-GAM-RNM-GASDNM,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pETWYA2,01tWC00000DD1OaYAL,GoAnywhere Security Domains-RenewalMaintenance,GOA-GAM-RRM-GASDRM,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pETcYAM,01tWC00000DD1OdYAL,GoAnywhere Services (legacy)-NewMaintenance,GOA-GAM-RNM-GASLNM,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pETiYAM,01tWC00000DD1OfYAL,GoAnywhere Services (legacy)-RenewalMaintenance,GOA-GAM-RRM-GASLRM,Renewal Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
01uWC000005pEToYAM,01tWC00000DD1OgYAL,GoAnywhere SFTP Server-NewMaintenance,GOA-GAM-RNM-GASSNM,New Maintenance,true,01sa5000001vuxlAAA,Standard Price Book,USD,0,true
