Id,PricebookEntryId,ContributingProductId,ProductId,ProductSellingModelId,DerivedPricingScope,Formula,PricingSource,CurrencyIsoCode,PricebookId
182WC000000FMufYAG,01uWC000005wt7yYAA,01tWC00000DD1BUYA1,01tWC00000DD1BRYA1,0jPWC00000005yz2AA,Both,ListPrice,Product,USD,01sWC0000022GHFYA2
182WC000000FN17YAG,01uWC000005wt7rYAA,01tWC00000DD16KYAT,01tWC00000DD16NYAT,0jPWC000000060b2AA,Both,UnitPrice,Product,USD,01sWC0000022GHFYA2
182WC000000FN18YAG,01uWC000005wt7zYAA,01tWC00000DD1BUYA1,01tWC00000DD1BTYA1,0jPWC000000060b2AA,Both,UnitPrice,Product,USD,01sWC0000022GHFYA2
182WC000000FN19YAG,01uWC000005wsy8YAA,01tWC00000DCyyGYAT,01tWC00000DD1tcYAD,0jPWC00000005yz2AA,Both,UnitPrice,Product,USD,01sWC0000022GHFYA2
182WC000000FN1AYAW,01uWC000005wsyHYAQ,01tWC00000DD1pUYAT,01tWC00000DD1pTYAT,0jPWC00000005yz2AA,Both,UnitPrice,Product,USD,01sWC0000022GHFYA2
182WC000000FN1BYAW,01uWC000005wt5pYAA,01tWC00000DCyyCYAT,01tWC00000DCyyBYAT,0jPWC00000005yz2AA,Both,UnitPrice,Product,USD,01sWC0000022GHFYA2
182WC000000FN1CYAW,01uWC000005wsn0YAA,01tWC00000DD1pNYAT,01tWC00000DD1pMYAT,0jPWC00000005yz2AA,Both,UnitPrice,Product,USD,01sWC0000022GHFYA2
182WC000000FN1DYAW,01uWC000005wt5rYAA,01tWC00000DCyyLYAT,01tWC00000DCyyKYAT,0jPWC00000005yz2AA,Both,UnitPrice,Product,USD,01sWC0000022GHFYA2
182WC000000FN1EYAW,01uWC000005wsyGYAQ,01tWC00000DD1pQYAT,01tWC00000DD1pPYAT,0jPWC00000005yz2AA,Both,UnitPrice,Product,USD,01sWC0000022GHFYA2
182WC000000FN1FYAW,01uWC000005wt5qYAA,01tWC00000DD1otYAD,01tWC00000DCyyIYAT,0jPWC00000005yz2AA,Both,UnitPrice,Product,USD,01sWC0000022GHFYA2
182WC000000FN1GYAW,01uWC000005wt59YAA,01tWC00000DD1n9YAD,01tWC00000DD1n7YAD,0jPWC00000005yz2AA,Both,UnitPrice,Product,USD,01sWC0000022GHFYA2
182WC000000FN1HYAW,01uWC000005wsyFYAQ,01tWC00000DD1pHYAT,01tWC00000DD1pGYAT,0jPWC00000005yz2AA,Both,UnitPrice,Product,USD,01sWC0000022GHFYA2
182WC000000FN1IYAW,01uWC000005wsyCYAQ,01tWC00000DD1p3YAD,01tWC00000DD1p2YAD,0jPWC00000005yz2AA,Both,UnitPrice,Product,USD,01sWC0000022GHFYA2
182WC000000FN1JYAW,01uWC000005wsjIYAQ,01tWC00000DCxmOYAT,01tWC00000DCxmNYAT,0jPWC00000005yz2AA,Both,UnitPrice,Product,USD,01sWC0000022GHFYA2
182WC000000FN1KYAW,01uWC000005wqfBYAQ,01tWC00000DD1p0YAD,01tWC00000DD1ozYAD,0jPWC00000005yz2AA,Both,UnitPrice,Product,USD,01sWC0000022GHFYA2
