67.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
09:15:44.1 (1987852)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
09:15:44.1 (2099949)|EXECUTION_STARTED
09:15:44.1 (2120969)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
09:15:44.1 (2969503)|CODE_UNIT_FINISHED|Flow:Quote
09:15:44.1 (2998944)|EXECUTION_FINISHED
09:15:44.44 (44153529)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
09:15:44.44 (44170747)|EXECUTION_STARTED
09:15:44.44 (44178839)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
09:15:44.44 (44208796)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
09:15:44.44 (44253268)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
09:15:44.44 (44392822)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
09:15:44.44 (45043943)|HEAP_ALLOCATE|[95]|Bytes:3
09:15:44.44 (45122537)|HEAP_ALLOCATE|[100]|Bytes:152
09:15:44.44 (45135380)|HEAP_ALLOCATE|[417]|Bytes:408
09:15:44.44 (45145065)|HEAP_ALLOCATE|[430]|Bytes:408
09:15:44.44 (45162926)|HEAP_ALLOCATE|[317]|Bytes:6
09:15:44.44 (45184378)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
09:15:44.44 (45200558)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
09:15:44.44 (45315881)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x748f1247
09:15:44.44 (45353724)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
09:15:44.44 (45358035)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
09:15:44.44 (45364658)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x748f1247
09:15:44.44 (45371842)|STATEMENT_EXECUTE|[4]
09:15:44.44 (45387808)|HEAP_ALLOCATE|[68]|Bytes:5
09:15:44.44 (45439212)|HEAP_ALLOCATE|[74]|Bytes:5
09:15:44.44 (45444547)|HEAP_ALLOCATE|[82]|Bytes:7
09:15:44.44 (45471481)|STATEMENT_EXECUTE|[5]
09:15:44.44 (45472354)|STATEMENT_EXECUTE|[6]
09:15:44.44 (60687735)|VARIABLE_SCOPE_BEGIN|[9]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|String|false|true
09:15:44.44 (60710771)|VARIABLE_SCOPE_BEGIN|[8]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|String|false|true
09:15:44.44 (60776368)|HEAP_ALLOCATE|[6]|Bytes:5
09:15:44.44 (60784707)|HEAP_ALLOCATE|[6]|Bytes:5
09:15:44.44 (60813297)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|"Renew"
09:15:44.44 (60816548)|HEAP_ALLOCATE|[6]|Bytes:7
09:15:44.44 (60819831)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|"Renewal"
