67.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
09:29:08.1 (1814221)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
09:29:08.1 (1914783)|EXECUTION_STARTED
09:29:08.1 (1957719)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
09:29:08.1 (2917918)|CODE_UNIT_FINISHED|Flow:Quote
09:29:08.1 (2973490)|EXECUTION_FINISHED
09:29:08.16 (16194732)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
09:29:08.16 (16286449)|EXECUTION_STARTED
09:29:08.16 (16325909)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
09:29:08.16 (16380246)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
09:29:08.16 (16438535)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
09:29:08.16 (16601006)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
09:29:08.16 (17243295)|HEAP_ALLOCATE|[95]|Bytes:3
09:29:08.16 (17330829)|HEAP_ALLOCATE|[100]|Bytes:152
09:29:08.16 (17406707)|HEAP_ALLOCATE|[417]|Bytes:408
09:29:08.16 (17482274)|HEAP_ALLOCATE|[430]|Bytes:408
09:29:08.16 (17585842)|HEAP_ALLOCATE|[317]|Bytes:6
09:29:08.16 (17620262)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
09:29:08.16 (17849084)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
09:29:08.16 (18004222)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x37934502
09:29:08.16 (18082911)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
09:29:08.16 (18108957)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
09:29:08.16 (18152918)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x37934502
09:29:08.16 (18164873)|STATEMENT_EXECUTE|[4]
09:29:08.16 (18195100)|HEAP_ALLOCATE|[68]|Bytes:5
09:29:08.16 (18243494)|HEAP_ALLOCATE|[74]|Bytes:5
09:29:08.16 (18265257)|HEAP_ALLOCATE|[82]|Bytes:7
09:29:08.16 (18328263)|STATEMENT_EXECUTE|[5]
09:29:08.16 (18333509)|STATEMENT_EXECUTE|[6]
