67.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
09:29:14.1 (1057217)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
09:29:14.1 (1188737)|EXECUTION_STARTED
09:29:14.1 (1235331)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
09:29:14.1 (2068604)|CODE_UNIT_FINISHED|Flow:Quote
09:29:14.1 (2106599)|EXECUTION_FINISHED
09:29:14.10 (10577804)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
09:29:14.10 (10617486)|EXECUTION_STARTED
09:29:14.10 (10638527)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
09:29:14.10 (10697999)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
09:29:14.10 (10776603)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
09:29:14.10 (10923293)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
09:29:14.10 (12596111)|HEAP_ALLOCATE|[95]|Bytes:3
09:29:14.10 (12722872)|HEAP_ALLOCATE|[100]|Bytes:152
09:29:14.10 (12793402)|HEAP_ALLOCATE|[417]|Bytes:408
09:29:14.10 (12857915)|HEAP_ALLOCATE|[430]|Bytes:408
09:29:14.10 (12941220)|HEAP_ALLOCATE|[317]|Bytes:6
09:29:14.10 (12974475)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
09:29:14.10 (13023608)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
09:29:14.10 (13180737)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x2d51db0e
09:29:14.10 (13257662)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
09:29:14.10 (13272168)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
09:29:14.10 (13297339)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x2d51db0e
09:29:14.10 (13318316)|STATEMENT_EXECUTE|[4]
09:29:14.10 (13347353)|HEAP_ALLOCATE|[68]|Bytes:5
09:29:14.10 (13394382)|HEAP_ALLOCATE|[74]|Bytes:5
09:29:14.10 (13417396)|HEAP_ALLOCATE|[82]|Bytes:7
09:29:14.10 (13479353)|STATEMENT_EXECUTE|[5]
09:29:14.10 (13484549)|STATEMENT_EXECUTE|[6]
09:29:14.10 (23335897)|VARIABLE_SCOPE_BEGIN|[9]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|String|false|true
09:29:14.10 (23422908)|VARIABLE_SCOPE_BEGIN|[8]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|String|false|true
09:29:14.10 (23519711)|HEAP_ALLOCATE|[6]|Bytes:5
09:29:14.10 (23545659)|HEAP_ALLOCATE|[6]|Bytes:5
09:29:14.10 (23629179)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|"Renew"
09:29:14.10 (23639916)|HEAP_ALLOCATE|[6]|Bytes:7
09:29:14.10 (23663052)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|"Renewal"
09:29:14.10 (23720715)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.QuoteRenewalTypeHandler()
09:29:14.10 (23741393)|STATEMENT_EXECUTE|[6]
09:29:14.10 (23759749)|STATEMENT_EXECUTE|[6]
09:29:14.10 (25137227)|SYSTEM_MODE_ENTER|false
09:29:14.10 (25762678)|HEAP_ALLOCATE|[6]|Bytes:5
09:29:14.10 (25851529)|SYSTEM_MODE_EXIT|false
09:29:14.10 (25913431)|METHOD_EXIT|[6]|QuoteRenewalTypeHandler
09:29:14.10 (25997324)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.applyRenewalQuoteType(List<Quote>)
