67.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
09:29:20.1 (1140640)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
09:29:20.1 (1245683)|EXECUTION_STARTED
09:29:20.1 (1296392)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
09:29:20.1 (2178042)|CODE_UNIT_FINISHED|Flow:Quote
09:29:20.1 (2220848)|EXECUTION_FINISHED
09:29:20.10 (10260803)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
09:29:20.10 (10299122)|EXECUTION_STARTED
09:29:20.10 (10327357)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
09:29:20.10 (10384371)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
09:29:20.10 (10446485)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
09:29:20.10 (10563291)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
09:29:20.10 (11867404)|HEAP_ALLOCATE|[95]|Bytes:3
09:29:20.10 (11967079)|HEAP_ALLOCATE|[100]|Bytes:152
09:29:20.10 (12022668)|HEAP_ALLOCATE|[417]|Bytes:408
09:29:20.10 (12084968)|HEAP_ALLOCATE|[430]|Bytes:408
09:29:20.10 (12230606)|HEAP_ALLOCATE|[317]|Bytes:6
09:29:20.10 (12266177)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
09:29:20.10 (12322934)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
09:29:20.10 (12467529)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x4086b97c
09:29:20.10 (12538948)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
09:29:20.10 (12555755)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
09:29:20.10 (12581981)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x4086b97c
09:29:20.10 (12603043)|STATEMENT_EXECUTE|[4]
09:29:20.10 (12651385)|HEAP_ALLOCATE|[68]|Bytes:5
09:29:20.10 (12705654)|HEAP_ALLOCATE|[74]|Bytes:5
09:29:20.10 (12725877)|HEAP_ALLOCATE|[82]|Bytes:7
09:29:20.10 (12797714)|STATEMENT_EXECUTE|[5]
09:29:20.10 (12803425)|STATEMENT_EXECUTE|[6]
09:29:20.10 (19007704)|VARIABLE_SCOPE_BEGIN|[9]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|String|false|true
09:29:20.10 (19045795)|VARIABLE_SCOPE_BEGIN|[8]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|String|false|true
09:29:20.10 (19106382)|HEAP_ALLOCATE|[6]|Bytes:5
09:29:20.10 (19130728)|HEAP_ALLOCATE|[6]|Bytes:5
09:29:20.10 (19182721)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|"Renew"
09:29:20.10 (19190308)|HEAP_ALLOCATE|[6]|Bytes:7
09:29:20.10 (19204405)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|"Renewal"
09:29:20.10 (19237443)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.QuoteRenewalTypeHandler()
09:29:20.10 (19255842)|STATEMENT_EXECUTE|[6]
09:29:20.10 (19292310)|STATEMENT_EXECUTE|[6]
09:29:20.10 (20332086)|SYSTEM_MODE_ENTER|false
09:29:20.10 (20720328)|HEAP_ALLOCATE|[6]|Bytes:5
09:29:20.10 (20770121)|SYSTEM_MODE_EXIT|false
09:29:20.10 (20826168)|METHOD_EXIT|[6]|QuoteRenewalTypeHandler
09:29:20.10 (20889575)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.applyRenewalQuoteType(List<Quote>)
09:29:20.10 (20967292)|VARIABLE_SCOPE_BEGIN|[11]|quotes|List<Quote>|true|false
09:29:20.10 (48191415)|VARIABLE_ASSIGNMENT|[11]|quotes|[{"LastModifiedDate":"2026-06-13T02:39:04.000Z","Quote_Type__c":"Renewal","Bill_To_Place__c":"a0lWC000004n3DlYAI","Export_Compliance_Status__c":"Pending","Net_Terms_Approval__c":false,"Exchange_Rate_To_USD__c":1.0000000000,"Export_Review_Required__c":false,"Within_Renewal_Window__c":false,"IsPrimary__c":false,"Credit_Renewal_Approval__c":false,"Days_Until_Renewal__c":361,"Renewal_Contract__c":"800WC00000S5ub1YAB","QuoteAccountId":"001WC00000kTYyNYAW","Pro_Ration_Method__c":"Monthly","Renewal_ARR_Approval__c":false,"Status":"Draft","Show_Hide_Discounts__c":"Show","IsDeleted":false,"Subtotal":0.00,"Force_New_Contract__c":false,"Net_Contract_Change__c":0.00,"Signed_Quote_Approval__c":false,"Terms_and_Conditions__c":false,"Payment_Portal__c":"Fortra (default)","Original_Contract_ARR__c":0.00,"BillingStateCode":"MN","GrandTotal":0.00,"ShippingPostalCode":"55344","ShippingState":"Minnesota","Mycap__c":false,"Deal_Type__c":"Fortra Originated","Id":"0Q0WC0000037XvB0AU","Subscription_Pricing_Discount_Approval__c":false,"Net_Terms__c":"Net_30","Discount":0.00,"Services_Discount_Approval__c":false,"Total_Contract_Value_TCV__c":0.00,"LineItemCount":1,"OwnerId":"005WC00000DZ6xVYAT","OpportunityId":"006WC00000QqAqjYAF","LegalEntityId":"0fwWC000000034LYAQ","Language__c":"English","ShippingCity":"Eden Prairie","GSW__c":false,"Manually_Sent__c":false,"CalculationStatus":"Saving","Corporate_Currency_Amount__c":0.00,"Annual_Contract_Value_ACV__c":0.00,"Max_Discount_on_QLIs__c":0.00,"Quote_Displaced_ARR__c":0.00,"OriginalActionType":"Renew","Ship_To_Place__c":"a0lWC000004n3DlYAI","Show_Hide_Product_Number__c":"Show","SystemModstamp":"2026-06-13T02:39:04.000Z","Create_Order_from_Quote__c":false,"BillingCountry":"United States","Manual_Discount__c":0.00,"QuoteToCountryCode":"US","TotalPrice":0.00,"AdditionalCountryCode":"US","Legal_Support_Approval__c":false,"AccountId":"001WC00000kTYyNYAW","ShippingStateCode":"MN","BillingCity":"Eden Prairie","QuoteToCountry":"United States","Total_Discount_Amount__c":0.00,"MYCAP_Approval__c":false,"Name":"Renewal Quote","License_Extension_Approval__c":false,"StartDate":"2026-06-10T00:00:00.000Z","CreatedById":"005WC00000DZ6xVYAT","Auto_Renewal__c":false,"Channel_MSP_Pricing_Discount_Approval__c":false,"BillingPostalCode":"55344","Annualized_License_Equivalent_Base__c":0.00,"Show_Hide_Free_Products__c":"Show","Maintenance_Max_Discount__c":0.00,"Total_Displaced_ARR__c":0.00,"CurrencyIsoCode":"USD","LegacyRenewalQuote__c":false,"Credit_Renewal_ARR__c":false,"ShippingStreet":"11095 Viking Drive,  (9 more) ...","Annuial_Revenue_Base__c":0.00,"AdditionalCountry":"United States","Total_Quote_Line_ARR__c":0.00,"CreatedDate":"2026-06-10T19:33:47.000Z","Pricebook2Id":"01sWC0000022GHFYA2","IsSyncing":false,"Renewal_Cancellation_Approval__c":false,"BillingState":"Minnesota","TransactionType":"Fortra_Advanced_Pric (3 more) ...","Discount_Renewal_ARR__c":false,"Contains_Offensive_Security__c":false,"BillingCountryCode":"US","Temp_License_Key_Extension__c":false,"Disable_Export_Control__c":false,"ContactId":"003WC00000wxDZJYA2","PartnerAccountId":"001WC00000ZtazZYAR","Export_License_Required__c":false,"Billing_Partner__c":"001WC00000ZtazZYAR","SalesTransactionTypeId":"1ChWC0000002eJ70AI","Maintenance_Discount_Approval__c":false,"Partner_Pricing_Model__c":"Discount","ShippingCountry":"United States","LineGroupCount":0,"Approval_Status__c":"None","Unsigned_Quote_Approval__c":false,"ContractId":"800WC00000S5ub1YAB","BillToContactId":"003WC00000wxDZJYA2","QuoteTypeText__c":"Renewal","Approval_Rejected_Checkbox__c":false,"ShippingCountryCode":"US","QuoteNumber":"00781043","CanCreateQuoteLineItems":false,"ALE__c":0.00,"BillingStreet":"11095 Viking Drive,  (9 more) ...","Request_Legal_Support__c":false,"Perpetual_Pricing_Discount_Approval__c":false,"LastModifiedById":"005WC00000MgTN2YAN","Displaced_ARR_Approval__c":false}]|0x6126431f
09:29:20.10 (49294301)|SYSTEM_MODE_ENTER|false
09:29:20.10 (49330890)|HEAP_ALLOCATE|[12]|Bytes:5
09:29:20.10 (49362619)|STATEMENT_EXECUTE|[11]
09:29:20.10 (49483436)|SYSTEM_METHOD_ENTRY|[12]|List<Quote>.isEmpty()
09:29:20.10 (49585217)|SYSTEM_METHOD_EXIT|[12]|List<Quote>.isEmpty()
09:29:20.10 (49612327)|STATEMENT_EXECUTE|[12]
09:29:20.10 (49626733)|SYSTEM_METHOD_ENTRY|[16]|List<Quote>.iterator()
09:29:20.10 (49777209)|SYSTEM_METHOD_EXIT|[16]|List<Quote>.iterator()
09:29:20.10 (49808174)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
09:29:20.10 (49821612)|HEAP_ALLOCATE|[16]|Bytes:5
09:29:20.10 (49839046)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
09:29:20.10 (49896865)|HEAP_ALLOCATE|[16]|Bytes:4
09:29:20.10 (49933944)|VARIABLE_SCOPE_BEGIN|[16]|quote|Quote|true|false
