67.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
10:48:24.3 (3784139)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
10:48:24.3 (3923885)|EXECUTION_STARTED
10:48:24.3 (3949941)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
10:48:24.3 (4823598)|CODE_UNIT_FINISHED|Flow:Quote
10:48:24.3 (4862468)|EXECUTION_FINISHED
10:48:24.183 (183919439)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
10:48:24.183 (183964454)|EXECUTION_STARTED
10:48:24.183 (183986608)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
10:48:24.183 (184037518)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
10:48:24.183 (184090509)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
10:48:24.183 (184231385)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
10:48:24.183 (185907109)|HEAP_ALLOCATE|[95]|Bytes:3
10:48:24.183 (186016396)|HEAP_ALLOCATE|[100]|Bytes:152
10:48:24.183 (186038214)|HEAP_ALLOCATE|[417]|Bytes:408
10:48:24.183 (186053142)|HEAP_ALLOCATE|[430]|Bytes:408
10:48:24.183 (186083713)|HEAP_ALLOCATE|[317]|Bytes:6
10:48:24.183 (186131092)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:48:24.183 (186183365)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
10:48:24.183 (186355725)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x23f15e18
10:48:24.183 (186410105)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:48:24.183 (186459672)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
10:48:24.183 (186485201)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x23f15e18
10:48:24.183 (186519221)|STATEMENT_EXECUTE|[4]
10:48:24.183 (186545724)|HEAP_ALLOCATE|[68]|Bytes:5
10:48:24.183 (186589420)|HEAP_ALLOCATE|[74]|Bytes:5
10:48:24.183 (186619522)|HEAP_ALLOCATE|[82]|Bytes:7
10:48:24.183 (186659622)|STATEMENT_EXECUTE|[5]
10:48:24.183 (186663467)|STATEMENT_EXECUTE|[6]
10:48:24.183 (193744035)|VARIABLE_SCOPE_BEGIN|[9]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|String|false|true
10:48:24.183 (193789608)|VARIABLE_SCOPE_BEGIN|[8]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|String|false|true
10:48:24.183 (193867961)|HEAP_ALLOCATE|[6]|Bytes:5
10:48:24.183 (193891781)|HEAP_ALLOCATE|[6]|Bytes:5
10:48:24.183 (193948240)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|"Renew"
10:48:24.183 (193954848)|HEAP_ALLOCATE|[6]|Bytes:7
10:48:24.183 (193968551)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|"Renewal"
10:48:24.183 (194029477)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.QuoteRenewalTypeHandler()
10:48:24.183 (194053628)|STATEMENT_EXECUTE|[6]
10:48:24.183 (194069207)|STATEMENT_EXECUTE|[6]
