67.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
13:57:16.1 (1762831)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
13:57:16.1 (1864632)|EXECUTION_STARTED
13:57:16.1 (1882748)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
13:57:16.1 (2629873)|CODE_UNIT_FINISHED|Flow:Quote
13:57:16.1 (2652426)|EXECUTION_FINISHED
13:57:16.45 (45540686)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
13:57:16.45 (45559536)|EXECUTION_STARTED
13:57:16.45 (45568199)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
13:57:16.45 (45605229)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
13:57:16.45 (45660097)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
13:57:16.45 (45796667)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
13:57:16.45 (46443792)|HEAP_ALLOCATE|[95]|Bytes:3
13:57:16.45 (46525368)|HEAP_ALLOCATE|[100]|Bytes:152
13:57:16.45 (46536931)|HEAP_ALLOCATE|[417]|Bytes:408
13:57:16.45 (46546801)|HEAP_ALLOCATE|[430]|Bytes:408
13:57:16.45 (46563526)|HEAP_ALLOCATE|[317]|Bytes:6
13:57:16.45 (46583154)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
13:57:16.45 (46632166)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
13:57:16.45 (46807757)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x67e7f5f0
13:57:16.45 (46854131)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
13:57:16.45 (46865141)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
13:57:16.45 (46887798)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x67e7f5f0
13:57:16.45 (46923471)|STATEMENT_EXECUTE|[4]
13:57:16.45 (46944195)|HEAP_ALLOCATE|[68]|Bytes:5
13:57:16.45 (46981066)|HEAP_ALLOCATE|[74]|Bytes:5
13:57:16.45 (46987834)|HEAP_ALLOCATE|[82]|Bytes:7
13:57:16.45 (47027296)|STATEMENT_EXECUTE|[5]
13:57:16.45 (47030443)|STATEMENT_EXECUTE|[6]
13:57:16.45 (58701499)|VARIABLE_SCOPE_BEGIN|[9]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|String|false|true
13:57:16.45 (58722838)|VARIABLE_SCOPE_BEGIN|[8]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|String|false|true
13:57:16.45 (58776844)|HEAP_ALLOCATE|[6]|Bytes:5
13:57:16.45 (58786767)|HEAP_ALLOCATE|[6]|Bytes:5
13:57:16.45 (58885374)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|"Renew"
13:57:16.45 (58889229)|HEAP_ALLOCATE|[6]|Bytes:7
13:57:16.45 (58896098)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|"Renewal"
13:57:16.45 (58942682)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.QuoteRenewalTypeHandler()
13:57:16.45 (58951489)|STATEMENT_EXECUTE|[6]
13:57:16.45 (58960584)|STATEMENT_EXECUTE|[6]
13:57:16.45 (60952494)|SYSTEM_MODE_ENTER|false
13:57:16.45 (61404329)|HEAP_ALLOCATE|[6]|Bytes:5
13:57:16.45 (61424248)|SYSTEM_MODE_EXIT|false
13:57:16.45 (61453201)|METHOD_EXIT|[6]|QuoteRenewalTypeHandler
13:57:16.45 (61511894)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.applyRenewalQuoteType(List<Quote>)
13:57:16.45 (61567894)|VARIABLE_SCOPE_BEGIN|[11]|quotes|List<Quote>|true|false
