67.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
14:07:54.0 (733985)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
14:07:54.0 (835324)|EXECUTION_STARTED
14:07:54.0 (862663)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
14:07:54.0 (1639228)|CODE_UNIT_FINISHED|Flow:Quote
14:07:54.0 (1657595)|EXECUTION_FINISHED
14:07:54.9 (9068316)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
14:07:54.9 (9088782)|EXECUTION_STARTED
14:07:54.9 (9106037)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
14:07:54.9 (9192584)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
14:07:54.9 (9246508)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
14:07:54.9 (9367232)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
14:07:54.9 (10897380)|HEAP_ALLOCATE|[95]|Bytes:3
14:07:54.9 (10961809)|HEAP_ALLOCATE|[100]|Bytes:152
14:07:54.9 (10975455)|HEAP_ALLOCATE|[417]|Bytes:408
14:07:54.9 (10986474)|HEAP_ALLOCATE|[430]|Bytes:408
14:07:54.9 (11006139)|HEAP_ALLOCATE|[317]|Bytes:6
14:07:54.9 (11026420)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:07:54.9 (11045762)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
14:07:54.9 (11193965)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x44a353af
14:07:54.9 (11236795)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:07:54.9 (11249521)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
14:07:54.9 (11259498)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x44a353af
14:07:54.9 (11265180)|STATEMENT_EXECUTE|[4]
14:07:54.9 (11283728)|HEAP_ALLOCATE|[68]|Bytes:5
14:07:54.9 (11327778)|HEAP_ALLOCATE|[74]|Bytes:5
14:07:54.9 (11334041)|HEAP_ALLOCATE|[82]|Bytes:7
14:07:54.9 (11365867)|STATEMENT_EXECUTE|[5]
14:07:54.9 (11366883)|STATEMENT_EXECUTE|[6]
14:07:54.9 (17995406)|VARIABLE_SCOPE_BEGIN|[9]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|String|false|true
14:07:54.9 (18020217)|VARIABLE_SCOPE_BEGIN|[8]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|String|false|true
14:07:54.9 (18064387)|HEAP_ALLOCATE|[6]|Bytes:5
14:07:54.9 (18072902)|HEAP_ALLOCATE|[6]|Bytes:5
14:07:54.9 (18130659)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|"Renew"
14:07:54.9 (18133650)|HEAP_ALLOCATE|[6]|Bytes:7
14:07:54.9 (18138443)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|"Renewal"
14:07:54.9 (18168406)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.QuoteRenewalTypeHandler()
14:07:54.9 (18176988)|STATEMENT_EXECUTE|[6]
14:07:54.9 (18182088)|STATEMENT_EXECUTE|[6]
14:07:54.9 (19114910)|SYSTEM_MODE_ENTER|false
14:07:54.9 (19494761)|HEAP_ALLOCATE|[6]|Bytes:5
14:07:54.9 (19511503)|SYSTEM_MODE_EXIT|false
14:07:54.9 (19534607)|METHOD_EXIT|[6]|QuoteRenewalTypeHandler
14:07:54.9 (19581040)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.applyRenewalQuoteType(List<Quote>)
14:07:54.9 (19637147)|VARIABLE_SCOPE_BEGIN|[11]|quotes|List<Quote>|true|false
