Product2.ProductCode,UnitPrice
CYB-DCS-UC-CMP,250
CYB-DCS-ACOL-CMP,250
CYB-DCS-ACON-CMP,250
CYB-DCS-FW-CMP,250
CYB-DCS-OWA-CMP,250
CYB-DCS-SDK-CMP,250
CYB-DCS-QS-CMP,250
CYB-DCS-MAIL-ADD,250
CYB-DCS-PMD-ADD,250
CYB-DCS-PM365-ADD,250
CYB-DP-PS1-SVC,1200
CYB-DP-PS2-SVC,1800
CYB-DP-PS3-SVC,2000
CYB-DP-TRN-SVC,2500
CYB-SUP-T1-SVC,1200
CYB-SUP-T2-SVC,1800
CYB-DCS-ADV-BUN-V2,5000
CYB-DCS-ELITE-BUN-V2,5000
CYB-DCS-ESS-BUN-V2,5000
CYB-DCS-DDE-CMP,250
CYB-DCS-UC-CMP,565
CYB-DCS-ESS-BUN-V2,425
CYB-DCS-ADV-BUN-V2,1000
CYB-DCS-SDK-CMP,100
CYB-DCS-DDE-CMP,100
CYB-DCS-ACOL-CMP,100
CYB-DCS-ACON-CMP,100
CYB-DCS-OWA-CMP,100
CYB-DCS-FW-CMP,100
CYB-DCS-PM365-ADD,100
CYB-DCS-PMD-ADD,100
CYB-DCS-MAIL-ADD,100
GEN--SC608T-OTH,100
IGA-AAS-RSP-OPSSRV,45360
ES-MSO-RSSH-MSOARS,9200
DP-DLP-RSL-DGOSS,120
ES-SEG-NRPS-CSEGKP,47.27
ES-SEG-RNM-CSEGANM,47.27
ES-SEG-RRM-CSEGARM,47.27
ES-SEG-RSP-PREMS1,19500
ES-SEG-RSS-CSEGKS,26
ES-SEG-RSS-A4ESUB,19.5
GOA-GAM-RSS-GAULTS,32051.25
GOA-GAM-RSS-GSSDGMBS,4070
GOA-GAM-RSS-GAEX12S,2888
HRM-HRM-RSP-HRMGMT,22500
CM-TQR-RSS-TQSURV,166
CM-VCM-RSS-VCMSPS,137
OS-COS-NRPS-COBSTR,20500
OS-CI-RSS-CIS,369
CS-PSI-RSS-PSAIIS,1246
CS-PCS-RSS-PCSIIS,2615
CS-CLP-RSS-SGNETS,5508
VM-BSL-RSL-WASCBS,368
VM-BSL-RSL-FPSS,935
VM-DDL-RSL-FPCIAS,935
VM-DDL-RSL-FATSWP,3
VM-DDL-RSL-DSMFAL,72
VM-DDL-RSL-TEAMSS,300
VM-DDL-NRSU-2X7X3M,15000
DM-WCU-RSS-5250SU,2021.25
BI-ABS-RSS-ABSTSU,46
GS-EFA-RSSH-ARCUS,3000
ES-CEP-RSL-ACTIDB,94000
VM-DDL-RSL-ACTITH,9
GS-GSE-RSS-AAMYS,124
SM-AJS-RSS-AJSS,1568
SM-ARS-RSS-ARSS,15
SM-ARS-RSS-ARSLS,41
GS-GSE-RSS-ASMS,5690.4
GS-GSE-RSS-AWEYS,46
DM-IRC-RSS-AFPCSU,2310
RPA-AUT-RSP-AICEXP,12000
SM-NSS-RSS-AIXOPS,124
SM-AI-RSS-ALERSU,6000
SM-VIT-RSS-ABPS,2750
SM-VIT-RSS-ABAS,137
SM-VIT-RSS-ABCS,275
SM-VIT-RSS-ALPS,140
SM-VIT-RSS-ABSIS,550
SM-VIT-RSS-ACPS,275
SM-VIT-RSS-ALIGNC,825
SM-VIT-RSS-ACS,8250
SM-VIT-RSS-AES,2750
SM-VIT-RSS-AESS,550
SM-VIT-RSS-AISS,275
SM-VIT-RSS-AOBSS,275
SM-VIT-RSS-ATS,110
SM-VIT-RSS-ALCS,8250
BI-AD-RSS-ANYDSU,2703
ES-DMP-RSL-APAOS,5000
CS-DFT-RSS-ASOCS,2248
DP-DLP-RSL-ARCO,21.6
GS-GSE-RSS-ACSYEA,7623
IGA-AAS-RSS-ACISSU,1155
HRM-HRM-RSL-ATT,1250
DP-DLP-RSS-ATPSUB,50.4
GS-GSE-RSS-ARYS,1663
SM-AJM-RSS-AJMS,866
SM-AUS-RSS-AUTHSU,2021
RPA-AUD-RSS-ADS,3600
RPA-AUT-RSS-AUES,3850
RPA-AUT-RSS-AUAS,822
RPA-AUT-RSS-AEDTS,825
RPA-AUT-RSP-AUEX,12000
RPA-AUD-RSS-AFPS,1922
RPA-AIC-RSS-AICS,21450
RPA-AUT-RRM-AMAORM,1000
RPA-AUT-RSS-AUPL,6875
RPA-AUT-RSS-APMDP,58000
RPA-AUD-RSS-AUPS,2400
RPA-AUD-RSS-APAPS,660
RPA-AUT-RSS-AUUS,150000
VM-DDL-RSL-BISPHS,900
DM-WCU-RSS-BIUS,866.25
DM-IRM-RSS-BRSS,3176.25
ES-DMP-RMS-BECE,5000
VM-BSL-RSL-BESEPB,824
VM-BSL-RSL-BESTBB,60000
VM-APS-RSL-BESTSU,60000
SM-SMB-RSS-BMMS,2914
ES-SEA-RSL-B1IAAB,35.55
CDP-CSB-RSL-CASBAB,26
CDP-CSB-RSL-CASBEB,14
CDP-CSB-RSL-CASBPB,50
CDP-CSB-RSL-CASBSN,50
CDP-CSB-RSL-CASBSI,14
CDP-CSB-RSL-CASBSF,50
FIM-FIM-RRM-CCMNDR,34.27
FIM-FIM-RSS-CCMNDS,93
FIM-FIM-RSS-CCMSFO,48
FIM-FIM-RRM-CCMSRM,45.77
FIM-FIM-RSS-CCMSES,124
FIM-FIM-RSS-CCMSPD,10
FIM-FIM-RRM-CCMSIR,9.2
FIM-FIM-RSS-CCMSID,23
FIM-FIM-RSS-CCMWFO,17
FIM-FIM-RRM-CCMWRM,15.87
FIM-FIM-RSS-CCMWOS,42
FIM-FIM-RRM-CCMLIR,2760
FIM-FIM-RSS-CCMLIS,7440
FIM-FIM-RSS-CCMMSF,16620
FIM-FIM-RRM-CCMMSR,7992.5
FIM-FIM-RSS-CCMMSS,21540
FIM-FIM-RRM-CCMSCA,966
FIM-FIM-RSS-CCMWLS,895
FIM-FIM-RSS-CCMWSE,2340
FIM-FIM-RSS-CCMWIN,2340
SM-ROT-RSS-CDBSUB,1003.05
GS-GSE-RRM-CDPA,264
BI-SDW-RSS-CDCMS,2200
BI-SDW-RSS-CMS,1000
HRM-HRM-RSL-CLSAAS,2180
HRM-HRM-RSL-CLSACH,1198.8
HRM-HRM-RSL-CCHOPS,500
GS-GSE-RSS-CCAYS,1386
GS-GSE-RSS-CCMCS,1476
ES-CEP-RSL-CEPS,2500
CDP-CSB-RSL-CSPMS,10000
OS-COS-RSS-COBASU,5900
OS-COS-NRST-CIC1S,600
OS-COS-NRST-CIICS,850
OS-COS-NRST-CIC2S,350
CS-DFT-RSS-CCIS,3373
DP-DLP-RSS-COMPLI,39.24
IGA-AAS-RSS-CAS,12.71
IGA-AAS-RSS-CCS,5.2
IGA-AAS-RSS-CCFRS,14438
IGA-AAS-RSS-CCLS,14438
IGA-AAS-RSP-CIROS,138000
IGA-AAS-RSS-CPS,4.33
IGA-VIS-RSS-CRDS,12.6
BP-ETM-RMS-COUNTE,20000
BP-ETM-RMS-CREDBA,5000
BP-ETM-RMS-CREDTI,20000
DM-IRC-RSS-CSVCSU,1210
BP-TSE-RMS-DARKCC,2000
BI-SDW-RSS-DATA,1375
DP-DC-RSP-DCS,250
DP-DLP-RSP-DLPS,360000
SM-VMC-RSS-DACS,2008
SM-VMC-RSS-DMISRS,602
DP-DLP-RRM-DPRM,0.2
DP-DLP-RSL-DPPS,12.1
ES-SEG-RSS-DRSEGS,9.1
ES-SXG-RSS-DRSS,9.1
ES-SIG-RSS-DRSIGS,9.1
ES-SIG-RSS-DAIS,2002
ES-SWG-RSS-DRSWGS,9.1
BI-SDW-RSS-DSVBS,1000
DM-IBM-RSS-DATASU,1155
DP-DC-RSP-DCDEXP,8000
DP-DC-RSP-DCDTAM,99000
DP-DC-RSL-DCSCS,5000
DP-DC-RSL-DCCSCB,10000
DP-DC-RSL-DCSES,25000
DP-DC-RSL-DCSEP,50000
DP-DC-RSS-DCSDAR,12
DP-DC-RSS-DCSPLS,42
DP-DC-RSL-DCSPMO,3000
DP-DC-RSS-DCSSDK,50000
DM-DLN-RSS-DELIBA,3300
DM-DLN-RSS-DELIIS,1237.5
DM-DLN-RSS-DELISH,577.5
DM-DLN-RSS-DELIWM,1237.5
BI-DB-RSS-DEPLSU,13618
FIM-FIM-RRM-DPEREN,1033.85
FIM-FIM-RSS-DPESUB,2340
FIM-FIM-RRM-DPEERM,144
FIM-FIM-RSS-DPEEXS,325
FIM-FIM-RRM-DPELRM,378.35
FIM-FIM-RSS-DPELIS,895
DP-DLP-RSL-DGDAOS,4.8
DP-DLP-NROR-DGDAPP,16900
DP-DLP-RSP-DGDEXP,70000
DP-DLP-RMS-DGDMSS,3.3
DP-DLP-RSS-DGDMCS,33200
DP-DLP-RSL-DGDSSE,3.3
DP-DLP-RSL-DGDSSU,1.6
ES-SEG-RSS-DRMS,19.5
SM-DSM-RSS-DSMSUB,1062
ES-DMP-RSL-DMARPR,2600
GS-GSE-RSS-DMZ,9027.6
