Id,Name,StockKeepingUnit,BasedOnId,BasedOn.Name
01tWC00000DD22RYAT,Collaboration Bundle-NewMaintenance,,11BWC0000037mBO2AY,DTYPE_STYPE
01tWC00000DD21NYAT,DMZ Gateway 3 - Single Site-NewMaintenance,,11BWC0000037mBO2AY,DTYPE_STYPE
01tWC00000DD22WYAT,DMZ Gateway Enterprise 3 - Multi-Site Upgrade-NewMaintenance,,11BWC0000037mBO2AY,DTYPE_STYPE
01tWC00000DD22UYAT,DMZ Gateway Enterprise 3 - Multi-Site-NewMaintenance,,11BWC0000037mBO2AY,DTYPE_STYPE
01tWC00000DD21OYAT,EFT 7 Enterprise-NewMaintenance,,11BWC0000037mBO2AY,DTYPE_STYPE
01tWC00000DD21SYAT,EFT 7 Express Upgrade-NewMaintenance,,11BWC0000037mBO2AY,DTYPE_STYPE
01tWC00000DD21QYAT,EFT 7 Express-NewMaintenance,,11BWC0000037mBO2AY,DTYPE_STYPE
01tWC00000DD22YYAT,EFT Accelerate-NewMaintenance,,11BWC0000037mBO2AY,DTYPE_STYPE
01tWC00000DD21YYAT,EFT Business Activity Monitor (BAM)-NewMaintenance,,11BWC0000037mBO2AY,DTYPE_STYPE
01tWC00000DD21bYAD,EFT Express Mobile Transfer Client-NewMaintenance,,11BWC0000037mBO2AY,DTYPE_STYPE
01tWC00000DD21dYAD,EFT Insight Module-NewMaintenance,,11BWC0000037mBO2AY,DTYPE_STYPE
01tWC00000DD21hYAD,EFT Secure Mobile Access Module (SMAM)-NewMaintenance,,11BWC0000037mBO2AY,DTYPE_STYPE
01tWC00000DD1FtYAL,EFT Server Migration Tools Custom Solution-NewMaintenance,,11BWC0000037mBO2AY,DTYPE_STYPE
01tWC00000DD21kYAD,EFT SMB Web Client WTC 10 Seats-NewMaintenance,,11BWC0000037mBO2AY,DTYPE_STYPE
01tWC00000DD21mYAD,EFT SMB Web Client WTC 50 Seats-NewMaintenance,,11BWC0000037mBO2AY,DTYPE_STYPE
01tWC00000DD22kYAD,Premium Bundle-NewMaintenance,,11BWC0000037mBO2AY,DTYPE_STYPE
01tWC00000DD1X8YAL,Reconnect-NewMaintenance,,11BWC0000037mBO2AY,DTYPE_STYPE
01tWC00000DD22tYAD,Starter Bundle-NewMaintenance,,11BWC0000037mBO2AY,DTYPE_STYPE
01tWC00000DD20vYAD,Robot Bundle - Console & Alert-NewMaintenance,,11BWC0000037mBr2AI,FEAT_PL_STYPE_GNUM
01tWC00000DD239YAD,"Robot Bundle - Console, Alert, Network-NewMaintenance",,11BWC0000037mBr2AI,FEAT_PL_STYPE_GNUM
01tWC00000DD23BYAT,Robot Bundle - Schedule & Alert-NewMaintenance,,11BWC0000037mBr2AI,FEAT_PL_STYPE_GNUM
01tWC00000DD23DYAT,"Robot Bundle - Schedule, Alert, Network-NewMaintenance",,11BWC0000037mBr2AI,FEAT_PL_STYPE_GNUM
01tWC00000DD20tYAD,"Robot Bundle - Schedule, Alert, Replay-NewMaintenance",,11BWC0000037mBr2AI,FEAT_PL_STYPE_GNUM
01tWC00000DD1mdYAD,TE Academic Institution Site License - Database-NewMaintenance,,11BWC0000037mCZ2AY,FEAT_PTIER
01tWC00000DD1mgYAD,TE Academic Institution Site License - Desktop-NewMaintenance,,11BWC0000037mCZ2AY,FEAT_PTIER
01tWC00000DD1mjYAD,TE Academic Institution Site License - Directory Services-NewMaintenance,,11BWC0000037mCZ2AY,FEAT_PTIER
01tWC00000DCxkqYAD,TE Academic Institution Site License - File Systems-NewMaintenance,,11BWC0000037mCZ2AY,FEAT_PTIER
01tWC00000DCxkuYAD,TE Academic Institution Site License - Network Device-NewMaintenance,,11BWC0000037mCZ2AY,FEAT_PTIER
01tWC00000DCxkxYAD,TE Academic Institution Site License - VMWare ESX-NewMaintenance,,11BWC0000037mCL2AY,FEAT_PTIER_UTYPE_NUMUNITS
01tWC00000DD21qYAD,GoAnywhere Collaboration Bundle with Gateway and Threat Protection-NewMaintenance,,11BWC0000037mBN2AY,FEAT_STYPE
01tWC00000DCzhLYAT,GoAnywhere Collaboration Bundle with Gateway-NewMaintenance,,11BWC0000037mBN2AY,FEAT_STYPE
01tWC00000DD21uYAD,GoAnywhere Core Server Bundle with Gateway and Threat Protection-NewMaintenance,,11BWC0000037mBN2AY,FEAT_STYPE
01tWC00000DD21sYAD,GoAnywhere Core Server Bundle with Gateway-NewMaintenance,,11BWC0000037mBN2AY,FEAT_STYPE
01tWC00000DD21wYAD,GoAnywhere PeSIT Express Bundle with Gateway-NewMaintenance,,11BWC0000037mBN2AY,FEAT_STYPE
01tWC00000DD21yYAD,GoAnywhere PeSIT Starter Bundle with Gateway-NewMaintenance,,11BWC0000037mBN2AY,FEAT_STYPE
01tWC00000DCzhPYAT,GoAnywhere Premium Bundle with Threat Protection-NewMaintenance,,11BWC0000037mBN2AY,FEAT_STYPE
01tWC00000DCzhTYAT,GoAnywhere Starter Bundle with Gateway and Threat Protection-NewMaintenance,,11BWC0000037mBN2AY,FEAT_STYPE
01tWC00000DCzhRYAT,GoAnywhere Starter Bundle with Gateway-NewMaintenance,,11BWC0000037mBN2AY,FEAT_STYPE
