bucket,ProductCode,Fortra_Product_Type,new_default_SM,flip,nowdefault_priced_ccy,nowdefault_USD_priced,demoted_derived_seed,Product2Id,ProductName
A_SAFE,BP-ETM-RMS-ADDITH,Subscription,TermDefined,OneTime->TermDefined,10,True,False,01tWC00000DD11SYAT,Additional Threat Assessments
A_SAFE,DP-DC-RSP-DCS,Services,OneTime,TermDefined->OneTime,10,True,False,01tWC00000DD19fYAD,Data Classification Services
A_SAFE,DP-DLP-NRST-PSHPOP,Services,OneTime,TermDefined->OneTime,10,True,False,01tWC00000DD1zhYAD,Professional Services Hourly (Post Paid)
A_SAFE,DP-DLP-RMS-DNAS,Subscription,TermDefined,OneTime->TermDefined,10,True,False,01tWC00000DD1BmYAL,DG NDLP Appliance
A_SAFE,ES-SEG-RSP-ESRS,Services,OneTime,TermDefined->OneTime,10,True,False,01tWC00000DD1GwYAL,Email Security Recurring Services
A_SAFE,FIM-FIM-RSP-TECHNI,Services,TermDefined,OneTime->TermDefined,10,True,False,01tWC00000DCxlRYAT,Technical Account Manager
A_SAFE,NW-INT-NRPS-ISP,Perpetual,OneTime,TermDefined->OneTime,10,True,False,01tWC00000DCwWCYA1,Intermapper Server
A_SAFE,SM-MQM-NRPS-MQMPER,Perpetual,OneTime,TermDefined->OneTime,10,True,False,01tWC00000DD1RcYAL,MQ Manager
A_SAFE,SM-SYM-NRST-PXS,Services,OneTime,TermDefined->OneTime,10,True,False,01tWC00000DD1cXYAT,PowertechX Services
A_SAFE,VM-DDL-NRST-FPTEOS,Services,OneTime,TermDefined->OneTime,10,True,False,01tWC00000DD1LOYA1,Frontline Pen Test - External-Only
B_USD_RISK,GS-GSE-RRM-AAMRM,Renewal Maintenance,TermDefined,OneTime->TermDefined,9,False,True,01tWC00000DD21JYAT,Advanced Authentication Modes-RenewalMaintenance
B_USD_RISK,GS-GSE-RRM-AWERM,Renewal Maintenance,TermDefined,OneTime->TermDefined,9,False,True,01tWC00000DD22PYAT,Advanced Workflow Engine-RenewalMaintenance
B_USD_RISK,GS-GSE-RRM-DGE3MSRM,Renewal Maintenance,TermDefined,OneTime->TermDefined,9,False,True,01tWC00000DD22VYAT,DMZ Gateway Enterprise 3 - Multi-Site-RenewalMaintenance
B_USD_RISK,GS-GSE-RRM-DGE3MURM,Renewal Maintenance,TermDefined,OneTime->TermDefined,9,False,True,01tWC00000DD22XYAT,DMZ Gateway Enterprise 3 - Multi-Site Upgrade-RenewalMaintenance
B_USD_RISK,GS-GSE-RRM-EARMRM,Renewal Maintenance,TermDefined,OneTime->TermDefined,9,False,True,01tWC00000DD22ZYAT,EFT Auditing & Reporting Module (ARM)-RenewalMaintenance
B_USD_RISK,GS-GSE-RRM-EEMTCRM,Renewal Maintenance,TermDefined,OneTime->TermDefined,9,False,True,01tWC00000DD1yGYAT,EFT Express Mobile Transfer Client-RenewalMaintenance
B_USD_RISK,GS-GSE-RRM-EFT7EXRM,Renewal Maintenance,TermDefined,OneTime->TermDefined,9,False,True,01tWC00000DD21RYAT,EFT 7 Express-RenewalMaintenance
B_USD_RISK,GS-GSE-RRM-EFT8ERM,Renewal Maintenance,TermDefined,OneTime->TermDefined,9,False,True,01tWC00000DD21WYAT,EFT 8 Enterprise-RenewalMaintenance
B_USD_RISK,GS-GSE-RRM-EFT8EXRM,Renewal Maintenance,TermDefined,OneTime->TermDefined,9,False,True,01tWC00000DD21UYAT,EFT 8 Express-RenewalMaintenance
C_DERIVED_ORPHAN,BI-ISA-RRM-IACRM,Renewal Maintenance,TermDefined,OneTime->TermDefined,0,False,True,01tWC00000DCzhUYAT,Insite Analytics - Core-RenewalMaintenance
C_DERIVED_ORPHAN,BI-ISA-RRM-IAPRMRM,Renewal Maintenance,TermDefined,OneTime->TermDefined,0,False,True,01tWC00000DCzhWYAT,Insite Analytics - Premium-RenewalMaintenance
C_DERIVED_ORPHAN,BI-ISA-RRM-IAPROM,Renewal Maintenance,TermDefined,OneTime->TermDefined,0,False,True,01tWC00000DCzhYYAT,Insite Analytics - Pro-RenewalMaintenance
C_DERIVED_ORPHAN,BI-ISA-RRM-IASPRM,Renewal Maintenance,TermDefined,OneTime->TermDefined,0,False,True,01tWC00000DCzhaYAD,Insite Analytics - Starter Package-RenewalMaintenance
C_DERIVED_ORPHAN,BI-SDW-RRM-SDWBBERM,Renewal Maintenance,TermDefined,OneTime->TermDefined,0,False,True,01tWC00000DD22yYAD,SEQUEL Data Warehouse Bundle - Bronze Edition-RenewalMaintenance
C_DERIVED_ORPHAN,BI-SDW-RRM-SDWBGERM,Renewal Maintenance,TermDefined,OneTime->TermDefined,0,False,True,01tWC00000DD230YAD,SEQUEL Data Warehouse Bundle - Gold Edition-RenewalMaintenance
C_DERIVED_ORPHAN,BI-SDW-RRM-SDWBPERM,Renewal Maintenance,TermDefined,OneTime->TermDefined,0,False,True,01tWC00000DD232YAD,SEQUEL Data Warehouse Bundle - Platinum Edition-RenewalMaintenance
C_DERIVED_ORPHAN,BI-SDW-RRM-SDWBSERM,Renewal Maintenance,TermDefined,OneTime->TermDefined,0,False,True,01tWC00000DD234YAD,SEQUEL Data Warehouse Bundle - Silver Edition-RenewalMaintenance
C_DERIVED_ORPHAN,BI-SDW-RRM-SDWSBERM,Renewal Maintenance,TermDefined,OneTime->TermDefined,0,False,True,01tWC00000DCzhgYAD,Sequel Data Warehouse (RODIN) Select License - Bronze Edition-RenewalMaintenance
C_DERIVED_ORPHAN,BI-SDW-RRM-SDWSGERM,Renewal Maintenance,TermDefined,OneTime->TermDefined,0,False,True,01tWC00000DCzhiYAD,Sequel Data Warehouse (RODIN) Select License - Gold Edition-RenewalMaintenance
C_DERIVED_ORPHAN,BI-SDW-RRM-SDWSPERM,Renewal Maintenance,TermDefined,OneTime->TermDefined,0,False,True,01tWC00000DCzhkYAD,Sequel Data Warehouse (RODIN) Select License - Platinum Edition-RenewalMaintenance
C_DERIVED_ORPHAN,BI-SDW-RRM-SDWSSERM,Renewal Maintenance,TermDefined,OneTime->TermDefined,0,False,True,01tWC00000DD22wYAD,Sequel Data Warehouse (RODIN) Select License - Silver Edition-RenewalMaintenance
C_DERIVED_ORPHAN,BI-SQ-RRM-SSBPRM,Renewal Maintenance,TermDefined,OneTime->TermDefined,0,False,True,01tWC00000DCzhcYAD,SEQUEL SMB Bundle - Primary-RenewalMaintenance
C_DERIVED_ORPHAN,BI-SQ-RRM-SSBSRM,Renewal Maintenance,TermDefined,OneTime->TermDefined,0,False,True,01tWC00000DCzheYAD,SEQUEL SMB Bundle - Secondary-RenewalMaintenance
C_DERIVED_ORPHAN,CM-VCM-RRM-VSPRM,Renewal Maintenance,TermDefined,OneTime->TermDefined,0,False,True,01tWC00000DD23GYAT,VCM Starter Pack-RenewalMaintenance
C_DERIVED_ORPHAN,DP-DC-RRM-CDMEBRM,Renewal Maintenance,TermDefined,OneTime->TermDefined,0,False,True,01tWC00000DD20NYAT,Classification for Desktop & Message Classification Enterprise & Classification for Office Enterprise Bundle-RenewalMaintenance
C_DERIVED_ORPHAN,DP-DC-RRM-COUMCBRM,Renewal Maintenance,TermDefined,OneTime->TermDefined,0,False,True,01tWC00000DD20OYAT,Classification for Office Ultra & Message Classification Bundle-RenewalMaintenance
