Product2Id	ProductCode	Name
01tWC00000DD11DYAT	BI-ABS-RNM-ABSTNE	Abstract-NewMaintenance
01tWC00000FBezCYAT	BI-ABS-RNM-ABSTNE-TECH	Abstract (Technical)-NewMaintenance
01tWC00000DD13BYAT	BI-AD-RNM-ANYDNE	AnyDate-NewMaintenance
01tWC00000FBezGYAT	BI-AD-RNM-ANYDNE-TECH	AnyDate (Technical)-NewMaintenance
01tWC00000DD1gIYAT	BI-CRO-RNM-SCRM	SEQUEL Client Report Option-NewMaintenance
01tWC00000FBfM4YAL	BI-CRO-RNM-SCRM-TECH	SEQUEL Client Report Option (Technical)-NewMaintenance
01tWC00000DD1klYAD	BI-CRO-RNM-SCRNM	Showcase Client Reporting-NewMaintenance
01tWC00000FBXMOYA5	BI-CRO-RNM-SCRNM-TECH	Showcase Client Reporting (Technical)-NewMaintenance
01tWC00000DD1BDYA1	BI-DB-RNM-DEPLNE	Deployment Bundle-NewMaintenance
01tWC00000FBezcYAD	BI-DB-RNM-DEPLNE-TECH	Deployment Bundle (Technical)-NewMaintenance
01tWC00000DD1H9YAL	BI-ESN-RNM-EESPPU	Enhanced ESEND for SMB Pricing - Per User-NewMaintenance
01tWC00000FBezkYAD	BI-ESN-RNM-EESPPU-TECH	Enhanced ESEND for SMB Pricing - Per User (Technical)-NewMaintenance
01tWC00000DD1HgYAL	BI-ESN-RNM-ESENNE	Esend-NewMaintenance
01tWC00000FBezwYAD	BI-ESN-RNM-ESENNE-TECH	Esend (Technical)-NewMaintenance
01tWC00000DCzhVYAT	BI-ISA-RNM-IACNM	Insite Analytics - Core-NewMaintenance
01tWC00000FBfH8YAL	BI-ISA-RNM-IACNM-TECH	Insite Analytics - Core (Technical)-NewMaintenance
01tWC00000DCzhXYAT	BI-ISA-RNM-IAPRMNM	Insite Analytics - Premium-NewMaintenance
01tWC00000FBfHAYA1	BI-ISA-RNM-IAPRMNM-TECH	Insite Analytics - Premium (Technical)-NewMaintenance
01tWC00000DCzhZYAT	BI-ISA-RNM-IAPRONM	Insite Analytics - Pro-NewMaintenance
01tWC00000FBfHCYA1	BI-ISA-RNM-IAPRONM-TECH	Insite Analytics - Pro (Technical)-NewMaintenance
01tWC00000DCzhbYAD	BI-ISA-RNM-IASPNM	Insite Analytics - Starter Package-NewMaintenance
01tWC00000FBfHEYA1	BI-ISA-RNM-IASPNM-TECH	Insite Analytics - Starter Package (Technical)-NewMaintenance
01tWC00000DCwVpYAL	BI-ISA-RNM-INSINE	Insite Analytics-NewMaintenance
01tWC00000FBfGvYAL	BI-ISA-RNM-INSINE-TECH	Insite Analytics (Technical)-NewMaintenance
01tWC00000DD1WzYAL	BI-QRW-RNM-QRWNEW	Query & Report Writer-NewMaintenance
01tWC00000FBfHOYA1	BI-QRW-RNM-QRWNEW-TECH	Query & Report Writer (Technical)-NewMaintenance
01tWC00000DD1kpYAD	BI-QRW-RNM-SREPNM	Sequel Repository-NewMaintenance
01tWC00000DD16iYAD	BI-SDW-RNM-CDCMNM	Change Data Capture Module-NewMaintenance
01tWC00000FBezMYAT	BI-SDW-RNM-CDCMNM-TECH	Change Data Capture Module (Technical)-NewMaintenance
01tWC00000DD16mYAD	BI-SDW-RNM-CMNM	Change Management-NewMaintenance
01tWC00000FBezQYAT	BI-SDW-RNM-CMNM-TECH	Change Management (Technical)-NewMaintenance
01tWC00000DD19YYAT	BI-SDW-RNM-DANM	Data Acquisition-NewMaintenance
01tWC00000FBezUYAT	BI-SDW-RNM-DANM-TECH	Data Acquisition (Technical)-NewMaintenance
01tWC00000DD1ATYA1	BI-SDW-RNM-DSVBNM	Data Set View Builder-NewMaintenance
01tWC00000FBezYYAT	BI-SDW-RNM-DSVBNM-TECH	Data Set View Builder (Technical)-NewMaintenance
01tWC00000DD1H5YAL	BI-SDW-RNM-EDSNM	Enhanced Data Sources-NewMaintenance
01tWC00000FBezgYAD	BI-SDW-RNM-EDSNM-TECH	Enhanced Data Sources (Technical)-NewMaintenance
01tWC00000DD1HHYA1	BI-SDW-RNM-EMMNM	Enhanced Metadata Management-NewMaintenance
01tWC00000FBezsYAD	BI-SDW-RNM-EMMNM-TECH	Enhanced Metadata Management (Technical)-NewMaintenance
01tWC00000DD1HDYA1	BI-SDW-RNM-ENET	Enhanced ETL-NewMaintenance
01tWC00000FBezoYAD	BI-SDW-RNM-ENET-TECH	Enhanced ETL (Technical)-NewMaintenance
01tWC00000DD1U4YAL	BI-SDW-RNM-PLNM	Parallel Loading-NewMaintenance
01tWC00000FBfHKYA1	BI-SDW-RNM-PLNM-TECH	Parallel Loading (Technical)-NewMaintenance
01tWC00000DD1XTYA1	BI-SDW-RNM-RDPNM	Remote Data Push-NewMaintenance
01tWC00000FBfHSYA1	BI-SDW-RNM-RDPNM-TECH	Remote Data Push (Technical)-NewMaintenance
01tWC00000DD1XXYA1	BI-SDW-RNM-RDSNM	Remote Data Sourcing-NewMaintenance
01tWC00000FBfHWYA1	BI-SDW-RNM-RDSNM-TECH	Remote Data Sourcing (Technical)-NewMaintenance
01tWC00000DD1dBYAT	BI-SDW-RNM-RELNM	Rodin Enterprise - Legacy-NewMaintenance
01tWC00000FBfHgYAL	BI-SDW-RNM-RELNM-TECH	Rodin Enterprise - Legacy (Technical)-NewMaintenance
01tWC00000DD1dEYAT	BI-SDW-RNM-RRLNM	Rodin Runtime - Legacy-NewMaintenance
01tWC00000FBfLtYAL	BI-SDW-RNM-RRLNM-TECH	Rodin Runtime - Legacy (Technical)-NewMaintenance
01tWC00000DD22zYAD	BI-SDW-RNM-SDWBBENM	SEQUEL Data Warehouse Bundle - Bronze Edition-NewMaintenance
01tWC00000FBfMUYA1	BI-SDW-RNM-SDWBBENM-TECH	SEQUEL Data Warehouse Bundle - Bronze Edition (Technical)-NewMaintenance
01tWC00000DD231YAD	BI-SDW-RNM-SDWBGENM	SEQUEL Data Warehouse Bundle - Gold Edition-NewMaintenance
01tWC00000FBfMWYA1	BI-SDW-RNM-SDWBGENM-TECH	SEQUEL Data Warehouse Bundle - Gold Edition (Technical)-NewMaintenance
01tWC00000DD233YAD	BI-SDW-RNM-SDWBPENM	SEQUEL Data Warehouse Bundle - Platinum Edition-NewMaintenance
01tWC00000FBfMYYA1	BI-SDW-RNM-SDWBPENM-TECH	SEQUEL Data Warehouse Bundle - Platinum Edition (Technical)-NewMaintenance
01tWC00000DD235YAD	BI-SDW-RNM-SDWBSENM	SEQUEL Data Warehouse Bundle - Silver Edition-NewMaintenance
01tWC00000DD1MxYAL	BI-SDW-RNM-SDWNM	Sequel Data Warehouse-NewMaintenance
01tWC00000FBfLrYAL	BI-SDW-RNM-SDWNM-TECH	Sequel Data Warehouse (Technical)-NewMaintenance
01tWC00000DD1jbYAD	BI-SDW-RNM-SDWRSL	Sequel Data Warehouse (RODIN) Select License-NewMaintenance
01tWC00000FBfM9YAL	BI-SDW-RNM-SDWRSL-TECH	Sequel Data Warehouse (RODIN) Select License (Technical)-NewMaintenance
01tWC00000DCzhhYAD	BI-SDW-RNM-SDWSBENM	Sequel Data Warehouse (RODIN) Select License - Bronze Edition-NewMaintenance
01tWC00000FBfLmYAL	BI-SDW-RNM-SDWSBENM-TECH	Sequel Data Warehouse (RODIN) Select License - Bronze Edition (Technical)-NewMaintenance
01tWC00000DCzhjYAD	BI-SDW-RNM-SDWSGENM	Sequel Data Warehouse (RODIN) Select License - Gold Edition-NewMaintenance
01tWC00000FBfLoYAL	BI-SDW-RNM-SDWSGENM-TECH	Sequel Data Warehouse (RODIN) Select License - Gold Edition (Technical)-NewMaintenance
01tWC00000DD22vYAD	BI-SDW-RNM-SDWSPENM	Sequel Data Warehouse (RODIN) Select License - Platinum Edition-NewMaintenance
01tWC00000FBfMQYA1	BI-SDW-RNM-SDWSPENM-TECH	Sequel Data Warehouse (RODIN) Select License - Platinum Edition (Technical)-NewMaintenance
01tWC00000DD22xYAD	BI-SDW-RNM-SDWSSENM	Sequel Data Warehouse (RODIN) Select License - Silver Edition-NewMaintenance
01tWC00000FBfMSYA1	BI-SDW-RNM-SDWSSENM-TECH	Sequel Data Warehouse (RODIN) Select License - Silver Edition (Technical)-NewMaintenance
01tWC00000DD1jlYAD	BI-SDW-RNM-SEQUED	SEQUEL Data Warehouse Bundle-NewMaintenance
01tWC00000FBfMJYA1	BI-SDW-RNM-SEQUED-TECH	SEQUEL Data Warehouse Bundle (Technical)-NewMaintenance
01tWC00000DCxmJYAT	BI-SDW-RNM-TRENNE	Trend Tables-NewMaintenance
01tWC00000FBXLnYAP	BI-SDW-RNM-TRENNE-TECH	Trend Tables (Technical)-NewMaintenance
01tWC00000DD1Y3YAL	BI-SL-RNM-RESONE	Resource Accountant-NewMaintenance
01tWC00000FBfHaYAL	BI-SL-RNM-RESONE-TECH	Resource Accountant (Technical)-NewMaintenance
01tWC00000DD1jvYAD	BI-SL-RNM-SEFY	SEQUEL FYI-NewMaintenance
01tWC00000FBezKYAT	BI-SQ-RNM-BUSIIN-TECH	Business Intelligence - New Maintenance (Technical)-NewMaintenance
01tWC00000DD1PFYA1	BI-SQ-RNM-GREENE	Green Screen-NewMaintenance
01tWC00000FBfHHYA1	BI-SQ-RNM-GREENE-TECH	Green Screen (Technical)-NewMaintenance
01tWC00000DD1ckYAD	BI-SQ-RNM-PRODNE	Productivity Enablement-NewMaintenance
01tWC00000FBfHdYAL	BI-SQ-RNM-PRODNE-TECH	Productivity Enablement (Technical)-NewMaintenance
01tWC00000DD1gAYAT	BI-SQ-RNM-SEQUEL	Sequel-NewMaintenance
01tWC00000FBfLwYAL	BI-SQ-RNM-SEQUEL-TECH	Sequel (Technical)-NewMaintenance
