Product2Id	ProductCode	Name	uncovered_book_currency_cells	n_uncovered	has_annual_derived_sibling	has_nonannual_supply
01tWC00000DD1BRYA1	FIM-FIM-RNM-DPEENM	Device Profiler Ev Express-NewMaintenance	01sWC000001yExBYAU:USD,Fortra:USD,Standard:USD	3	True	False
01tWC00000DD1XHYA1	GS-GSE-RNM-REGUNE	Regulatory Compliance-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1pTYAT	FIM-TLC-RNM-TLCPEP	Tripwire Log Center for POS End Point Systems (includes Advanced Log Collector Agent)-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1EyYAL	GS-GSE-RNM-EEXPRE	EFT Express DMZ Gateway Multi-Site-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1XNYA1	GS-GSE-RNM-RAANM	Remote Automation Agent-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1E2YAL	GS-GSE-RNM-EF8	EFT 8 Express-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1ErYAL	GS-GSE-RNM-EFTEXP	EFT Express Auditing & Reporting Module ARM-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1BlYAL	DP-DLP-RNM-DGDNDL	DG NDLP Appliance-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1FxYAL	GS-GSE-RNM-EFSF	EFT SFTP Module-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1EpYAL	GS-GSE-RNM-EEAM	EFT Express ARM-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1UpYAL	GS-GSE-RNM-PGPANE	PGP Actions-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1FmYAL	GS-GSE-RNM-EFRE	EFT Remote Agent Module RAM-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1DzYAL	GS-GSE-RNM-E8EM	EFT 8 Enterprise-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1FzYAL	GS-GSE-RNM-ESSM	EFT SFTP SSH2 Module-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1EiYAL	GS-GSE-RNM-EFTE	EFT Enterprise-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1GJYA1	GS-GSE-RNM-EWWM	EFT Workspaces (WSM)-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1GAYA1	GS-GSE-RNM-ETEM	EFT Timer Event Module TEM-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD194YAD	GS-GSE-RNM-CSBNM	Core Server Bundle-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1CLYA1	GS-GSE-RNM-DGEM	DMZ Gateway Enterprise-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1EaYAL	GS-GSE-RNM-EBAM	EFT Business Activity Monitor BAM-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1l5YAD	GS-GSE-RNM-SINGSG	Single-site Gateway-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD116YAD	DM-WCU-RNM-5250NE	5250 Integrator-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1XLYA1	GS-GSE-RNM-RAMNM	Remote Agent Module-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1d9YAD	RPA-AUT-RNM-RPANEW	Robotic Process Automation-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1ebYAD	GS-GSE-RNM-SFNM	Secure Forms-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1EGYA1	GS-GSE-RNM-EFAS	EFT AS2 Module-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1FUYA1	GS-GSE-RNM-EHSM	EFT HTTP/S Module-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1CPYA1	GS-GSE-RNM-DMNM	DMZ Gateway Enterprise 3-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1DwYAL	GS-GSE-RNM-EFT8	EFT 8 Continuum-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1F6YAL	GS-GSE-RNM-EEOM	EFT Express OpenPGP Module-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD11pYAD	GS-GSE-RNM-AWENM	Advanced Workflow Engine-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1kYYAT	GS-GSE-RNM-SFTPNE	SFTP Server-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1F1YAL	GS-GSE-RNM-EEEM	EFT Express ESM-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1EVYA1	GS-GSE-RNM-EBPM	EFT BAM Portal-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1kcYAD	GS-GSE-RNM-SFTPBN	SFTP Server Bundle-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD16HYAT	FIM-FIM-RNM-CCMLSE	CCM Limited Scan Engine-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD11AYAT	SM-SYM-RNM-ALCMNE	A la Carte Menu and Security System-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1CJYA1	GS-GSE-RNM-DG3M	DMZ Gateway 3 Single Site-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1yAYAT	GS-GSE-RNM-WORKNE	Workspaces-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1FOYA1	GS-GSE-RNM-EFFO	EFT Folder Monitor Module FMM-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1FiYAL	GS-GSE-RNM-EFTR	EFT Remote Agent Module-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD15SYAT	BI-SQ-RNM-BUSIIN	Business Intelligence - New Maintenance-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1CQYA1	GS-GSE-RNM-DGSM	DMZ Gateway Single Site-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1FRYA1	GS-GSE-RNM-EFFT	EFT FTC Module-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1y8YAD	GS-GSE-RNM-WMSMNE	WMS Module-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1EKYA1	GS-GSE-RNM-EFNM	EFT ASM Module-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD14KYAT	RPA-AUT-RNM-AMAONM	Automate Maintenance Add Ons-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1LbYAL	GS-GSE-RNM-FTPSNE	FTPS Server-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1IIYA1	FIM-FIM-RNM-FIMNDN	File Integrity Manager for Network Devices-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1FnYAL	GS-GSE-RNM-ESMM	EFT SAT Module-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1EuYAL	GS-GSE-RNM-EEDM	EFT Express DMZ Gateway-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD21YYAT	GS-GSE-RNM-EBAMNM	EFT Business Activity Monitor (BAM)-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD13MYAT	GS-GSE-RNM-ACSNEW	AS2 Client/Server-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1FJYA1	GS-GSE-RNM-EFTF	EFT File Transfer Client Module FTC-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1HLYA1	GS-GSE-RNM-EANM	Enterprise Actions-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1PxYAL	GS-GSE-RNM-HTTPSS	HTTPS Server (includes Web client)-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD13cYAD	GS-GSE-RNM-FOLDNE	Folder Monitor-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD1RgYAL	GS-GSE-RNM-MSGNEW	Multi-site Gateway-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
01tWC00000DD11XYAT	GS-GSE-RNM-AAMNM	Advanced Authentication Modes-NewMaintenance	Fortra:USD,Standard:USD	2	True	False
