Status	Class	ActionTypes	QuoteTypeCrit	SourceProductCodes	Targets	Seq	Name
Active	CONSTRAINT_no_quotetype	Requires	<none>	DM-WFM-NRPS-WEBFSL	01tWC00000DD1wjYAD	10	A customer can not own WebDocs Document Management and WebForms SMB
Active	CONSTRAINT_no_quotetype	Requires	<none>	NW-INT-NRPS-RAPFP	01tWC00000DCwWCYA1	10	Can only be purchased alongside Intermapper Server Freeware
Active	CONSTRAINT_no_quotetype	Requires	<none>	GOA-GAM-NRPS-GOBP	01tWC00000DD1NKYA1	10	Can only be sold to customers with GoAnywhere Gateway
Active	DEAD_productname_in_quotetype	AutoAdd	QuoteTypeText__c=Tripwire Enterprise for Microsoft IIS	FIM-FIM-NRPS-TEMIP	01tWC00000DD1n0YAD	10	Year 1 Maintenance Sku added to Tripwire Enterprise for Microsoft IIS Perpetual
Active	DEAD_typo_quotetype	AutoAdd	QuoteTypeText__c=Renewable	FIM-FML-NRPS-CCMMSP	01tWC00000DD16NYAT	10	Year 2 Maintenance Sku added to CCM Management Server Perpetual
Active	DEAD_typo_quotetype	AutoAdd	QuoteTypeText__c=Renewable	FIM-FML-NRPS-CCMSEP	01tWC00000DD16SYAT	10	Year 2 Maintenance Sku added to CCM Scan Engine Perpetual
Active	DEAD_typo_quotetype	AutoAdd	QuoteTypeText__c=renewable	FIM-FML-NRPS-CCMWOR	01tWC00000DD168YAD	10	Year 2 Maintenance Sku added to CCM for Workstations Perpetual
Active	DEAD_typo_quotetype	AutoAdd	QuoteTypeText__c=Renewable	FIM-FML-NRPS-DPELIM	01tWC00000DD1BXYA1	10	Year 2 Maintenance Sku added to Device Profiler Ev Limited Perpetual
Active	DEAD_typo_quotetype	AutoAdd	QuoteTypeText__c=Renewable	FIM-FML-NRPS-DPENON	01tWC00000DD1BbYAL	10	Year 2 Maintenance Sku added to Device Profiler Ev NonTran Unlmtd Use Perpetual
Active	DEAD_typo_quotetype	AutoAdd	QuoteTypeText__c=Renewable	FIM-FML-NRPS-DPEPER	01tWC00000DD1BXYA1	10	Year 2 Maintenance Sku added to Device Profiler Ev Perpetual
Active	DEAD_typo_quotetype	AutoAdd	QuoteTypeText__c=Renwal	FIM-FIM-NRPS-TTBELP	01tWC00000DD1taYAD	20	Year 2 Maintenance Sku added to Tripwire State Analyzer Perpetual
Active	DEAD_wrong_field(Quote_Type__c)	AutoAdd	Quote_Type__c=Renewable	FIM-FML-NRPS-CCMLIM	01tWC00000DD16FYAT	10	Year 2 Maintenance Sku added to CCM Limited Management Server Perpetual license
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	RPA-AUT-NRPS-AMAOP	01tWC00000DD14KYAT	10	Year 1 Maintenance Sku added to Automate Maintenance Add Ons Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	RPA-AUT-NRPS-AUP	01tWC00000DD14yYAD	10	Year 1 Maintenance Sku added to Automate Ultimate Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FML-NRPS-CCMLIM	01tWC00000DD16DYAT	10	Year 1 Maintenance Sku added to CCM Limited Management Server Perpetual license
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FIM-NRPS-CCMLIE	01tWC00000DD16HYAT	10	Year 1 Maintenance Sku added to CCM Limited Scan Engine Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FML-NRPS-CCMMSP	01tWC00000DD16LYAT	10	Year 1 Maintenance Sku added to CCM Management Server Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FML-NRPS-CCMSEP	01tWC00000DD16QYAT	10	Year 1 Maintenance Sku added to CCM Scan Engine Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FML-NRPS-CCMNDP	01tWC00000DD15rYAD	10	Year 1 Maintenance Sku added to CCM for Network Devices Perpetual
Active	NEW_business_autoadd	AutoAdd	QuoteTypeText__c=New	FIM-FML-NRPS-CCMSER	01tWC00000DD15wYAD	10	Year 1 Maintenance Sku added to CCM for Servers Perpetual
