Id,Product2Id,Product2.ProductCode
01uWC000005mZ7bYAE,01tWC00000DD1BRYA1,FIM-FIM-RNM-DPEENM
01uWC000005mZ7cYAE,01tWC00000DD1BTYA1,FIM-FIM-RRM-DPEERM
01uWC000005pESkYAM,01tWC00000DD1OHYA1,GOA-GAM-RRM-GAPBRM
01uWC000005pESqYAM,01tWC00000DD1OMYA1,GOA-GAM-RNM-GASFNM
01uWC000005pESwYAM,01tWC00000DD1OOYA1,GOA-GAM-RRM-GASFRM
01uWC000005pET2YAM,01tWC00000DD1OQYA1,GOA-GAM-RNM-GASM
01uWC000005pET8YAM,01tWC00000DD1OSYA1,GOA-GAM-RRM-GOANS
01uWC000005pETEYA2,01tWC00000DD1OUYA1,GOA-GAM-RNM-GASMNM
01uWC000005pETKYA2,01tWC00000DD1OWYA1,GOA-GAM-RRM-GASMRM
01uWC000005pETQYA2,01tWC00000DD1OYYA1,GOA-GAM-RNM-GASDNM
01uWC000005pETWYA2,01tWC00000DD1OaYAL,GOA-GAM-RRM-GASDRM
01uWC000005pETcYAM,01tWC00000DD1OdYAL,GOA-GAM-RNM-GASLNM
01uWC000005pETiYAM,01tWC00000DD1OfYAL,GOA-GAM-RRM-GASLRM
01uWC000005pEToYAM,01tWC00000DD1OgYAL,GOA-GAM-RNM-GASSNM
01uWC000005pETuYAM,01tWC00000DD1OiYAL,GOA-GAM-RRM-GASSRM
01uWC000005pEU0YAM,01tWC00000DD1OkYAL,GOA-GAM-RNM-GASANM
01uWC000005pEU6YAM,01tWC00000DD1OmYAL,GOA-GAM-RRM-GASARM
01uWC000005pEUCYA2,01tWC00000DD1OoYAL,GOA-GAM-RNM-GASBNM
01uWC000005pHQLYA2,01tWC00000DCwVQYA1,DM-IFO-RRM-IFORRE
01uWC000005pHQRYA2,01tWC00000DCwVSYA1,DM-IFO-RNM-IFOREF
01uWC000005pHTlYAM,01tWC00000DCwVUYA1,DM-IFO-RRM-IFORFA
01uWC000005pHTrYAM,01tWC00000DCwVVYA1,DM-IBM-RNM-IFSTNE
01uWC000005pHTxYAM,01tWC00000DCwVXYA1,DM-IBM-RRM-IFSTRE
01uWC000005pHU3YAM,01tWC00000DCwVZYA1,DM-WCU-RNM-IVLNEW
01uWC000005pHU9YAM,01tWC00000DCwVbYAL,DM-WCU-RRM-IVLREN
01uWC000005pHUFYA2,01tWC00000DCwVcYAL,DM-WCU-RNM-IBONEW
01uWC000005pHULYA2,01tWC00000DCwVeYAL,DM-WCU-RRM-IBOREN
