Product2Id,Product2.ProductCode,Product2.Name,Product2.Family
01tWC00000DD1ggYAD,FIM-FIM-RNM-TATM,Tripwire App - TE Integration Framework - CA Service Desk - Utility-NewMaintenance,New Maintenance
01tWC00000DD09SYAT,DM-DML-RNM-NDIRCN,Native DataImport Report Converter-NewMaintenance,New Maintenance
01tWC00000DD1a5YAD,FIM-FIM-RNM-PMPSNM,Policy Manager for POS Servers-NewMaintenance,New Maintenance
01tWC00000DD23CYAT,SM-ROB-RRM-RBSANRM,"Robot Bundle - Schedule, Alert, Network-RenewalMaintenance",Renewal Maintenance
01tWC00000DD20XYAT,DP-DC-RNM-MCCDBSNM,Message Classification & Classification for Office & Classification for Desktop Bundle - Standard-NewMaintenance,New Maintenance
01tWC00000DD1qaYAD,CM-VCM-RRM-VCMLFR,Vityl Capacity Management License Fee-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1aEYAT,DM-EU-RNM-POP4NE,POP/400 Email Retrieval API-NewMaintenance,New Maintenance
01tWC00000DD0AbYAL,ES-SEG-RNM-OCRF,OCR Feature For Information Governance Server-NewMaintenance,New Maintenance
01tWC00000DD1tzYAD,CM-TQU-RNM-UTQCOO,Unisys - TeamQuest CULL OS2200-OTC-NewMaintenance,New Maintenance
01tWC00000DD1K0YAL,DP-DC-RNM-FCSPNM,Fortra Classifier Suite Plus-NewMaintenance,New Maintenance
01tWC00000DD215YAD,FIM-FIM-RRM-TIARM,Tripwire Industrial Appliance-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1sTYAT,SM-VMC-RRM-VUTM,VMC - Universal Transaction Agent - 5 Script Runners-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1ouYAD,FIM-FIM-RRM-VEMEER,VnE Manager Ev Express-RenewalMaintenance,Renewal Maintenance
01tWC00000DD146YAD,RPA-AUT-RRM-AEDTRM,Automate Enterprise Developer Tools-RenewalMaintenance,Renewal Maintenance
01tWC00000DD238YAD,SM-ROB-RRM-RBCANRM,"Robot Bundle - Console, Alert, Network-RenewalMaintenance",Renewal Maintenance
01tWC00000DD213YAD,FIM-FIM-RNM-FENM,FORTRAVM - EVAL-NewMaintenance,New Maintenance
01tWC00000DD1wKYAT,SM-VMC-RRM-VICONT,VISUAL Control/LPAR Tuner-RenewalMaintenance,Renewal Maintenance
01tWC00000DCxl7YAD,CM-TQO-RRM-TQAM,TeamQuest Analyzer & Predictor & CMIS for Systems-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1KJYA1,DP-DC-RRM-FDAPRM,Fortra DCS Advanced Package-RenewalMaintenance,Renewal Maintenance
01tWC00000DD1avYAD,CS-PCS-RRM-PCSIIR,Powertech Command Security for IBM i-RenewalMaintenance,Renewal Maintenance
01tWC00000DD22cYAD,GS-GSE-RRM-EESMERM,EFT Express Security Module ESM-RenewalMaintenance,Renewal Maintenance
