67.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
19:18:52.1 (1167191)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
19:18:52.1 (1296519)|EXECUTION_STARTED
19:18:52.1 (1308917)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
19:18:52.1 (1885241)|CODE_UNIT_FINISHED|Flow:Quote
19:18:52.1 (1901591)|EXECUTION_FINISHED
19:18:52.9 (9441042)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
19:18:52.9 (9458562)|EXECUTION_STARTED
19:18:52.9 (9468247)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
19:18:52.9 (9500838)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
19:18:52.9 (9555303)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
19:18:52.9 (9682799)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
19:18:52.9 (10894841)|HEAP_ALLOCATE|[95]|Bytes:3
19:18:52.9 (10939191)|HEAP_ALLOCATE|[100]|Bytes:152
19:18:52.9 (10952890)|HEAP_ALLOCATE|[417]|Bytes:408
19:18:52.9 (10963580)|HEAP_ALLOCATE|[430]|Bytes:408
19:18:52.9 (10987876)|HEAP_ALLOCATE|[317]|Bytes:6
19:18:52.9 (11004489)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
19:18:52.9 (11012886)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
19:18:52.9 (11083600)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x301c7acb
19:18:52.9 (11108374)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
19:18:52.9 (11112666)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
19:18:52.9 (11119006)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x301c7acb
19:18:52.9 (11124556)|STATEMENT_EXECUTE|[4]
19:18:52.9 (11148398)|HEAP_ALLOCATE|[68]|Bytes:5
19:18:52.9 (11170852)|HEAP_ALLOCATE|[74]|Bytes:5
19:18:52.9 (11176289)|HEAP_ALLOCATE|[82]|Bytes:7
19:18:52.9 (11211501)|STATEMENT_EXECUTE|[5]
19:18:52.9 (11212619)|STATEMENT_EXECUTE|[6]
19:18:52.9 (17337399)|VARIABLE_SCOPE_BEGIN|[9]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|String|false|true
19:18:52.9 (17353411)|VARIABLE_SCOPE_BEGIN|[8]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|String|false|true
19:18:52.9 (17406045)|HEAP_ALLOCATE|[6]|Bytes:5
19:18:52.9 (17412185)|HEAP_ALLOCATE|[6]|Bytes:5
19:18:52.9 (17460685)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|"Renew"
19:18:52.9 (17464381)|HEAP_ALLOCATE|[6]|Bytes:7
19:18:52.9 (17472319)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|"Renewal"
19:18:52.9 (17498898)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.QuoteRenewalTypeHandler()
19:18:52.9 (17505525)|STATEMENT_EXECUTE|[6]
19:18:52.9 (17511039)|STATEMENT_EXECUTE|[6]
19:18:52.9 (19318412)|SYSTEM_MODE_ENTER|false
19:18:52.9 (19509056)|HEAP_ALLOCATE|[6]|Bytes:5
19:18:52.9 (19524208)|SYSTEM_MODE_EXIT|false
19:18:52.9 (19548244)|METHOD_EXIT|[6]|QuoteRenewalTypeHandler
19:18:52.9 (19569545)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.applyRenewalQuoteType(List<Quote>)
19:18:52.9 (19601897)|VARIABLE_SCOPE_BEGIN|[11]|quotes|List<Quote>|true|false
