67.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
19:18:12.1 (1541450)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
19:18:12.1 (1634451)|EXECUTION_STARTED
19:18:12.1 (1689610)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
19:18:12.1 (2306773)|CODE_UNIT_FINISHED|Flow:Quote
19:18:12.1 (2331533)|EXECUTION_FINISHED
19:18:12.12 (12273760)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
19:18:12.12 (12303040)|EXECUTION_STARTED
19:18:12.12 (12347011)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
19:18:12.12 (12389798)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
19:18:12.12 (12433519)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
19:18:12.12 (12552635)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
19:18:12.12 (13809996)|HEAP_ALLOCATE|[95]|Bytes:3
19:18:12.12 (13868986)|HEAP_ALLOCATE|[100]|Bytes:152
19:18:12.12 (13881703)|HEAP_ALLOCATE|[417]|Bytes:408
19:18:12.12 (13892340)|HEAP_ALLOCATE|[430]|Bytes:408
19:18:12.12 (13910601)|HEAP_ALLOCATE|[317]|Bytes:6
19:18:12.12 (13933061)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
19:18:12.12 (13960704)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
19:18:12.12 (14103965)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x32893e9c
19:18:12.12 (14171673)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
19:18:12.12 (14212951)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
19:18:12.12 (14223853)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x32893e9c
19:18:12.12 (14232330)|STATEMENT_EXECUTE|[4]
19:18:12.12 (14253737)|HEAP_ALLOCATE|[68]|Bytes:5
19:18:12.12 (14311021)|HEAP_ALLOCATE|[74]|Bytes:5
19:18:12.12 (14317699)|HEAP_ALLOCATE|[82]|Bytes:7
19:18:12.12 (14359796)|STATEMENT_EXECUTE|[5]
19:18:12.12 (14360791)|STATEMENT_EXECUTE|[6]
19:18:12.12 (20890536)|VARIABLE_SCOPE_BEGIN|[9]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|String|false|true
19:18:12.12 (20904960)|VARIABLE_SCOPE_BEGIN|[8]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|String|false|true
19:18:12.12 (20953932)|HEAP_ALLOCATE|[6]|Bytes:5
19:18:12.12 (20960741)|HEAP_ALLOCATE|[6]|Bytes:5
19:18:12.12 (20997127)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|"Renew"
19:18:12.12 (20999722)|HEAP_ALLOCATE|[6]|Bytes:7
19:18:12.12 (21003222)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|"Renewal"
19:18:12.12 (21048919)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.QuoteRenewalTypeHandler()
19:18:12.12 (21057596)|STATEMENT_EXECUTE|[6]
19:18:12.12 (21073423)|STATEMENT_EXECUTE|[6]
19:18:12.12 (22971818)|SYSTEM_MODE_ENTER|false
19:18:12.12 (23335528)|HEAP_ALLOCATE|[6]|Bytes:5
19:18:12.12 (23354015)|SYSTEM_MODE_EXIT|false
19:18:12.12 (23378987)|METHOD_EXIT|[6]|QuoteRenewalTypeHandler
19:18:12.12 (23443184)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.applyRenewalQuoteType(List<Quote>)
19:18:12.12 (23516953)|VARIABLE_SCOPE_BEGIN|[11]|quotes|List<Quote>|true|false
19:18:12.12 (89164127)|VARIABLE_ASSIGNMENT|[11]|quotes|[{"LastModifiedDate":"2026-06-24T21:56:40.000Z","Quote_Type__c":"Renewal","Bill_To_Place__c":"a0lWC000004o6W9YAI","Export_Compliance_Status__c":"Pending","Net_Terms_Approval__c":false,"Exchange_Rate_To_USD__c":1.0000000000,"Export_Review_Required__c":false,"Within_Renewal_Window__c":false,"IsPrimary__c":false,"Credit_Renewal_Approval__c":false,"Days_Until_Renewal__c":362,"Renewal_Contract__c":"800WC00000SlUovYAF","QuoteAccountId":"001WC00000lYU5YYAW","Pro_Ration_Method__c":"Monthly","Renewal_ARR_Approval__c":false,"Status":"Draft","Show_Hide_Discounts__c":"Show","IsDeleted":false,"Subtotal":0.00,"Force_New_Contract__c":false,"Net_Contract_Change__c":0.00,"Signed_Quote_Approval__c":false,"Terms_and_Conditions__c":false,"Payment_Portal__c":"Fortra (default)","Original_Contract_ARR__c":0.00,"BillingStateCode":"MN","GrandTotal":0.00,"ShippingPostalCode":"55344","ShippingState":"Minnesota","Mycap__c":false,"Deal_Type__c":"Channel Originated","Id":"0Q0WC000003DMc50AG","Subscription_Pricing_Discount_Approval__c":false,"Net_Terms__c":"Net_30","Discount":0.00,"Services_Discount_Approval__c":false,"Total_Contract_Value_TCV__c":0.00,"LineItemCount":1,"OwnerId":"005WC00000DZ6xVYAT","OpportunityId":"006WC00000RPVp3YAH","LegalEntityId":"0fwWC000000034LYAQ","Language__c":"English","ShippingCity":"Eden Prairie","GSW__c":false,"Manually_Sent__c":false,"CalculationStatus":"Saving","Corporate_Currency_Amount__c":0.00,"Annual_Contract_Value_ACV__c":0.00,"Quote_Displaced_ARR__c":0.00,"OriginalActionType":"Renew","Ship_To_Place__c":"a0lWC000004o6W9YAI","Show_Hide_Product_Number__c":"Show","SystemModstamp":"2026-06-24T21:56:40.000Z","Create_Order_from_Quote__c":false,"BillingCountry":"United States","Manual_Discount__c":0.00,"QuoteToCountryCode":"US","TotalPrice":0.00,"AdditionalCountryCode":"US","Legal_Support_Approval__c":false,"AccountId":"001WC00000lYU5YYAW","ShippingStateCode":"MN","BillingCity":"Eden Prairie","QuoteToCountry":"United States","Total_Discount_Amount__c":0.00,"MYCAP_Approval__c":false,"Name":"Renewal Quote","License_Extension_Approval__c":false,"StartDate":"2026-06-24T00:00:00.000Z","Renewal_Quote_Stale__c":false,"CreatedById":"005WC00000DZ6xVYAT","Auto_Renewal__c":false,"Channel_MSP_Pricing_Discount_Approval__c":false,"BillingPostalCode":"55344","Annualized_License_Equivalent_Base__c":0.00,"Show_Hide_Free_Products__c":"Show","Total_Displaced_ARR__c":0.00,"CurrencyIsoCode":"USD","LegacyRenewalQuote__c":false,"Credit_Renewal_ARR__c":false,"ShippingStreet":"11095 Viking Drive","Annuial_Revenue_Base__c":0.00,"AdditionalCountry":"United States","Total_Quote_Line_ARR__c":0.00,"CreatedDate":"2026-06-24T21:08:08.000Z","Pricebook2Id":"01sWC0000022GHFYA2","IsSyncing":false,"Renewal_Cancellation_Approval__c":false,"BillingState":"Minnesota","TransactionType":"Fortra_Advanced_Pric (3 more) ...","Discount_Renewal_ARR__c":false,"Contains_Offensive_Security__c":false,"BillingCountryCode":"US","Temp_License_Key_Extension__c":false,"Disable_Export_Control__c":false,"ContactId":"003WC00000yRH2JYAW","PartnerAccountId":"001WC00000ZtazZYAR","Export_License_Required__c":false,"Billing_Partner__c":"001WC00000ZtazZYAR","SalesTransactionTypeId":"1ChWC0000002eJ70AI","Maintenance_Discount_Approval__c":false,"Partner_Pricing_Model__c":"Discount","ShippingCountry":"United States","LineGroupCount":0,"Approval_Status__c":"None","Unsigned_Quote_Approval__c":false,"ContractId":"800WC00000SlUovYAF","BillToContactId":"003WC00000yRH2JYAW","Record_Type__c":"Cyber","QuoteTypeText__c":"Renewal","Approval_Rejected_Checkbox__c":false,"ShippingCountryCode":"US","QuoteNumber":"00781297","CanCreateQuoteLineItems":false,"ALE__c":0.00,"BillingStreet":"11095 Viking Drive","Request_Legal_Support__c":false,"Perpetual_Pricing_Discount_Approval__c":false,"LastModifiedById":"005WC00000DZ6xVYAT","Displaced_ARR_Approval__c":false}]|0x5604d48f
19:18:12.12 (91134957)|SYSTEM_MODE_ENTER|false
19:18:12.12 (91167340)|HEAP_ALLOCATE|[12]|Bytes:5
19:18:12.12 (91177801)|STATEMENT_EXECUTE|[11]
19:18:12.12 (91284589)|SYSTEM_METHOD_ENTRY|[12]|List<Quote>.isEmpty()
19:18:12.12 (91460358)|SYSTEM_METHOD_EXIT|[12]|List<Quote>.isEmpty()
19:18:12.12 (91480007)|STATEMENT_EXECUTE|[12]
19:18:12.12 (91538918)|SYSTEM_METHOD_ENTRY|[16]|List<Quote>.iterator()
19:18:12.12 (91716279)|SYSTEM_METHOD_EXIT|[16]|List<Quote>.iterator()
19:18:12.12 (91747129)|SYSTEM_METHOD_ENTRY|[16]|system.ListIterator.hasNext()
19:18:12.12 (91760064)|HEAP_ALLOCATE|[16]|Bytes:5
19:18:12.12 (91772847)|SYSTEM_METHOD_EXIT|[16]|system.ListIterator.hasNext()
19:18:12.12 (91822951)|HEAP_ALLOCATE|[16]|Bytes:4
