67.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
12:20:21.1 (1654561)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
12:20:21.1 (1704043)|EXECUTION_STARTED
12:20:21.1 (1715819)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
12:20:21.1 (2531218)|CODE_UNIT_FINISHED|Flow:Quote
12:20:21.1 (2543196)|EXECUTION_FINISHED
12:20:21.13 (13459862)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
12:20:21.13 (13482644)|EXECUTION_STARTED
12:20:21.13 (13491971)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
12:20:21.13 (13528793)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
12:20:21.13 (13588244)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
12:20:21.13 (13727715)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
12:20:21.13 (15499734)|HEAP_ALLOCATE|[95]|Bytes:3
12:20:21.13 (15578013)|HEAP_ALLOCATE|[100]|Bytes:152
12:20:21.13 (15596820)|HEAP_ALLOCATE|[417]|Bytes:408
12:20:21.13 (15609488)|HEAP_ALLOCATE|[430]|Bytes:408
12:20:21.13 (15631129)|HEAP_ALLOCATE|[317]|Bytes:6
12:20:21.13 (15659863)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
12:20:21.13 (15682060)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
12:20:21.13 (15836113)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x51bd8e58
12:20:21.13 (15898213)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
12:20:21.13 (15905457)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
12:20:21.13 (15916797)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x51bd8e58
12:20:21.13 (15929660)|STATEMENT_EXECUTE|[4]
12:20:21.13 (15957971)|HEAP_ALLOCATE|[68]|Bytes:5
12:20:21.13 (15995164)|HEAP_ALLOCATE|[74]|Bytes:5
12:20:21.13 (16001426)|HEAP_ALLOCATE|[82]|Bytes:7
12:20:21.13 (16042282)|STATEMENT_EXECUTE|[5]
12:20:21.13 (16043833)|STATEMENT_EXECUTE|[6]
12:20:21.13 (24860752)|VARIABLE_SCOPE_BEGIN|[9]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|String|false|true
12:20:21.13 (24880465)|VARIABLE_SCOPE_BEGIN|[8]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|String|false|true
12:20:21.13 (24957873)|HEAP_ALLOCATE|[6]|Bytes:5
12:20:21.13 (24968135)|HEAP_ALLOCATE|[6]|Bytes:5
12:20:21.13 (24990201)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|"Renew"
12:20:21.13 (24993674)|HEAP_ALLOCATE|[6]|Bytes:7
12:20:21.13 (24996694)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|"Renewal"
12:20:21.13 (25036581)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.QuoteRenewalTypeHandler()
12:20:21.13 (25043205)|STATEMENT_EXECUTE|[6]
12:20:21.13 (25052723)|STATEMENT_EXECUTE|[6]
12:20:21.13 (26280157)|SYSTEM_MODE_ENTER|false
12:20:21.13 (26521462)|HEAP_ALLOCATE|[6]|Bytes:5
12:20:21.13 (26543453)|SYSTEM_MODE_EXIT|false
12:20:21.13 (26575259)|METHOD_EXIT|[6]|QuoteRenewalTypeHandler
12:20:21.13 (26632317)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.applyRenewalQuoteType(List<Quote>)
12:20:21.13 (26691573)|VARIABLE_SCOPE_BEGIN|[11]|quotes|List<Quote>|true|false
