 DEVELOPERNAME                                                                    VERSIONNUMBER STATUS   
 ──────────────────────────────────────────────────────────────────────────────── ───────────── ──────── 
 Rev_Mgmt_Default_Pricing_Procedure_V1                                            1             Inactive 
 Rev_Mgmt_Default_Pricing_Procedure_Revenue_Management_Default_Pricing_Procedure0 2             Inactive 
 Rev_Mgmt_Default_Pricing_Procedure_Rev_Mgmt_Default_Pricing_V30                  3             Inactive 
 Rev_Mgmt_Default_Pricing_Procedure_Rev_Mgmt_Default_Pricing_V40                  4             Inactive 
 Rev_Mgmt_Default_Pricing_Procedure_Rev_Mgmt_Default_Pricing_V50                  5             Inactive 
 Rev_Mgmt_Default_Pricing_Procedure_Rev_Mgmt_Default_Pricing_V60                  6             Inactive 
 Rev_Mgmt_Default_Pricing_Procedure_SFRev_Mgmt_Default_Pricing_V70                7             Inactive 
 Rev_Mgmt_Default_Pricing_Procedure_Rev_Mgmt_Default_Pricing_V80                  8             Inactive 
 Rev_Mgmt_Default_Pricing_Procedure_Rev_Mgmt_Default_Pricing_V90                  9             Inactive 
 Rev_Mgmt_Default_Pricing_Procedure_Rev_Mgmt_Default_Pricing_V100                 10            Inactive 
 Rev_Mgmt_Default_Pricing_Procedure_Rev_Mgmt_Default_Pricing_V110                 11            Inactive 
 Rev_Mgmt_Default_Pricing_Procedure_Rev_Mgmt_Default_Pricing_V120                 12            Active   
Total number of records retrieved: 12.
