 QUALIFIEDAPINAME                    DATATYPE                                           
 ─────────────────────────────────── ────────────────────────────────────────────────── 
 ALE__c                              Formula (Currency)                                 
 ALE_Base__c                         Formula (Currency)                                 
 Allow_Regional_Pricing__c           Checkbox                                           
 ARR_Hidden__c                       Currency(16, 2)                                    
 Attribute_Picklist_Value__c         Lookup(Attribute Picklist Value)                   
 Attribute_Price_Mode__c             Picklist                                           
 AttributeMultiplierPct__c           Percent(16, 2)                                     
 Base_Price__c                       Number(16, 2)                                      
 c_CreatedfromEstimate__c            Checkbox                                           
 Clone_Parent_LineItemId__c          Text(18)                                           
 COLA_Applied_Date__c                Date/Time                                          
 COLA_Modified_By__c                 Lookup(User)                                       
 COLA_Modified_Date__c               Date/Time                                          
 COLA_Outyear_Uplift_Percent__c      Number(16, 2)                                      
 COLA_Override_Reason__c             Text(255)                                          
 COLA_Solution_Category__c           Text(100)                                          
 COLA_Source__c                      Picklist                                           
 COLA_Uplift2__c                     Percent(16, 2)                                     
 COLA_Uplift_Percent__c              Number(3, 2)                                       
 COLACalculatedPrice__c              Currency(16, 2)                                    
 COLAUpliftPercent__c                Percent(16, 2)                                     
 Currency__c                         Formula (Text)                                     
 CustomProductName__c                Text(255)                                          
 Default_COLA_Uplift_Percent__c      Number(3, 2)                                       
 Discount_Reason__c                  Picklist                                           
 Discount_Value__c                   Formula (Percent)                                  
 Displaced_ARR__c                    Formula (Currency)                                 
 Displaced_ARR_Base__c               Formula (Currency)                                 
 Displaced_ARR_Input__c              Currency(16, 2)                                    
 Effective_End_Date__c               Date                                               
 Exchange_Rate_To_USD__c             Number(8, 10)                                      
 Export_Control_Category__c          Picklist                                           
 Export_Control_Document__c          Text(255)                                          
 Export_Documentation_Required__c    Picklist                                           
 Final_Year_COLA_Calculated_Price__c Formula (Currency)                                 
 Fortra_Product_Type__c              Picklist                                           
 GSA__c                              Checkbox                                           
 Hardware__c                         Lookup(Hardware)                                   
 Hardware_Attributes_Synced__c       Checkbox                                           
 Hardware_ID__c                      Lookup(Hardware)                                   
 Hardware_Notes__c                   Text(255)                                          
 Hardware_Price_Multiplier__c        Number(12, 4)                                      
 Hardware_Pricing_Applied__c         Checkbox                                           
 Hardware_Pricing_Detail__c          Long Text Area(131072)                             
 Hardware_Pricing_Source__c          Picklist                                           
 Hardware_Reference__c               Lookup(Hardware)                                   
 Hardware_Type__c                    Lookup(Hardware)                                   
 HardwareCalculatedPrice_c__c        Currency(16, 2)                                    
 Has_Attribute_Adjustment__c         Checkbox                                           
 Hostname__c                         Lookup(Hardware)                                   
 Instances__c                        Lookup(Hardware)                                   
 Is_COLA_Overridden__c               Checkbox                                           
 Is_Partner_Price_Overridden__c      Checkbox                                           
 IsProductOfInterest__c              Checkbox                                           
 Legacy_Discount__c                  Currency(16, 2)                                    
 Legacy_Id__c                        Text(100)  (External ID) (Unique Case Insensitive) 
 Legacy_Product_Name__c              Text(255)                                          
 Legacy_Product_Number__c            Text(255)                                          
 License_Type__c                     Text(255)                                          
 LPAR_Number__c                      Text(20)                                           
 LPAR_System_Name__c                 Text(80)                                           
 Model__c                            Lookup(Hardware)                                   
 Multiplier2__c                      Number(8, 10)                                      
 Multiplier__c                       Number(8, 10)                                      
 Partition_Reference__c              Lookup(Partition)                                  
 Partner_Adjusted_Price__c           Currency(16, 2)                                    
 Partner_Discount_Percent__c         Percent(3, 2)                                      
 Partner_Margin_Detail__c            Long Text Area(32000)                              
 Partner_Pricing_Model_Applied__c    Text(50)                                           
 Partner_Pricing_Source__c           Text(50)                                           
 Partner_Pricing_Warning__c          Text(255)                                          
 pGroup__c                           Lookup(Hardware)                                   
 pGroup_Applied__c                   Text(10)                                           
 pGroup_del__c                       Lookup(Hardware)                                   
 pGroup_Source__c                    Picklist                                           
 Postpaid_Service__c                 Checkbox                                           
 Pre_COLA_Price__c                   Currency(16, 2)                                    
 Pre_Hardware_Price__c               Currency(16, 2)                                    
 Pre_Partner_Price__c                Currency(16, 2)                                    
 PrehookRSNetUnitPrice__c            Currency(16, 2)                                    
 Price_Mode__c                       Text(255)                                          
 Prior_Discretionary_Discount__c     Currency(16, 2)                                    
 Prior_Partner_Discount__c           Currency(16, 2)                                    
 Product_Code__c                     Text(255)                                          
 Product_Name__c                     Text(255)                                          
 Product_Type__c                     Picklist                                           
 QLI_NARR__c                         Currency(16, 2)                                    
 QLI_NARR_Calculated__c              Currency(16, 2)                                    
 Quantity_UOM__c                     Formula (Text)                                     
 Quote_Line_ARR__c                   Currency(16, 2)                                    
 Regional_NetUnit_Price__c           Currency(16, 2)                                    
 RegionalPricingExplainerItem__c     Text(255)                                          
 Replaced_Asset__c                   Lookup(Asset)                                      
 Requires_New_Hardware__c            Checkbox                                           
 Sales_Support_Notes__c              Long Text Area(32768)                              
 Serial_Number__c                    Lookup(Hardware)                                   
 Services_Hourly_Rate__c             Currency(16, 2)                                    
 Source_List_Price__c                Currency(16, 2)                                    
 Swap__c                             Checkbox                                           
 System_Type__c                      Lookup(Hardware)                                   
 System_Type_Applied__c              Text(50)                                           
 System_Type_Source__c               Picklist                                           
 Two_Years_After_Start_Date__c       Formula (Checkbox)                                 
 Unique_Product_Identifier__c        Formula (Text)                                     
 Users_Per_Partition__c              Lookup(Hardware)                                   
 Users_Per_Partition_Applied__c      Number(18, 0)                                      
 Users_Per_Partition_del__c          Lookup(Hardware)                                   
 Users_Per_Partition_Source__c       Picklist                                           
 Year_After_StartDate__c             Formula (Checkbox)                                 
Total number of records retrieved: 109.
