67.0 APEX_CODE,FINEST;APEX_PROFILING,ERROR;CALLOUT,INFO;DATA_ACCESS,NONE;DB,INFO;NBA,ERROR;SYSTEM,FINEST;VALIDATION,ERROR;VISUALFORCE,FINE;WAVE,ERROR;WORKFLOW,FINEST
09:07:02.1 (1300763)|USER_INFO|[EXTERNAL]|005WC00000DZ6xV|nir.kailash@coastalcloud.fortra.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
09:07:02.1 (12950392)|FLOW_VALUE_ASSIGNMENT|91679e63e9cafc6b5f7f284748bf19eb7600940-26de|Ramp_Segment_Duration__isVisible|false
09:07:02.1 (12999829)|FLOW_VALUE_ASSIGNMENT|91679e63e9cafc6b5f7f284748bf19eb7600940-26de|Ramp_Segment_Type__isVisible|false
09:07:02.1 (13002928)|FLOW_VALUE_ASSIGNMENT|91679e63e9cafc6b5f7f284748bf19eb7600940-26de|RenewalDecision__isVisible|true
09:07:02.1 (13005698)|FLOW_VALUE_ASSIGNMENT|91679e63e9cafc6b5f7f284748bf19eb7600940-26de|Create_Ramp_Schedule__isVisible|false
09:07:02.1 (13020898)|FLOW_VALUE_ASSIGNMENT|91679e63e9cafc6b5f7f284748bf19eb7600940-26de|RenewalDecision|runtime_revenue_arcflows__arcFlow-1:IsAutomatedRenewal
09:07:02.1 (13023533)|FLOW_VALUE_ASSIGNMENT|91679e63e9cafc6b5f7f284748bf19eb7600940-26de|Renewal_End_Date__isVisible|false
09:07:02.1 (13026122)|FLOW_VALUE_ASSIGNMENT|91679e63e9cafc6b5f7f284748bf19eb7600940-26de|Create_Ramp_Schedule|
09:07:02.1 (13028116)|FLOW_VALUE_ASSIGNMENT|91679e63e9cafc6b5f7f284748bf19eb7600940-26de|Ramp_Segment_Type|
09:07:02.1 (13030033)|FLOW_VALUE_ASSIGNMENT|91679e63e9cafc6b5f7f284748bf19eb7600940-26de|Ramp_Segment_Duration|
09:07:02.1 (13037024)|FLOW_VALUE_ASSIGNMENT|91679e63e9cafc6b5f7f284748bf19eb7600940-26de|Ramp_Number_Of_Segments|
09:07:02.1 (13039034)|FLOW_VALUE_ASSIGNMENT|91679e63e9cafc6b5f7f284748bf19eb7600940-26de|Renewal_Start_Date|
09:07:02.1 (13041101)|FLOW_VALUE_ASSIGNMENT|91679e63e9cafc6b5f7f284748bf19eb7600940-26de|Renewal_Start_Date__isVisible|false
09:07:02.1 (13043668)|FLOW_VALUE_ASSIGNMENT|91679e63e9cafc6b5f7f284748bf19eb7600940-26de|Ramp_Number_Of_Segments__isVisible|false
09:07:02.1 (13046350)|FLOW_VALUE_ASSIGNMENT|91679e63e9cafc6b5f7f284748bf19eb7600940-26de|Renewal_End_Date|
09:07:02.1 (78186730)|FLOW_ELEMENT_BEGIN|91679e63e9cafc6b5f7f284748bf19eb7600940-26de|FlowAssignment|Assign_Renewal_Term
09:07:02.1 (78338500)|FLOW_ASSIGNMENT_DETAIL|91679e63e9cafc6b5f7f284748bf19eb7600940-26de|SelectedRenewalStartDate|ASSIGN|
09:07:02.1 (78353664)|FLOW_ASSIGNMENT_DETAIL|91679e63e9cafc6b5f7f284748bf19eb7600940-26de|SelectedRenewalEndDate|ASSIGN|
09:07:02.1 (78360810)|FLOW_ASSIGNMENT_DETAIL|91679e63e9cafc6b5f7f284748bf19eb7600940-26de|RampSegmentType|ASSIGN|
09:07:02.1 (78371146)|FLOW_ASSIGNMENT_DETAIL|91679e63e9cafc6b5f7f284748bf19eb7600940-26de|RampSegmentDuration|ASSIGN|
09:07:02.1 (78376665)|FLOW_ASSIGNMENT_DETAIL|91679e63e9cafc6b5f7f284748bf19eb7600940-26de|RampNumberOfSegments|ASSIGN|
09:07:02.1 (78404015)|FLOW_VALUE_ASSIGNMENT|91679e63e9cafc6b5f7f284748bf19eb7600940-26de|RampNumberOfSegments|
09:07:02.1 (78406633)|FLOW_VALUE_ASSIGNMENT|91679e63e9cafc6b5f7f284748bf19eb7600940-26de|RampSegmentDuration|
09:07:02.1 (78408765)|FLOW_VALUE_ASSIGNMENT|91679e63e9cafc6b5f7f284748bf19eb7600940-26de|SelectedRenewalStartDate|
09:07:02.1 (78410849)|FLOW_VALUE_ASSIGNMENT|91679e63e9cafc6b5f7f284748bf19eb7600940-26de|RampSegmentType|
09:07:02.1 (78412968)|FLOW_VALUE_ASSIGNMENT|91679e63e9cafc6b5f7f284748bf19eb7600940-26de|SelectedRenewalEndDate|
09:07:02.1 (78489163)|FLOW_ELEMENT_LIMIT_USAGE|48 ms CPU time, total 48 out of 15000
