67.0 APEX_CODE,FINEST;APEX_PROFILING,ERROR;CALLOUT,INFO;DATA_ACCESS,NONE;DB,INFO;NBA,ERROR;SYSTEM,FINEST;VALIDATION,ERROR;VISUALFORCE,FINE;WAVE,ERROR;WORKFLOW,FINEST
10:03:16.1 (1700009)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
10:03:16.1 (1763367)|EXECUTION_STARTED
10:03:16.1 (1790310)|CODE_UNIT_STARTED|[EXTERNAL]|01pWC000002ZJd1|QuotePriceStampQueueable
10:03:16.1 (1977941)|HEAP_ALLOCATE|[95]|Bytes:3
10:03:16.1 (2110621)|HEAP_ALLOCATE|[100]|Bytes:152
10:03:16.1 (2126349)|HEAP_ALLOCATE|[417]|Bytes:408
10:03:16.1 (2140591)|HEAP_ALLOCATE|[430]|Bytes:408
10:03:16.1 (2161451)|HEAP_ALLOCATE|[317]|Bytes:6
10:03:16.1 (2208484)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
10:03:16.1 (2229177)|SYSTEM_METHOD_ENTRY|[14]|QueueableContextImpl.QueueableContextImpl()
10:03:16.1 (2240539)|STATEMENT_EXECUTE|[14]
10:03:16.1 (2257609)|SYSTEM_METHOD_EXIT|[14]|QueueableContextImpl
10:03:16.1 (2262327)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
10:03:16.1 (2265032)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:03:16.1 (2281858)|VARIABLE_SCOPE_BEGIN|[21]|this|System.QueueableContextImpl|true|false
10:03:16.1 (2391882)|VARIABLE_ASSIGNMENT|[21]|this|{}|0x75d558e8
10:03:16.1 (2396103)|VARIABLE_SCOPE_BEGIN|[21]|jobId|Id|false|false
10:03:16.1 (2516418)|VARIABLE_ASSIGNMENT|[21]|jobId|"707WC0000335sAKYAY"
10:03:16.1 (6335888)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:03:16.1 (6361858)|METHOD_ENTRY|[5]|01pWC000002ZJd1|QuotePriceStampQueueable.QuotePriceStampQueueable()
10:03:16.1 (6366733)|STATEMENT_EXECUTE|[5]
10:03:16.1 (6371919)|STATEMENT_EXECUTE|[5]
10:03:16.1 (6390492)|HEAP_ALLOCATE|[68]|Bytes:5
10:03:16.1 (6415191)|HEAP_ALLOCATE|[74]|Bytes:5
10:03:16.1 (6421479)|HEAP_ALLOCATE|[82]|Bytes:7
10:03:16.1 (8311173)|SYSTEM_MODE_ENTER|false
10:03:16.1 (8708730)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
10:03:16.1 (8734485)|SYSTEM_MODE_EXIT|false
10:03:16.1 (8747410)|METHOD_EXIT|[5]|QuotePriceStampQueueable
10:03:16.1 (8756870)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
10:03:16.1 (8759524)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
10:03:16.1 (8781168)|VARIABLE_SCOPE_BEGIN|[12]|this|QuotePriceStampQueueable|true|false
10:03:16.1 (8856878)|VARIABLE_ASSIGNMENT|[12]|this|{"quoteId":"0Q0WC000002VENJ0A4"}|0x1e5ef4d0
10:03:16.1 (8862367)|VARIABLE_SCOPE_BEGIN|[12]|context|System.QueueableContext|true|false
10:03:16.1 (8878871)|VARIABLE_ASSIGNMENT|[12]|context|{"jobId":"707WC0000335sAKYAY"}|0x75d558e8
10:03:16.1 (8892350)|SYSTEM_MODE_ENTER|false
10:03:16.1 (8896336)|HEAP_ALLOCATE|[13]|Bytes:5
10:03:16.1 (8899459)|STATEMENT_EXECUTE|[12]
10:03:16.1 (8900440)|STATEMENT_EXECUTE|[13]
10:03:16.1 (17364435)|VARIABLE_SCOPE_BEGIN|[30]|PartnerNetPricePosthook.CONTEXT_DEFINITION_NAME|String|false|true
10:03:16.1 (17378115)|VARIABLE_SCOPE_BEGIN|[29]|PartnerNetPricePosthook.MODEL_DISCOUNT|String|false|true
10:03:16.1 (17382090)|VARIABLE_SCOPE_BEGIN|[28]|PartnerNetPricePosthook.MODEL_GUARANTEED_MARGIN|String|false|true
10:03:16.1 (17385974)|VARIABLE_SCOPE_BEGIN|[26]|PartnerNetPricePosthook.PARTNER_SOURCE_PROCEDURE|String|false|true
10:03:16.1 (17390237)|VARIABLE_SCOPE_BEGIN|[32]|PartnerNetPricePosthook.isProcessing|Boolean|false|true
10:03:16.1 (17430868)|HEAP_ALLOCATE|[13]|Bytes:134
10:03:16.1 (17436887)|HEAP_ALLOCATE|[13]|Bytes:338
10:03:16.1 (17439099)|HEAP_ALLOCATE|[13]|Bytes:66
10:03:16.1 (17440864)|HEAP_ALLOCATE|[13]|Bytes:29
10:03:16.1 (17471896)|VARIABLE_ASSIGNMENT|[13]|PartnerNetPricePosthook.CONTEXT_DEFINITION_NAME|"SalesTransactionCont (9 more) ..."
10:03:16.1 (17474655)|HEAP_ALLOCATE|[13]|Bytes:8
10:03:16.1 (17478050)|VARIABLE_ASSIGNMENT|[13]|PartnerNetPricePosthook.MODEL_DISCOUNT|"Discount"
10:03:16.1 (17503855)|HEAP_ALLOCATE|[13]|Bytes:17
10:03:16.1 (17508402)|VARIABLE_ASSIGNMENT|[13]|PartnerNetPricePosthook.MODEL_GUARANTEED_MARGIN|"Guaranteed Margin"
10:03:16.1 (17510754)|HEAP_ALLOCATE|[13]|Bytes:29
10:03:16.1 (17514637)|VARIABLE_ASSIGNMENT|[13]|PartnerNetPricePosthook.PARTNER_SOURCE_PROCEDURE|"System Calculated (P (9 more) ..."
10:03:16.1 (17532172)|METHOD_ENTRY|[24]|01pWC000002VmiL|PartnerNetPricePosthook.PartnerNetPricePosthook()
10:03:16.1 (17536663)|STATEMENT_EXECUTE|[24]
10:03:16.1 (17540264)|STATEMENT_EXECUTE|[24]
10:03:16.1 (17541394)|STATEMENT_EXECUTE|[32]
10:03:16.1 (17553074)|HEAP_ALLOCATE|[32]|Bytes:5
10:03:16.1 (17559096)|VARIABLE_ASSIGNMENT|[32]|PartnerNetPricePosthook.isProcessing|false
10:03:16.1 (17561357)|STATEMENT_EXECUTE|[35]
10:03:16.1 (17562187)|STATEMENT_EXECUTE|[48]
10:03:16.1 (17562936)|STATEMENT_EXECUTE|[1268]
10:03:16.1 (17563976)|STATEMENT_EXECUTE|[1299]
10:03:16.1 (17564831)|STATEMENT_EXECUTE|[1306]
10:03:16.1 (17565649)|STATEMENT_EXECUTE|[2270]
10:03:16.1 (17570191)|METHOD_EXIT|[24]|PartnerNetPricePosthook
10:03:16.1 (17592646)|METHOD_ENTRY|[13]|01pWC000002VmiL|PartnerNetPricePosthook.stampAttributeListPricesForQuote(Id)
10:03:16.1 (17637003)|VARIABLE_SCOPE_BEGIN|[2300]|quoteId|Id|false|false
10:03:16.1 (17669671)|VARIABLE_ASSIGNMENT|[2300]|quoteId|"0Q0WC000002VENJ0A4"
10:03:16.1 (17673917)|STATEMENT_EXECUTE|[2300]
10:03:16.1 (17675816)|STATEMENT_EXECUTE|[2301]
10:03:16.1 (17676657)|STATEMENT_EXECUTE|[2305]
10:03:16.1 (17687089)|HEAP_ALLOCATE|[2305]|Bytes:4
10:03:16.1 (17713444)|CONSTRUCTOR_ENTRY|[2305]|01pWC000002VmiL|<init>()|PartnerNetPricePosthook
10:03:16.1 (17855439)|VARIABLE_SCOPE_BEGIN|[24]|this|PartnerNetPricePosthook|true|false
10:03:16.1 (17878029)|VARIABLE_ASSIGNMENT|[24]|this|{}|0x7d8c6dda
10:03:16.1 (17893015)|STATEMENT_EXECUTE|[24]
10:03:16.1 (17901064)|CONSTRUCTOR_EXIT|[2305]|01pWC000002VmiL|<init>()|PartnerNetPricePosthook
10:03:16.1 (17909437)|METHOD_ENTRY|[2305]|01pWC000002VmiL|PartnerNetPricePosthook.loadMaintenanceRates()
10:03:16.1 (17912877)|VARIABLE_SCOPE_BEGIN|[1853]|this|PartnerNetPricePosthook|true|false
