67.0 APEX_CODE,FINEST;APEX_PROFILING,ERROR;CALLOUT,INFO;DATA_ACCESS,NONE;DB,INFO;NBA,ERROR;SYSTEM,FINEST;VALIDATION,ERROR;VISUALFORCE,FINE;WAVE,ERROR;WORKFLOW,FINEST
10:30:50.1 (1553327)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
10:30:50.1 (1626558)|EXECUTION_STARTED
10:30:50.1 (1653939)|CODE_UNIT_STARTED|[EXTERNAL]|01pWC000002ZJd1|QuotePriceStampQueueable
10:30:50.1 (1918554)|HEAP_ALLOCATE|[95]|Bytes:3
10:30:50.1 (2020828)|HEAP_ALLOCATE|[100]|Bytes:152
10:30:50.1 (2035521)|HEAP_ALLOCATE|[417]|Bytes:408
10:30:50.1 (2045796)|HEAP_ALLOCATE|[430]|Bytes:408
10:30:50.1 (2066271)|HEAP_ALLOCATE|[317]|Bytes:6
10:30:50.1 (2108848)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
10:30:50.1 (2124853)|SYSTEM_METHOD_ENTRY|[14]|QueueableContextImpl.QueueableContextImpl()
10:30:50.1 (2135138)|STATEMENT_EXECUTE|[14]
10:30:50.1 (2163312)|SYSTEM_METHOD_EXIT|[14]|QueueableContextImpl
10:30:50.1 (2175134)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
10:30:50.1 (2177687)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:30:50.1 (2193052)|VARIABLE_SCOPE_BEGIN|[21]|this|System.QueueableContextImpl|true|false
10:30:50.1 (2337415)|VARIABLE_ASSIGNMENT|[21]|this|{}|0x754176b
10:30:50.1 (2341450)|VARIABLE_SCOPE_BEGIN|[21]|jobId|Id|false|false
10:30:50.1 (2486740)|VARIABLE_ASSIGNMENT|[21]|jobId|"707WC0000336EhOYAU"
10:30:50.1 (6495737)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:30:50.1 (6519239)|METHOD_ENTRY|[5]|01pWC000002ZJd1|QuotePriceStampQueueable.QuotePriceStampQueueable()
10:30:50.1 (6524201)|STATEMENT_EXECUTE|[5]
10:30:50.1 (6529167)|STATEMENT_EXECUTE|[5]
10:30:50.1 (6549974)|HEAP_ALLOCATE|[68]|Bytes:5
