67.0 APEX_CODE,FINEST;APEX_PROFILING,ERROR;CALLOUT,INFO;DATA_ACCESS,NONE;DB,INFO;NBA,ERROR;SYSTEM,FINEST;VALIDATION,ERROR;VISUALFORCE,FINE;WAVE,ERROR;WORKFLOW,FINEST
09:55:47.1 (1339981)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
09:55:47.1 (1383741)|EXECUTION_STARTED
09:55:47.1 (1399343)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
09:55:47.1 (2123933)|CODE_UNIT_FINISHED|Flow:Quote
09:55:47.1 (2135440)|EXECUTION_FINISHED
09:55:47.13 (13183501)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
09:55:47.13 (13215154)|EXECUTION_STARTED
09:55:47.13 (13226143)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
09:55:47.13 (13267311)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
09:55:47.13 (13339476)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
09:55:47.13 (13511427)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
09:55:47.13 (15245249)|HEAP_ALLOCATE|[95]|Bytes:3
09:55:47.13 (15308673)|HEAP_ALLOCATE|[100]|Bytes:152
09:55:47.13 (15325784)|HEAP_ALLOCATE|[417]|Bytes:408
09:55:47.13 (15343150)|HEAP_ALLOCATE|[430]|Bytes:408
09:55:47.13 (15372626)|HEAP_ALLOCATE|[317]|Bytes:6
09:55:47.13 (15404839)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
09:55:47.13 (15430144)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
09:55:47.13 (15567314)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x50fb1cbc
09:55:47.13 (15604849)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
09:55:47.13 (15611211)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
09:55:47.13 (15621237)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x50fb1cbc
09:55:47.13 (15633738)|STATEMENT_EXECUTE|[4]
09:55:47.13 (15655557)|HEAP_ALLOCATE|[68]|Bytes:5
09:55:47.13 (15685830)|HEAP_ALLOCATE|[74]|Bytes:5
