67.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
21:14:09.0 (858888)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
21:14:09.0 (920876)|EXECUTION_STARTED
21:14:09.0 (929589)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
21:14:09.0 (1727556)|CODE_UNIT_FINISHED|Flow:Quote
21:14:09.0 (1740221)|EXECUTION_FINISHED
21:14:09.13 (13520337)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
21:14:09.13 (13538780)|EXECUTION_STARTED
21:14:09.13 (13546357)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
21:14:09.13 (13576290)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
21:14:09.13 (13636628)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
21:14:09.13 (13773849)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
21:14:09.13 (14472087)|HEAP_ALLOCATE|[95]|Bytes:3
21:14:09.13 (14520039)|HEAP_ALLOCATE|[100]|Bytes:152
21:14:09.13 (14533681)|HEAP_ALLOCATE|[417]|Bytes:408
21:14:09.13 (14544222)|HEAP_ALLOCATE|[430]|Bytes:408
21:14:09.13 (14563313)|HEAP_ALLOCATE|[317]|Bytes:6
21:14:09.13 (14586343)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
21:14:09.13 (14593341)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
21:14:09.13 (14672151)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x75052782
21:14:09.13 (14707263)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
21:14:09.13 (14711979)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
21:14:09.13 (14718084)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x75052782
21:14:09.13 (14722978)|STATEMENT_EXECUTE|[4]
21:14:09.13 (14739308)|HEAP_ALLOCATE|[68]|Bytes:5
21:14:09.13 (14760981)|HEAP_ALLOCATE|[74]|Bytes:5
21:14:09.13 (14765799)|HEAP_ALLOCATE|[82]|Bytes:7
21:14:09.13 (14797421)|STATEMENT_EXECUTE|[5]
21:14:09.13 (14798519)|STATEMENT_EXECUTE|[6]
21:14:09.13 (22131313)|VARIABLE_SCOPE_BEGIN|[9]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|String|false|true
21:14:09.13 (22146706)|VARIABLE_SCOPE_BEGIN|[8]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|String|false|true
21:14:09.13 (22213361)|HEAP_ALLOCATE|[6]|Bytes:5
21:14:09.13 (22222491)|HEAP_ALLOCATE|[6]|Bytes:5
21:14:09.13 (22244618)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|"Renew"
21:14:09.13 (22248457)|HEAP_ALLOCATE|[6]|Bytes:7
21:14:09.13 (22253031)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|"Renewal"
21:14:09.13 (22279198)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.QuoteRenewalTypeHandler()
21:14:09.13 (22284764)|STATEMENT_EXECUTE|[6]
21:14:09.13 (22291275)|STATEMENT_EXECUTE|[6]
21:14:09.13 (24285991)|SYSTEM_MODE_ENTER|false
21:14:09.13 (24748199)|HEAP_ALLOCATE|[6]|Bytes:5
21:14:09.13 (24765068)|SYSTEM_MODE_EXIT|false
21:14:09.13 (24782959)|METHOD_EXIT|[6]|QuoteRenewalTypeHandler
21:14:09.13 (24826513)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.applyRenewalQuoteType(List<Quote>)
21:14:09.13 (24869787)|VARIABLE_SCOPE_BEGIN|[11]|quotes|List<Quote>|true|false
