67.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
21:14:14.0 (308015)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
21:14:14.0 (381658)|EXECUTION_STARTED
21:14:14.0 (389138)|CODE_UNIT_STARTED|[EXTERNAL]|Flow:Quote
21:14:14.0 (1208253)|CODE_UNIT_FINISHED|Flow:Quote
21:14:14.0 (1220735)|EXECUTION_FINISHED
21:14:14.8 (8916408)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
21:14:14.8 (8934979)|EXECUTION_STARTED
21:14:14.8 (8941800)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
21:14:14.8 (8971015)|CODE_UNIT_STARTED|[EXTERNAL]|01qWC000007NC1F|QuoteTrigger on Quote trigger event BeforeUpdate|__sfdc_trigger/QuoteTrigger
21:14:14.8 (9028024)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
21:14:14.8 (9145572)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
21:14:14.8 (10557408)|HEAP_ALLOCATE|[95]|Bytes:3
21:14:14.8 (10609276)|HEAP_ALLOCATE|[100]|Bytes:152
21:14:14.8 (10622609)|HEAP_ALLOCATE|[417]|Bytes:408
21:14:14.8 (10634284)|HEAP_ALLOCATE|[430]|Bytes:408
21:14:14.8 (10652784)|HEAP_ALLOCATE|[317]|Bytes:6
21:14:14.8 (10671915)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
21:14:14.8 (10678464)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
21:14:14.8 (10773045)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x50615110
21:14:14.8 (10820719)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
21:14:14.8 (10826004)|VARIABLE_SCOPE_BEGIN|[4]|this|QuoteTrigger|true|false
21:14:14.8 (10832539)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x50615110
21:14:14.8 (10837687)|STATEMENT_EXECUTE|[4]
21:14:14.8 (10855168)|HEAP_ALLOCATE|[68]|Bytes:5
21:14:14.8 (10877860)|HEAP_ALLOCATE|[74]|Bytes:5
21:14:14.8 (10885478)|HEAP_ALLOCATE|[82]|Bytes:7
21:14:14.8 (10919180)|STATEMENT_EXECUTE|[5]
21:14:14.8 (10920037)|STATEMENT_EXECUTE|[6]
21:14:14.8 (13262554)|VARIABLE_SCOPE_BEGIN|[9]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|String|false|true
21:14:14.8 (13275239)|VARIABLE_SCOPE_BEGIN|[8]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|String|false|true
21:14:14.8 (13317867)|HEAP_ALLOCATE|[6]|Bytes:5
21:14:14.8 (13324741)|HEAP_ALLOCATE|[6]|Bytes:5
21:14:14.8 (13338934)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.ORIGINAL_ACTION_RENEW|"Renew"
21:14:14.8 (13341530)|HEAP_ALLOCATE|[6]|Bytes:7
21:14:14.8 (13344585)|VARIABLE_ASSIGNMENT|[6]|QuoteRenewalTypeHandler.QUOTE_TYPE_RENEWAL|"Renewal"
21:14:14.8 (13364985)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.QuoteRenewalTypeHandler()
21:14:14.8 (13369026)|STATEMENT_EXECUTE|[6]
21:14:14.8 (13372806)|STATEMENT_EXECUTE|[6]
21:14:14.8 (14295576)|SYSTEM_MODE_ENTER|false
21:14:14.8 (14507308)|HEAP_ALLOCATE|[6]|Bytes:5
21:14:14.8 (14520029)|SYSTEM_MODE_EXIT|false
21:14:14.8 (14534519)|METHOD_EXIT|[6]|QuoteRenewalTypeHandler
21:14:14.8 (14566642)|METHOD_ENTRY|[6]|01pWC000002VWVV|QuoteRenewalTypeHandler.applyRenewalQuoteType(List<Quote>)
21:14:14.8 (14607368)|VARIABLE_SCOPE_BEGIN|[11]|quotes|List<Quote>|true|false
