67.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
17:08:56.0 (217476)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
17:08:56.0 (251043)|EXECUTION_STARTED
17:08:56.0 (265242)|CODE_UNIT_STARTED|[EXTERNAL]|01pWC000002ZJd1|QuotePriceStampQueueable
17:08:56.0 (480471)|HEAP_ALLOCATE|[95]|Bytes:3
17:08:56.0 (541633)|HEAP_ALLOCATE|[100]|Bytes:152
17:08:56.0 (556255)|HEAP_ALLOCATE|[417]|Bytes:408
17:08:56.0 (566252)|HEAP_ALLOCATE|[430]|Bytes:408
17:08:56.0 (587929)|HEAP_ALLOCATE|[317]|Bytes:6
17:08:56.0 (7490529)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:08:56.0 (7517523)|SYSTEM_METHOD_ENTRY|[14]|QueueableContextImpl.QueueableContextImpl()
17:08:56.0 (7522113)|STATEMENT_EXECUTE|[14]
17:08:56.0 (7531815)|SYSTEM_METHOD_EXIT|[14]|QueueableContextImpl
17:08:56.0 (7539637)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:08:56.0 (7542335)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:08:56.0 (7546555)|VARIABLE_SCOPE_BEGIN|[21]|this|System.QueueableContextImpl|true|false
17:08:56.0 (7641215)|VARIABLE_ASSIGNMENT|[21]|this|{}|0x43a8da54
17:08:56.0 (7644940)|VARIABLE_SCOPE_BEGIN|[21]|jobId|Id|false|false
17:08:56.0 (7763802)|VARIABLE_ASSIGNMENT|[21]|jobId|"707WC000035I7sQYAS"
17:08:56.0 (10352725)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:08:56.0 (10379022)|METHOD_ENTRY|[5]|01pWC000002ZJd1|QuotePriceStampQueueable.QuotePriceStampQueueable()
17:08:56.0 (10384492)|STATEMENT_EXECUTE|[5]
17:08:56.0 (10388397)|STATEMENT_EXECUTE|[5]
17:08:56.0 (10407460)|HEAP_ALLOCATE|[68]|Bytes:5
17:08:56.0 (10459126)|HEAP_ALLOCATE|[74]|Bytes:5
17:08:56.0 (10464976)|HEAP_ALLOCATE|[82]|Bytes:7
17:08:56.0 (11328206)|SYSTEM_MODE_ENTER|false
17:08:56.0 (11498752)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:08:56.0 (11507047)|SYSTEM_MODE_EXIT|false
17:08:56.0 (11522299)|METHOD_EXIT|[5]|QuotePriceStampQueueable
17:08:56.0 (11527316)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:08:56.0 (11529397)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:08:56.0 (11535453)|VARIABLE_SCOPE_BEGIN|[12]|this|QuotePriceStampQueueable|true|false
17:08:56.0 (11597744)|VARIABLE_ASSIGNMENT|[12]|this|{"quoteId":"0Q0WC000003FaEL0A0"}|0x40640eaf
17:08:56.0 (11601552)|VARIABLE_SCOPE_BEGIN|[12]|context|System.QueueableContext|true|false
17:08:56.0 (11617752)|VARIABLE_ASSIGNMENT|[12]|context|{"jobId":"707WC000035I7sQYAS"}|0x43a8da54
17:08:56.0 (11628149)|SYSTEM_MODE_ENTER|false
17:08:56.0 (11631164)|HEAP_ALLOCATE|[13]|Bytes:5
17:08:56.0 (11634226)|STATEMENT_EXECUTE|[12]
17:08:56.0 (11635409)|STATEMENT_EXECUTE|[13]
17:08:56.0 (11721951)|VARIABLE_SCOPE_BEGIN|[30]|PartnerNetPricePosthook.CONTEXT_DEFINITION_NAME|String|false|true
17:08:56.0 (11726601)|VARIABLE_SCOPE_BEGIN|[29]|PartnerNetPricePosthook.MODEL_DISCOUNT|String|false|true
17:08:56.0 (11729926)|VARIABLE_SCOPE_BEGIN|[28]|PartnerNetPricePosthook.MODEL_GUARANTEED_MARGIN|String|false|true
17:08:56.0 (11758552)|VARIABLE_SCOPE_BEGIN|[26]|PartnerNetPricePosthook.PARTNER_SOURCE_PROCEDURE|String|false|true
17:08:56.0 (11762046)|VARIABLE_SCOPE_BEGIN|[32]|PartnerNetPricePosthook.isProcessing|Boolean|false|true
17:08:56.0 (11793828)|HEAP_ALLOCATE|[13]|Bytes:134
17:08:56.0 (11796778)|HEAP_ALLOCATE|[13]|Bytes:353
17:08:56.0 (11798595)|HEAP_ALLOCATE|[13]|Bytes:66
17:08:56.0 (11800152)|HEAP_ALLOCATE|[13]|Bytes:29
17:08:56.0 (11826867)|VARIABLE_ASSIGNMENT|[13]|PartnerNetPricePosthook.CONTEXT_DEFINITION_NAME|"SalesTransactionCont (9 more) ..."
17:08:56.0 (11829811)|HEAP_ALLOCATE|[13]|Bytes:8
17:08:56.0 (11833932)|VARIABLE_ASSIGNMENT|[13]|PartnerNetPricePosthook.MODEL_DISCOUNT|"Discount"
17:08:56.0 (11836008)|HEAP_ALLOCATE|[13]|Bytes:17
17:08:56.0 (11840376)|VARIABLE_ASSIGNMENT|[13]|PartnerNetPricePosthook.MODEL_GUARANTEED_MARGIN|"Guaranteed Margin"
17:08:56.0 (11842365)|HEAP_ALLOCATE|[13]|Bytes:29
17:08:56.0 (11846483)|VARIABLE_ASSIGNMENT|[13]|PartnerNetPricePosthook.PARTNER_SOURCE_PROCEDURE|"System Calculated (P (9 more) ..."
17:08:56.0 (11855442)|METHOD_ENTRY|[24]|01pWC000002VmiL|PartnerNetPricePosthook.PartnerNetPricePosthook()
17:08:56.0 (11857781)|STATEMENT_EXECUTE|[24]
17:08:56.0 (11859666)|STATEMENT_EXECUTE|[24]
17:08:56.0 (11860323)|STATEMENT_EXECUTE|[32]
17:08:56.0 (11865026)|HEAP_ALLOCATE|[32]|Bytes:5
17:08:56.0 (11871261)|VARIABLE_ASSIGNMENT|[32]|PartnerNetPricePosthook.isProcessing|false
17:08:56.0 (11873468)|STATEMENT_EXECUTE|[35]
17:08:56.0 (11874390)|STATEMENT_EXECUTE|[48]
17:08:56.0 (11875271)|STATEMENT_EXECUTE|[1268]
17:08:56.0 (11876020)|STATEMENT_EXECUTE|[1302]
