67.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DATA_ACCESS,INFO;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
17:09:15.1 (1466319)|USER_INFO|[EXTERNAL]|005WC00000MgTN2|liam.jeong.c@fortra.com.uat|(GMT-07:00) Pacific Daylight Time (America/Los_Angeles)|GMT-07:00
17:09:15.1 (1536962)|EXECUTION_STARTED
17:09:15.1 (1560420)|CODE_UNIT_STARTED|[EXTERNAL]|01pWC000002ZJd1|QuotePriceStampQueueable
17:09:15.1 (1855911)|HEAP_ALLOCATE|[95]|Bytes:3
17:09:15.1 (1969295)|HEAP_ALLOCATE|[100]|Bytes:152
17:09:15.1 (1986308)|HEAP_ALLOCATE|[417]|Bytes:408
17:09:15.1 (2022620)|HEAP_ALLOCATE|[430]|Bytes:408
17:09:15.1 (2052366)|HEAP_ALLOCATE|[317]|Bytes:6
17:09:15.1 (2098700)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:09:15.1 (2121362)|SYSTEM_METHOD_ENTRY|[14]|QueueableContextImpl.QueueableContextImpl()
17:09:15.1 (2133334)|STATEMENT_EXECUTE|[14]
17:09:15.1 (2148567)|SYSTEM_METHOD_EXIT|[14]|QueueableContextImpl
17:09:15.1 (2155539)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:09:15.1 (2158817)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:09:15.1 (2178916)|VARIABLE_SCOPE_BEGIN|[21]|this|System.QueueableContextImpl|true|false
17:09:15.1 (2312645)|VARIABLE_ASSIGNMENT|[21]|this|{}|0x21fcab16
17:09:15.1 (2317353)|VARIABLE_SCOPE_BEGIN|[21]|jobId|Id|false|false
17:09:15.1 (2457119)|VARIABLE_ASSIGNMENT|[21]|jobId|"707WC000035I7vbYAC"
17:09:15.1 (5366259)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:09:15.1 (5393836)|METHOD_ENTRY|[5]|01pWC000002ZJd1|QuotePriceStampQueueable.QuotePriceStampQueueable()
17:09:15.1 (5400744)|STATEMENT_EXECUTE|[5]
17:09:15.1 (5406416)|STATEMENT_EXECUTE|[5]
17:09:15.1 (5432003)|HEAP_ALLOCATE|[68]|Bytes:5
17:09:15.1 (5462538)|HEAP_ALLOCATE|[74]|Bytes:5
17:09:15.1 (5472744)|HEAP_ALLOCATE|[82]|Bytes:7
17:09:15.1 (6867795)|SYSTEM_MODE_ENTER|false
17:09:15.1 (7366997)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:09:15.1 (7385935)|SYSTEM_MODE_EXIT|false
17:09:15.1 (7401949)|METHOD_EXIT|[5]|QuotePriceStampQueueable
17:09:15.1 (7415556)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:09:15.1 (7419071)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:09:15.1 (7433568)|VARIABLE_SCOPE_BEGIN|[12]|this|QuotePriceStampQueueable|true|false
17:09:15.1 (7539717)|VARIABLE_ASSIGNMENT|[12]|this|{"quoteId":"0Q0WC000003GWzt0AG"}|0x63926bc
17:09:15.1 (7545534)|VARIABLE_SCOPE_BEGIN|[12]|context|System.QueueableContext|true|false
17:09:15.1 (7571493)|VARIABLE_ASSIGNMENT|[12]|context|{"jobId":"707WC000035I7vbYAC"}|0x21fcab16
17:09:15.1 (7589566)|SYSTEM_MODE_ENTER|false
17:09:15.1 (7595211)|HEAP_ALLOCATE|[13]|Bytes:5
17:09:15.1 (7599663)|STATEMENT_EXECUTE|[12]
17:09:15.1 (7600971)|STATEMENT_EXECUTE|[13]
17:09:15.1 (19352994)|VARIABLE_SCOPE_BEGIN|[30]|PartnerNetPricePosthook.CONTEXT_DEFINITION_NAME|String|false|true
17:09:15.1 (19372833)|VARIABLE_SCOPE_BEGIN|[29]|PartnerNetPricePosthook.MODEL_DISCOUNT|String|false|true
17:09:15.1 (19378419)|VARIABLE_SCOPE_BEGIN|[28]|PartnerNetPricePosthook.MODEL_GUARANTEED_MARGIN|String|false|true
17:09:15.1 (19383747)|VARIABLE_SCOPE_BEGIN|[26]|PartnerNetPricePosthook.PARTNER_SOURCE_PROCEDURE|String|false|true
17:09:15.1 (19390520)|VARIABLE_SCOPE_BEGIN|[32]|PartnerNetPricePosthook.isProcessing|Boolean|false|true
17:09:15.1 (19455355)|HEAP_ALLOCATE|[13]|Bytes:134
17:09:15.1 (19464165)|HEAP_ALLOCATE|[13]|Bytes:353
17:09:15.1 (19467053)|HEAP_ALLOCATE|[13]|Bytes:66
17:09:15.1 (19469565)|HEAP_ALLOCATE|[13]|Bytes:29
17:09:15.1 (19505865)|VARIABLE_ASSIGNMENT|[13]|PartnerNetPricePosthook.CONTEXT_DEFINITION_NAME|"SalesTransactionCont (9 more) ..."
17:09:15.1 (19509327)|HEAP_ALLOCATE|[13]|Bytes:8
17:09:15.1 (19513657)|VARIABLE_ASSIGNMENT|[13]|PartnerNetPricePosthook.MODEL_DISCOUNT|"Discount"
17:09:15.1 (19516772)|HEAP_ALLOCATE|[13]|Bytes:17
17:09:15.1 (19521544)|VARIABLE_ASSIGNMENT|[13]|PartnerNetPricePosthook.MODEL_GUARANTEED_MARGIN|"Guaranteed Margin"
17:09:15.1 (19524554)|HEAP_ALLOCATE|[13]|Bytes:29
17:09:15.1 (19529724)|VARIABLE_ASSIGNMENT|[13]|PartnerNetPricePosthook.PARTNER_SOURCE_PROCEDURE|"System Calculated (P (9 more) ..."
17:09:15.1 (19554941)|METHOD_ENTRY|[24]|01pWC000002VmiL|PartnerNetPricePosthook.PartnerNetPricePosthook()
17:09:15.1 (19560031)|STATEMENT_EXECUTE|[24]
17:09:15.1 (19564112)|STATEMENT_EXECUTE|[24]
17:09:15.1 (19565392)|STATEMENT_EXECUTE|[32]
17:09:15.1 (19581164)|HEAP_ALLOCATE|[32]|Bytes:5
17:09:15.1 (19589428)|VARIABLE_ASSIGNMENT|[32]|PartnerNetPricePosthook.isProcessing|false
