seq	label	stepType	actionType	customName	nCriteria	nParams	description
1	All Lines Null Safe Filter	AdvancedListFilter			1	0	
1	Amend Filter	AdvancedListFilter			3	0	
1	Attribute Pricing Filter	AdvancedListFilter			4	0	
1	Attribute Pricing Filter	AdvancedListFilter			3	0	
1	Attribute Value Pricing - Calculated Mode	AdvancedListFilter			2	0	
1	Attribute Value Pricing - Total Price Mode	AdvancedListFilter			2	0	
1	Attribute Value Pricing - Unit Price Mode	AdvancedListFilter			2	0	
1	COLA Uplift on Renewal	AdvancedListFilter			5	0	
1	Contacted Pricing	AdvancedListFilter			3	0	
1	Derived Maintenance Net Filter	AdvancedListFilter			1	0	
1	Derived Pricing Filter	AdvancedListFilter			1	0	
1	Derived Products - Non-Renewal	AdvancedListFilter			1	0	
1	GSA Pricing	AdvancedListFilter			1	0	
1	List Operation	AdvancedListFilter			1	0	
1	List Operation	AdvancedListFilter			4	0	
1	List Operation	AdvancedListFilter			1	0	
1	List Operation	AdvancedListFilter			4	0	
1	List Operation	AdvancedListFilter			2	0	
1	List Operation	AdvancedListFilter			4	0	
1	List Operation	AdvancedListFilter			2	0	
1	List Operation	AdvancedListFilter			1	0	
1	Manual Quote Level Discount	AdvancedListFilter			6	0	
1	OneTime Net Seed Filter	AdvancedListFilter			5	0	
1	Partner Discount	AdvancedListFilter			3	0	
1	Partner Discount - Derived Maintenance	AdvancedListFilter			4	0	
1	Pricing Setting	BusinessKnowledgeModel	PricingSettings	LineItemId	0	11	Pricing Setting
1	Quantity * Price	AdvancedListFilter			3	0	
1	Regional Services Price	AdvancedListFilter			1	0	
1	Stamp Base Filter	AdvancedListFilter			6	0	
1	Total Services	AdvancedListFilter			1	0	
1	Total Software	AdvancedListFilter			1	0	
1	Total Subscription	AdvancedListFilter			1	0	
1	Volume Discounts	AdvancedListFilter			3	0	
2	Amend Seed Net Unit	BusinessKnowledgeModel	FormulaBasedPricing	formula-section-0-input	0	8	Formula Based Pricing
2	Assignment	BusinessKnowledgeModel	AssignmentElement	section-0-input1	0	5	Assignment
2	Assignment	BusinessKnowledgeModel	AssignmentElement	section-0-input1	0	5	Assignment
2	Assignment	BusinessKnowledgeModel	AssignmentElement	section-0-input1	0	5	Assignment
2	Attribute-Based Price	BusinessKnowledgeModel	AttributeDiscount	PriceAdjustmentScheduleId	0	23	Attribute-Based Price
2	Attribute Discount Entries	BusinessKnowledgeModel	AttributeDiscount	PriceAdjustmentScheduleId	0	22	Attribute-Based Price
2	Attribute Value Pricing - Calculated Mode	BusinessKnowledgeModel	FormulaBasedPricing	formula-section-0-input	0	7	Formula Based Pricing
2	Attribute Value Pricing - Total Price Mode	BusinessKnowledgeModel	AssignmentElement	section-0-input1	0	5	Assignment
2	Attribute Value Pricing - Unit Price Mode	BusinessKnowledgeModel	AssignmentElement	section-0-input1	0	5	Assignment
2	Bundle Based Adjustment Entries	BusinessKnowledgeModel	BundleDiscount	PriceAdjustmentScheduleId	0	24	Bundle-Based Price
2	COLA Uplift on Renewal	BusinessKnowledgeModel	AssignmentElement	section-0-input1	0	5	Assignment
2	Contacted Pricing	BusinessKnowledgeModel	AssignmentElement	section-0-input1	0	5	Assignment
2	Derived Pricing Formula	BusinessKnowledgeModel	FormulaBasedPricing	formula-section-0-input	0	7	Formula Based Pricing
2	Derived Pricing - NetUnitPrice Value Reset	BusinessKnowledgeModel	FormulaBasedPricing	formula-section-0-input	0	7	Formula Based Pricing
2	Derived Products - Renewals	BusinessKnowledgeModel	DerivedPricing	Quantity	0	16	Derived Price
