QuoteId,Id,LineNumber,Fortra_Product_Type__c,UnitPrice,Base_Price__c,Pre_Partner_Price__c,NetUnitPrice
0Q0WC000002VENJ0A4,0QLWC000002q2Sn4AI,02122375,,,,,15000
0Q0WC0000037rFZ0AY,0QLWC000003d2QR4AY,04266331,New Maintenance,,355,355,71
0Q0WC0000039i050AA,0QLWC000003euBR4AY,04266593,New Maintenance,,355,,62.48
0Q0WC0000039i3J0AQ,0QLWC000003euEf4AI,04266596,New Maintenance,,355,,62.48
0Q0WC0000039i4v0AA,0QLWC000003euGI4AY,04266600,New Maintenance,,355,,62.48
0Q0WC000003FJ2D0AW,0QLWC000003kTeo4AE,04266973,Perpetual,,,,0
0Q0WC000003FY2r0AG,0QLWC000003khwH4AQ,04267077,,,,,6265.8
0Q0WC000003FY2r0AG,0QLWC000003khwI4AQ,04267078,,,,,218.77
0Q0WC000003FZN70AO,0QLWC000003kinV4AQ,04267116,Perpetual,,,331.783,282.02
0Q0WC000003FapR0AS,0QLWC000003kkKf4AI,04267143,Software,,,,1.5
0Q0WC000003FbFF0A0,0QLWC000003kkfd4AA,04267151,Software,,,,71
0Q0WC000003FbLh0AK,0QLWC000003kkm54AA,04267154,Software,,,,71
0Q0WC000003FcUf0AK,0QLWC000003klwf4AA,04267175,Software,,,,0
0Q0WC000003FoMA0A0,0QLWC000003kySU4AY,04267242,Software,,,,15000
0Q0WC000003FrDZ0A0,0QLWC000003l1II4AY,04267238,,,,7110.41,5830.54
0Q0WC000003FrlR0AS,0QLWC000003l1lJ4AQ,04267243,,,,,6265.8
0Q0WC000003FrlR0AS,0QLWC000003l1lK4AQ,04267244,,,,,218.77
0Q0WC000003GNi50AG,0QLWC000003lZi94AE,04267276,Software,,,,15000
0Q0WC000003GOO10AO,0QLWC000003laPh4AI,04267277,,,,,6695.3
0Q0WC000003GPaD0AW,0QLWC000003lbX34AI,04267278,,,,,6695.3
0Q0WC000003IFgP0AW,0QLWC000003nSmD4AU,04267353,,,,,98700
0Q0WC000003IFgP0AW,0QLWC000003nSmE4AU,04267354,,,,,63720
0Q0WC000003IFgP0AW,0QLWC000003nSmF4AU,04267355,,,,,0
0Q0WC000003IIT00AO,0QLWC000003nWpr4AE,04267360,New Maintenance,,20000,20000,4000
0Q0WC000003IK090AG,0QLWC000003nY6r4AE,04267376,Perpetual,,,,199
0Q0WC000003IXBt0AO,0QLWC000003nkpZ4AQ,04267397,,,,,0
0Q0WC000003IXBt0AO,0QLWC000003nkpa4AA,04267398,,,,,0
0Q0WC000003IXBt0AO,0QLWC000003nkpb4AA,04267399,,,,,0
0Q0WC000003IbaT0AS,0QLWC000003npcL4AQ,04267425,,,,,0
0Q0WC000003IbaT0AS,0QLWC000003npcM4AQ,04267426,,,,,0
0Q0WC000003IbiX0AS,0QLWC000003npkP4AQ,04267427,,,,,10000
0Q0WC000003IbiX0AS,0QLWC000003npkQ4AQ,04267428,,,,,94000
0Q0WC000003IbnN0AS,0QLWC000003nppF4AQ,04267429,,,,,0
0Q0WC000003Ibqb0AC,0QLWC000003npsT4AQ,04267430,,,,,0
0Q0WC000003Ibx30AC,0QLWC000003npyv4AA,04267431,,,,,0
0Q0WC000003Ibx30AC,0QLWC000003npyw4AA,04267432,,,,,98700
0Q0WC000003Ibx30AC,0QLWC000003npyx4AA,04267433,,,,,63720
0Q0WC000003Iign0AC,0QLWC000003nwkH4AQ,04267462,,,,,0
0Q0WC000003J3Zx0AK,0QLWC000003oI4r4AE,04267463,,,,,0
0Q0WC000003J3i10AC,0QLWC000003oIPp4AM,04267473,Subscription,,,,0
0Q0WC000003J3i10AC,0QLWC000003oIT34AM,04267474,Subscription,,,,0
0Q0WC000003J3i10AC,0QLWC000003oIUf4AM,04267475,Subscription,,,,0
0Q0WC000003J4m90AC,0QLWC000003oJP74AM,04267479,,,,,0
0Q0WC000003J4m90AC,0QLWC000003oJP84AM,04267480,,,,,0
0Q0WC000003J4m90AC,0QLWC000003oJP94AM,04267481,,,,,0
