"sf__Id","sf__Error",Name,CurrencyIsoCode,ProductClassificationId,AttributeDefinitionId,AttributeCategoryId,Description,ValueDescription,HelpText,IsHidden,IsReadOnly,IsRequired,Status,Sequence,AttributeNameOverride,DefaultValue,DisplayType,IsPriceImpacting,MinimumValue,MaximumValue,MinimumCharacterCount,MaximumCharacterCount,StepValue
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Unit Type","USD","11Bct0000051QqJEAU","0tjct00000003m6AAA","0v3ct00000002DEAAY","Unit Type","","","false","false","true","Active","","Unit Type","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Number of Units","USD","11Bct0000051QqJEAU","0tjct00000003lzAAA","0v3ct00000002DEAAY","Unit Type, Number of Units, Server Type, PGroup","","","false","false","false","Active","","Number of Units","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Unit Type","USD","11Bct0000051QqKEAU","0tjct00000003m6AAA","0v3ct00000002DEAAY","Unit Type","","","false","false","true","Active","","Unit Type","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Number of Units","USD","11Bct0000051QqKEAU","0tjct00000003lzAAA","0v3ct00000002DEAAY","Unit Type, Number of Units, Server Type, Operating System","","","false","false","false","Active","","Number of Units","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Unit Type","USD","11Bct0000051QqLEAU","0tjct00000003m6AAA","0v3ct00000002DEAAY","Unit Type","","","false","false","true","Active","","Unit Type","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Number of Units","USD","11Bct0000051QqLEAU","0tjct00000003lzAAA","0v3ct00000002DEAAY","Unit Type, Number of Units, Server Type, Operating System, Clustered","","","false","false","false","Active","","Number of Units","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Unit Type","USD","11Bct0000051QqMEAU","0tjct00000003m6AAA","0v3ct00000002DEAAY","Unit Type","","","false","false","true","Active","","Unit Type","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Number of Units","USD","11Bct0000051QqMEAU","0tjct00000003lzAAA","0v3ct00000002DEAAY","Unit Type, Number of Units, Server Type, Clustered","","","false","false","false","Active","","Number of Units","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Unit Type","USD","11Bct0000051QqNEAU","0tjct00000003m6AAA","0v3ct00000002DEAAY","Unit Type","","","false","false","true","Active","","Unit Type","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Number of Units","USD","11Bct0000051QqNEAU","0tjct00000003lzAAA","0v3ct00000002DEAAY","Unit Type, Number of Units, Server Type, Operating System, PGroup, Clustered","","","false","false","false","Active","","Number of Units","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Deployment Option","USD","11Bct0000051QqSEAU","0tjct00000003luAAA","0v3ct00000002DDAAY","Deployment Option","","","false","false","true","Active","","Deployment Option","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Deployment Option","USD","11Bct0000051QqTEAU","0tjct00000003luAAA","0v3ct00000002DDAAY","Deployment Option","","","false","false","true","Active","","Deployment Option","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Deployment Option","USD","11Bct0000051QqUEAU","0tjct00000003luAAA","0v3ct00000002DDAAY","Deployment Option","","","false","false","true","Active","","Deployment Option","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Maintenance Type Defn","USD","11Bct0000051QqVEAU","0tjct00000003lxAAA","0v3ct00000002DFAAY","Indicates the type of support or maintenance plan (e.g., Standard, Premium, Extended).","","","false","false","true","Active","","Maintenance Type Defn","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Maintenance Type Defn","USD","11Bct0000051QqWEAU","0tjct00000003lxAAA","0v3ct00000002DFAAY","Indicates the type of support or maintenance plan (e.g., Standard, Premium, Extended).","","","false","false","true","Active","","Maintenance Type Defn","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Maintenance Type Defn","USD","11Bct0000051QqgEAE","0tjct00000003lxAAA","0v3ct00000002DFAAY","Indicates the type of support or maintenance plan (e.g., Standard, Premium, Extended).","","","false","false","true","Active","","Maintenance Type Defn","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Deployment Option","USD","11Bct0000051QqgEAE","0tjct00000003luAAA","0v3ct00000002DDAAY","Deployment Option","","","false","false","true","Active","","Deployment Option","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Deployment Option","USD","11Bct0000051QqmEAE","0tjct00000003luAAA","0v3ct00000002DDAAY","Deployment Option","","","false","false","true","Active","","Deployment Option","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Deployment Option","USD","11Bct0000051QqqEAE","0tjct00000003luAAA","0v3ct00000002DDAAY","Deployment Option","","","false","false","true","Active","","Deployment Option","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Deployment Option","USD","11Bct0000051QqrEAE","0tjct00000003luAAA","0v3ct00000002DDAAY","Deployment Option","","","false","false","true","Active","","Deployment Option","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Unit Type","USD","11Bct0000051QqSEAU","0tjct00000003m6AAA","0v3ct00000002DEAAY","Unit Type","","","false","false","true","Active","","Unit Type","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Unit Type","USD","11Bct0000051QqWEAU","0tjct00000003m6AAA","0v3ct00000002DEAAY","Unit Type","","","false","false","true","Active","","Unit Type","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Number of Units","USD","11Bct0000051QqWEAU","0tjct00000003lzAAA","0v3ct00000002DEAAY","Feature, Maintenance Type, Unit Type, Number of Units","","","false","false","false","Active","","Number of Units","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Unit Type","USD","11Bct0000051QqZEAU","0tjct00000003m6AAA","0v3ct00000002DEAAY","Unit Type","","","false","false","true","Active","","Unit Type","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Number of Units","USD","11Bct0000051QqZEAU","0tjct00000003lzAAA","0v3ct00000002DEAAY","Feature, Pricing Tier, Unit Type, Number of Units","","","false","false","false","Active","","Number of Units","","","false","","","","",""
"","INVALID_INPUT:You can't assign this attribute because it's already present within this classification hierarchy.:--","Unit Type","USD","11Bct0000051QqaEAE","0tjct00000003m6AAA","0v3ct00000002DEAAY","Unit Type","","","false","false","true","Active","","Unit Type","","","false","","","","",""
