"Sequence","Name","ApiName","Status","Description","CriteriaExpressionType","CriteriaHumanReadable","ValidationMessage","SourceUAT_Id"
"1","Autoadd DPEENM when DPEEXS on New quote","autoaddDpeenmWhenDpeexsOnNewQuote","Active","","All","[0] ItemProductCode ? FIM-FIM-RSS-DPEEXS","","14OWC0000021tR72AI"
"1","Year 2 Maintenance Sku added to Tripwire Enterprise for Desktops Perpetual","year2MaintenanceSkuAddedToTripwireEnterpriseForDesktopsPerpetual","Active","","All","[0] ItemProductCode ? FIM-FIM-NRPS-TRIPEN AND [0] QuoteTypeText__c ? Renewal","","14OWC0000022HtF2AU"
"10","A customer can not own WebDocs Document Management and WebForms SMB","aCustomerCanNotOwnWebdocsDocumentManagementAndWebformsSmb","Active","","All","[0] ItemProductCode ? DM-WFM-NRPS-WEBFSL","","14OWC000001rzcf2AA"
"10","Can only be purchased alongside Intermapper Server Freeware","canOnlyBePurchasedAlongsideIntermapperServerFreeware","Active","","All","[0] ItemProductCode ? NW-INT-NRPS-RAPFP","","14OWC000001rzPm2AI"
"10","Can only be sold to customers with GoAnywhere Gateway","canOnlyBeSoldToCustomersWithGoanywhereGateway","Active","Data Export/400 - Legacy","All","[0] ItemProductCode ? GOA-GAM-NRPS-GOBP","","14OWC000001rzeH2AQ"
"10","Can only be sold to customers with GoAnywhere Gateway_2","canOnlyBeSoldToCustomersWithGoanywhereGateway_2","Active","GoAnywhere Gateway Load Balancer","All","[0] ItemProductCode ? GOA-GAM-RSS-GOBS_LIC","","14OWC000001rzft2AA"
"10","Customer must already own or be purchasing DeliverNow Base RJ07315","customerMustAlreadyOwnOrBePurchasingDelivernowBaseRj07315","Active","Automate Intelligent Capture
(DM-DLN-RSS-DELIIS)","All","[0] ItemProductCode ? DM-DLN-RSS-DELIIS","","14OWC000001rznx2AA"
"10","Customer must already own or be purchasing DeliverNow Base RJ07315_2","customerMustAlreadyOwnOrBePurchasingDelivernowBaseRj07315_2","Active","Lvl1: Message Management Suite
(DM-DLN-RSS-DELIIS_LIC)","All","[0] ItemProductCode ? DM-DLN-RSS-DELIIS_LIC","","14OWC000001rzpZ2AQ"
"10","Customer must already own or be purchasing DeliverNow Base RJ07315_3","customerMustAlreadyOwnOrBePurchasingDelivernowBaseRj07315_3","Active","DM-DLN-RSS-DELISH
(Automate Intelligent Capture)","All","[0] ItemProductCode ? DM-DLN-RSS-DELISH","","14OWC000001rxvv2AA"
"10","Customer must already own or be purchasing DeliverNow Base RJ07315_4","customerMustAlreadyOwnOrBePurchasingDelivernowBaseRj07315_4","Active","Lvl1: Message Management Suite
(DM-DLN-RSS-DELISH_LIC)","All","[0] ItemProductCode ? DM-DLN-RSS-DELISH_LIC","","14OWC000001rzrB2AQ"
"10","Customer must already own or be purchasing DeliverNow Base RJ07315_5","customerMustAlreadyOwnOrBePurchasingDelivernowBaseRj07315_5","Active","Automate Intelligent Capture
(DM-DLN-RSS-DELIWM)","All","[0] ItemProductCode ? DM-DLN-RSS-DELIWM","","14OWC000001rzsn2AA"
"10","Customer must already own or be purchasing DeliverNow Base RJ07315_6","customerMustAlreadyOwnOrBePurchasingDelivernowBaseRj07315_6","Active","Lvl1: Message Management Suite
(DM-DLN-RSS-DELIWM_LIC)","All","[0] ItemProductCode ? DM-DLN-RSS-DELIWM_LIC","","14OWC000001rzuP2AQ"
