Allow_Regional_Pricing__c,AvailabilityDate,BasedOnId,BillingPolicyId,CPW_Max__c,CPW_Min__c,CanUseQuantitySchedule,CanUseRevenueSchedule,ConfigureDuringSale,CurrencyIsoCode,CustomDecompositionScope,Custom_Product_Name__c,DecompositionScope,Description,DiscontinuedDate,DisplayUrl,EndOfLifeDate,Excluded_Feature_Codes__c,ExternalDataSourceId,ExternalId,External_ID__c,Family,Final_SKU_Name_License_Type__c,Finance_Business_Unit__c,Fortra_Product_Type__c,FulfillmentQtyCalcMethod,GearsetExternalId__c,Hardware_ID__c,Has_Attribute_Pricing__c,HelpText,IsActive,IsAssetizable,IsSoldOnlyWithOtherProds,Legacy_Brand_Name__c,Legacy_ProductId__c,Legacy_Product_Number__c,License_Type__c,Name,NumberOfQuantityInstallments,NumberOfRevenueInstallments,Parent_Category_Name__c,Power_Split_Type__c,Practice__c,Primary_Catalog_Name__c,Primary_Category_Name__c,Processor_Min__c,ProductCode,ProductType__c,Product_Descriptions__c,Product_Lifecycle_Stage__c,Product_Selling_Model_Type__c,Project_Template__c,QuantityInstallmentPeriod,QuantityScheduleType,QuantityUnitOfMeasure,RecordTypeId,Required_Feature_Codes__c,Rev_Category_Name__c,Rev_Category__c,Rev_Schedule__c,RevenueInstallmentPeriod,RevenueScheduleType,Revenue_Recognition_Schedule_Template__c,Revenue_Treatment__c,Solution_Category__c,Solution_Group__c,Solution__c,StockKeepingUnit,TaxPolicyId,Type,UnitOfMeasureId,Unit__c,UsageModelType,Workday_Sales_Item_ID__c,c2g__CODAAllowDeleteInUse__c,c2g__CODAExternalId__c,c2g__CODAIncludeInIncomeSchedule__c,c2g__CODAIncomeSchedule__c,c2g__CODAInputTaxCode__c,c2g__CODAPurchaseAnalysisAccount__c,c2g__CODASalesRevenueAccount__c,c2g__CODASalesTaxRule__c,c2g__CODASalesTaxStatus__c,c2g__CODATaxCode__c,c2g__CODAUnitOfWork__c,c2g__Email__c,c2g__PlaceOfSupply__c,c2g__ReverseCharge__c,fferpcore__SalesTaxStatus__c,fferpcore__TaxCode__c,pse__Forecast_Curve__c,pse__IsServicesProduct__c,pse__ServicesCreditValue__c
True,2026-01-09T16:00:00.000+0000,11Bct0000051QpKEAU,,,,False,False,Allowed,USD,,ShowCase Travel Expense,OrderLineItem,Services | Billed as Incurred,,,,,,,,Services,ShowCase Travel Expense - Services,BU53,Services,,DAYwk1DD00000CWt10,False,False,,True,True,False,ShowCase,"0D18B0A6-E30E-E611-80D8-005056840EFE, 7D44F182-B9FB-ED11-8849-6045BDF05170","BI01915, BI01918",Services,ShowCase Travel Expense,,,Business Intelligence,Order Line Only,aAuct000000FmdxCAC,Tech,Query & Report Writer,,BI-QRW-NRSE-SCTE,Services,,,One Time,,,,Quantity,,,Non-Recurring Services Sales - Services Expense Reimbursements,RC_45002,License,,,Expense Reimbursement,Invoice,Business Intelligence,Power,Query & Report Writer,,1TpaZ00000005nhSAA,,,Tech,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,True,
True,2026-01-09T16:00:00.000+0000,11Bct0000051QpKEAU,,,,False,False,Allowed,USD,,ShowCase Training,,Services | Showcase 9: Query Basics,,,,,,,,Training,ShowCase Training - Services,BU53,Training,,DAYvk1DD00000CWt10,False,False,,True,True,False,ShowCase,"936DC973-0CA1-EA11-810B-0050569F6BB1, 3518B0A6-E30E-E611-80D8-005056840EFE, 3718B0A6-E30E-E611-80D8-005056840EFE, 3918B0A6-E30E-E611-80D8-005056840EFE","BI01916, BI01960, BI01961, BI01962",Services,ShowCase Training,,,Business Intelligence,Order Line Only,aAuct000000FmdxCAC,Tech,Query & Report Writer,,BI-QRW-NRST-SCT,Services,,,One Time,,,,Quantity,,,Non-Recurring Services Sales - Training,RC_45000,Pre Pay Service,,,As Delivered,Deferred,Business Intelligence,Power,Query & Report Writer,,1TpaZ00000005nhSAA,,,Tech,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,True,
True,2026-01-09T16:00:00.000+0000,11Bct0000051Qq8EAE,,,,False,False,Allowed,USD,,ShowCase Services,OrderLineItem,Per Hour  | Services | Hourly,,,,,,,,Services,ShowCase Services - Services,BU53,Services,,DAYtk1DD00000CWt10,False,False,,True,True,False,ShowCase,"0318B0A6-E30E-E611-80D8-005056840EFE, 0518B0A6-E30E-E611-80D8-005056840EFE, 0718B0A6-E30E-E611-80D8-005056840EFE, 0918B0A6-E30E-E611-80D8-005056840EFE, 0B18B0A6-E30E-E611-80D8-005056840EFE, EB859F3E-D95C-E711-80E5-0050569F6BB1, ED859F3E-D95C-E711-80E5-0050569F6BB1","BI01910, BI01911, BI01912, BI01913, BI01914, BI01965, BI01966",Services,ShowCase Services,,,Business Intelligence,Order Line Only,aAuct000000FmdxCAC,Tech,Query & Report Writer,,BI-QRW-NRST-SHOW,Services,,,One Time,,,,Quantity,,,Non-Recurring Services Sales - Training,RC_45000,Pre Pay Service,,,As Delivered,Deferred,Business Intelligence,Power,Query & Report Writer,,1TpaZ00000005nhSAA,,,Tech,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,True,
True,2026-01-09T16:00:00.000+0000,11Bct0000051QpNEAU,1BPaZ0000000wlZWAQ,,,False,False,Allowed,USD,,ShowCase Recurring Services,OrderLineItem,Per Hour  | Services | Hourly - Recurring,,,,,,,,Services,ShowCase Recurring Services - Services,BU53,Services,,DAYuk1DD00000CWt10,False,False,,True,True,False,ShowCase,A125CE07-9E16-EF11-9F89-6045BDEC519D,BI01941,Services,ShowCase Recurring Services,,,Business Intelligence,Order Line Only,aAuct000000FmdxCAC,Tech,Query & Report Writer,,BI-QRW-RSP-SHCRS,Services,,,Term Based - Annual,,,,Quantity,,,Recurring Services Sales - Recurring Professional Services,RC_45004,Recurring Service,,,Spread Even,Deferred,Business Intelligence,Power,Query & Report Writer,,1TpaZ00000005nhSAA,,,Tech,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,True,
True,2026-01-09T16:00:00.000+0000,11Bct0000051QpKEAU,,,,False,False,Allowed,USD,,SEQUEL Travel Expense,OrderLineItem,Services | Billed as Incurred,,,,,,,,Services,SEQUEL Travel Expense - Services,BU53,Services,,TAYNk1DD00000CWt10,False,False,,True,True,False,SEQUEL,"0118B0A6-E30E-E611-80D8-005056840EFE, 1A4D6380-B9FB-ED11-8849-6045BDEC3050","BI01909, BI01917",Services,SEQUEL Travel Expense,,,Business Intelligence,Order Line Only,aAuct000000FmdxCAC,Tech,Sequel,,BI-SQ-NRSE-SETE,Services,,,One Time,,,,Quantity,,,Non-Recurring Services Sales - Services Expense Reimbursements,RC_45002,License,,,Expense Reimbursement,Invoice,Business Intelligence,Power,Sequel,,1TpaZ00000005nhSAA,,,Tech,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,True,
True,2026-01-09T16:00:00.000+0000,11Bct0000051Qq8EAE,,,,False,False,Allowed,USD,,SEQUEL Services,,Per Hour  | Services | Hourly,,,,,,,,Services,SEQUEL Services - Services,BU53,Services,,DAY2k1DD00000CWt10,False,False,,True,True,False,SEQUEL,"F717B0A6-E30E-E611-80D8-005056840EFE, F917B0A6-E30E-E611-80D8-005056840EFE, FB17B0A6-E30E-E611-80D8-005056840EFE, FD17B0A6-E30E-E611-80D8-005056840EFE, FF17B0A6-E30E-E611-80D8-005056840EFE, 1718B0A6-E30E-E611-80D8-005056840EFE, 1918B0A6-E30E-E611-80D8-005056840EFE, 2318B0A6-E30E-E611-80D8-005056840EFE, 2718B0A6-E30E-E611-80D8-005056840EFE, E1859F3E-D95C-E711-80E5-0050569F6BB1, E3859F3E-D95C-E711-80E5-0050569F6BB1, 3118B0A6-E30E-E611-80D8-005056840EFE, 3318B0A6-E30E-E611-80D8-005056840EFE, DD859F3E-D95C-E711-80E5-0050569F6BB1, D9859F3E-D95C-E711-80E5-0050569F6BB1, DB859F3E-D95C-E711-80E5-0050569F6BB1, E5859F3E-D95C-E711-80E5-0050569F6BB1","BI01904, BI01905, BI01906, BI01907, BI01908, BI01924, BI01925, BI01931, BI01933, BI01937, BI01939, BI01951, BI01952, BI01987, BI01988, BI01989, BI01990",Services,SEQUEL Services,,,Business Intelligence,Order Line Only,aAuct000000FmdxCAC,Tech,Sequel,,BI-SQ-NRST-SESE,Services,,,One Time,,,,Quantity,,,Non-Recurring Services Sales - Training,RC_45000,Pre Pay Service,,,As Delivered,Deferred,Business Intelligence,Power,Sequel,,1TpaZ00000005nhSAA,,,Tech,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,True,
True,2026-01-09T16:00:00.000+0000,11Bct0000051QpKEAU,,,,False,False,Allowed,USD,,SEQUEL Training,,Services | Mastering Viewpoint Dashboards for Sequel,,,,,,,,Training,SEQUEL Training - Services,BU53,Training,,TAYMk1DD00000CWt10,False,False,,True,True,False,SEQUEL,"4CAEA48E-0BA1-EA11-810B-0050569F6BB1, 1B18B0A6-E30E-E611-80D8-005056840EFE, 1D18B0A6-E30E-E611-80D8-005056840EFE, 1F18B0A6-E30E-E611-80D8-005056840EFE, 9ED64012-8F89-E611-80DB-0050569F6BB1","BI01156, BI01926, BI01927, BI01928, BI01929",Services,SEQUEL Training,,,Business Intelligence,Order Line Only,aAuct000000FmdxCAC,Tech,Sequel,,BI-SQ-NRST-SETR,Services,,,One Time,,,,Quantity,,,Non-Recurring Services Sales - Training,RC_45000,Pre Pay Service,,,As Delivered,Deferred,Business Intelligence,Power,Sequel,,1TpaZ00000005nhSAA,,,Tech,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,True,
True,2026-01-09T16:00:00.000+0000,11Bct0000051QpNEAU,1BPaZ0000000wlZWAQ,,,False,False,Allowed,USD,,SEQUEL Recurring Services,,Per Hour  | Services | Hourly - Recurring,,,,,,,,Services,SEQUEL Recurring Services - Services,BU53,Services,,DAY3k1DD00000CWt10,False,False,,True,True,False,SEQUEL,54196108-9E16-EF11-9F89-000D3A8E7EE5,BI01942,Services,SEQUEL Recurring Services,,,Business Intelligence,Order Line Only,aAuct000000FmdxCAC,Tech,Sequel,,BI-SQ-RSP-SQLRS,Services,,,Term Based - Annual,,,,Quantity,,,Recurring Services Sales - Recurring Professional Services,RC_45004,Recurring Service,,,Spread Even,Deferred,Business Intelligence,Power,Sequel,,1TpaZ00000005nhSAA,,,Tech,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,True,
True,2026-01-09T16:00:00.000+0000,11Bct0000051QpKEAU,,,,False,False,Allowed,USD,,Defensive Security Setup Fee,OrderLineItem,Services | DRP,,,,,,,,Services,Defensive Security Setup Fee - Services,BU63,Services,,TAYXk1DD00000CWt10,False,False,,True,True,False,PhishLabs,"EADAD224-89B3-ED11-83FD-6045BDD9C53A, EDDAD224-89B3-ED11-83FD-6045BDD9C53A, 5324AFB2-89B3-ED11-83FD-6045BDF0559F","PL0130, PL0131, PL0132",Services,Defensive Security Setup Fee,,,Brand Protection,Order Line Only,aAuct000000FmcDCAS,Cyber,External Threat Monitoring,,BP-ETM-NRSU-DSSFS,Services,,,One Time,,,,1 Each,,,Non-Recurring Services Sales - Set Up,RC_45001,Pre Pay Service,,,As Delivered,Deferred,Brand Protection,Defensive Security,External Threat Monitoring,,1TpaZ00000005nhSAA,,,Cyber,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,True,
True,2026-01-09T18:00:00.000+0000,,,,,False,False,Allowed,USD,,SASE Integration Service Fee,OrderLineItem,Services,,,,,,,,Services,SASE Integration Service Fee - Services,BU62,Services,,DAYpd1DD00000CWt10,False,False,,True,True,False,Cloud Data Protection,28841D8D-60FB-EE11-A1FE-7C1E5217797F,DG06079,Services,SASE Integration Service Fee,,,Cloud Data Protection,Order Line Only,aAuct000000FmdpCAC,Cyber,CASB,,CDP-CSB-NRSU-SASEIS,Services,,,One Time,,,,1 Each,,,Non-Recurring Services Sales - Set Up,RC_45001,Pre Pay Service,,,As Delivered,Deferred,Cloud Data Protection,Defensive Security,CASB,,1TpaZ00000005nhSAA,,,Cyber,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,True,
