Allow_Regional_Pricing__c,AvailabilityDate,BasedOnId,BillingPolicyId,CPW_Max__c,CPW_Min__c,CanUseQuantitySchedule,CanUseRevenueSchedule,ConfigureDuringSale,CurrencyIsoCode,CustomDecompositionScope,Custom_Product_Name__c,DecompositionScope,Description,DiscontinuedDate,DisplayUrl,EndOfLifeDate,Excluded_Feature_Codes__c,ExternalDataSourceId,ExternalId,External_ID__c,Family,Final_SKU_Name_License_Type__c,Finance_Business_Unit__c,Fortra_Product_Type__c,FulfillmentQtyCalcMethod,GearsetExternalId__c,Hardware_ID__c,Has_Attribute_Pricing__c,HelpText,IsActive,IsAssetizable,IsSoldOnlyWithOtherProds,Legacy_Brand_Name__c,Legacy_ProductId__c,Legacy_Product_Number__c,License_Type__c,Name,NumberOfQuantityInstallments,NumberOfRevenueInstallments,Parent_Category_Name__c,Power_Split_Type__c,Practice__c,Primary_Catalog_Name__c,Primary_Category_Name__c,Processor_Min__c,ProductCode,ProductType__c,Product_Descriptions__c,Product_Lifecycle_Stage__c,Product_Selling_Model_Type__c,Project_Template__c,QuantityInstallmentPeriod,QuantityScheduleType,QuantityUnitOfMeasure,RecordTypeId,Required_Feature_Codes__c,Rev_Category_Name__c,Rev_Category__c,Rev_Schedule__c,RevenueInstallmentPeriod,RevenueScheduleType,Revenue_Recognition_Schedule_Template__c,Revenue_Treatment__c,Solution_Category__c,Solution_Group__c,Solution__c,StockKeepingUnit,TaxPolicyId,Type,UnitOfMeasureId,Unit__c,UsageModelType,Workday_Sales_Item_ID__c,c2g__CODAAllowDeleteInUse__c,c2g__CODAExternalId__c,c2g__CODAIncludeInIncomeSchedule__c,c2g__CODAIncomeSchedule__c,c2g__CODAInputTaxCode__c,c2g__CODAPurchaseAnalysisAccount__c,c2g__CODASalesRevenueAccount__c,c2g__CODASalesTaxRule__c,c2g__CODASalesTaxStatus__c,c2g__CODATaxCode__c,c2g__CODAUnitOfWork__c,c2g__Email__c,c2g__PlaceOfSupply__c,c2g__ReverseCharge__c,fferpcore__SalesTaxStatus__c,fferpcore__TaxCode__c,pse__Forecast_Curve__c,pse__IsServicesProduct__c,pse__ServicesCreditValue__c
False,,,,,,False,False,,USD,,,,Technical fulfillment product for Abstract,,,,,,,,Perpetual,,BU53,Perpetual,,TAYDzeBF00000CWt10,False,False,,True,True,False,SEQUEL,,,,Abstract (Technical),,,,Order Line Only,,,,,BI-ABS-NRPS-ABSTPE-TECH,,,,,,,,Quantity,012ct00000Idwo9AAB,,Non-Recurring Perpetual Sales - Software,RC_41000,,,,,,Business Intelligence,Power,Abstract,,,,,,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,False,
False,,,,,,False,False,,USD,,,,Technical fulfillment product for Abstract,,,,,,,,New Maintenance,,BU53,New Maintenance,,TAYCzeBF00000CWt10,False,False,,True,True,False,SEQUEL,,,,Abstract (Technical)-NewMaintenance,,,,Order Line Only,,,,,BI-ABS-RNM-ABSTNE-TECH,,,,,,,,1 Each,012ct00000Idwo9AAB,,Recurring New Maintenance,RC_42000,,,,,,Business Intelligence,Power,Abstract,,,,,,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,False,
False,,,,,,False,False,,USD,,,,Technical fulfillment product for Abstract,,,,,,,,Renewal Maintenance,,BU53,Renewal Maintenance,,TAYEzeBF00000CWt10,False,False,,True,True,False,SEQUEL,,,,Abstract (Technical)-RenewalMaintenance,,,,Order Line Only,,,,,BI-ABS-RRM-ABSTRE-TECH,,,,,,,,1 Each,012ct00000Idwo9AAB,,Recurring Renew Maintenance,RC_43000,,,,,,Business Intelligence,Power,Abstract,,,,,,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,False,
False,,,,,,False,False,,USD,,,,Technical fulfillment product for Abstract,,,,,,,,Subscription,,BU53,Subscription,,TAYFzeBF00000CWt10,False,False,,True,True,False,SEQUEL,,,,Abstract (Technical),,,,Order Line Only,,,,,BI-ABS-RSS-ABSTSU-TECH,,,,,,,,1 Each,012ct00000Idwo9AAB,,Recurring Sales - Software Subscriptions,RC_41202,,,,,,Business Intelligence,Power,Abstract,,,,,,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,False,
False,,,,,,False,False,,USD,,,,Technical fulfillment product for AnyDate,,,,,,,,Perpetual,,BU53,Perpetual,,TAYHzeBF00000CWt10,False,False,,True,True,False,SEQUEL,,,,AnyDate (Technical),,,,Order Line Only,,,,,BI-AD-NRPS-ANYDPE-TECH,,,,,,,,1 Each,012ct00000Idwo9AAB,,Non-Recurring Perpetual Sales - Software,RC_41000,,,,,,Business Intelligence,Power,AnyDate,,,,,,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,False,
False,,,,,,False,False,,USD,,,,Technical fulfillment product for AnyDate,,,,,,,,New Maintenance,,BU53,New Maintenance,,TAYGzeBF00000CWt10,False,False,,True,True,False,SEQUEL,,,,AnyDate (Technical)-NewMaintenance,,,,Order Line Only,,,,,BI-AD-RNM-ANYDNE-TECH,,,,,,,,1 Each,012ct00000Idwo9AAB,,Recurring New Maintenance,RC_42000,,,,,,Business Intelligence,Power,AnyDate,,,,,,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,False,
False,,,,,,False,False,,USD,,,,Technical fulfillment product for AnyDate,,,,,,,,Renewal Maintenance,,BU53,Renewal Maintenance,,TAYIzeBF00000CWt10,False,False,,True,True,False,SEQUEL,,,,AnyDate (Technical)-RenewalMaintenance,,,,Order Line Only,,,,,BI-AD-RRM-ANYDRE-TECH,,,,,,,,1 Each,012ct00000Idwo9AAB,,Recurring Renew Maintenance,RC_43000,,,,,,Business Intelligence,Power,AnyDate,,,,,,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,False,
False,,,,,,False,False,,USD,,,,Technical fulfillment product for AnyDate,,,,,,,,Subscription,,BU53,Subscription,,TAYJzeBF00000CWt10,False,False,,True,True,False,SEQUEL,,,,AnyDate (Technical),,,,Order Line Only,,,,,BI-AD-RSS-ANYDSU-TECH,,,,,,,,1 Each,012ct00000Idwo9AAB,,Recurring Sales - Software Subscriptions,RC_41202,,,,,,Business Intelligence,Power,AnyDate,,,,,,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,False,
False,,,,,,False,False,,USD,,,,Technical fulfillment product for SEQUEL Client Report Option,,,,,,,,Perpetual,,BU53,Perpetual,,LAY5MfBF00000CWt10,False,False,,True,True,False,SEQUEL,,,,SEQUEL Client Report Option (Technical),,,,Order Line Only,,,,,BI-CRO-NRPS-SCRP-TECH,,,,,,,,Quantity,012ct00000Idwo9AAB,,Non-Recurring Perpetual Sales - Software,RC_41000,,,,,,Business Intelligence,Power,Client Report Option,,,,,,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,False,
False,,,,,,False,False,,USD,,,,Technical fulfillment product for Showcase Client Reporting,,,,,,,,Perpetual,,BU53,Perpetual,,5AYPMXBF00000CWt10,False,False,,True,True,False,ShowCase,,,,Showcase Client Reporting (Technical),,,,Order Line Only,,,,,BI-CRO-NRPS-SHOWCA-TECH,,,,,,,,Quantity,012ct00000Idwo9AAB,,Non-Recurring Perpetual Sales - Software,RC_41000,,,,,,Business Intelligence,Power,Client Report Option,,,,,,,,False,,False,,,,,,Taxable,,,,With Account,False,,,,False,
