DeveloperName,Object_Label,Relationship_Field,Field_API_Name,Field_Label,Ben_Active,UAT_Active,Active_Changed,Other_Diff
X00001,Account,AccountId,Phone,Phone,true,true,,
X00002,Account,AccountId,DB_DUNS__c,D&B DUNS,true,true,,
X00003,Account,AccountId,Name,Account Name,true,true,,
X00004,Account,AccountId,Type,Type,true,true,,
X00005,Places,Bill_To_Address__c,Street_Address_Line_2__c,Street Address Line 2,true,false,YES,
X00006,Places,Bill_To_Address__c,Street_Address_Line_3__c,Street Address Line 3,true,false,YES,
X00007,Places,Bill_To_Address__c,Public__c,Public,true,false,YES,
X00008,Places,Bill_To_Address__c,Primary__c,Primary,true,false,YES,
X00010,Places,Bill_To_Address__c,Location_Type__c,Location Type,true,false,YES,
X00011,Contact,BillToContactId,Workday_Customer_Id__c,Workday Customer Id,true,false,YES,
X00012,Contact,BillToContactId,Business_Entity_Contact_ID__c,Business Entity Contact ID,true,false,YES,
X00013,Contact,BillToContactId,FirstName,First Name,true,true,,
X00014,Contact,BillToContactId,LastName,Last Name,true,true,,
X00015,Contact,BillToContactId,Workday_MobilePhone_Country_ISO_Code__c,Mobile Phone Country,true,false,YES,
X00016,Contact,BillToContactId,Workday_MobilePhone_International_Phone__c,Mobile Phone Code,true,false,YES,
X00017,Contact,BillToContactId,MobilePhone,Mobile,true,false,YES,
X00018,Contact,BillToContactId,Workday_MobilePhone_Device_Type__c,Workday MobilePhone Device Type,true,true,,
X00019,Contact,BillToContactId,Workday_MobilePhone_Primary__c,Workday MobilePhone Primary,true,true,,
X00020,Contact,BillToContactId,Workday_MobilePhone_Usage_Type__c,Workday MobilePhone Usage Type,true,true,,
X00021,Order,Id,Workday_Contract_ID__c,Workday Contract Id,true,true,,
X00022,Order,Id,Status,Status,true,true,,
X00023,Order,Id,WorkdayReferenceID__c,Legal Entity's Workday Reference ID,true,true,,
X00024,Order,Id,Bill_To_Account__c,Bill To Account,true,true,,
X00025,Order,Id,Ship_To_Account__c,Ship To Account,true,true,,
X00026,Order,Id,Workday_Contract_Type__c,Workday Contract Type,true,false,YES,
X00027,Order,Id,Billing_Frequency__c,Billing Frequency,true,false,YES,
X00028,Order,Id,EffectiveDate,Order Start Date,true,true,,err
X00029,Order Product,OrderId,LineNumber,Line Number,true,true,,
X00030,Order Product,OrderId,Workday_Contract_Line_Type__c,Workday Contract Line Type,true,true,,
X00031,Order Product,OrderId,Billing_Frequency__c,Billing Frequency,true,true,,
X00032,Order Product,OrderId,Id,Id,true,true,,
X00033,Order Product,OrderId,TotalLineTaxAmount,Product Subtotal Tax,true,true,,
X00034,Order Product,OrderId,ProductCode,Product Code,true,false,YES,
X00035,Contact,ShipToContactId,Business_Entity_Contact_ID__c,Business Entity Contact ID,false,false,,
X00036,Contact,ShipToContactId,FirstName,First Name,false,true,YES,
X00037,Contact,ShipToContactId,LastName,Last Name,false,true,YES,
X00038,Contact,ShipToContactId,MobilePhone,Mobile,false,false,,
X00039,Contact,ShipToContactId,Workday_MobilePhone_International_Phone__c,Mobile Phone Code,false,false,,
X00040,Contact,ShipToContactId,Workday_MobilePhone_Country_ISO_Code__c,Mobile Phone Country,false,false,,
X00041,Contact,ShipToContactId,Workday_Customer_Id__c,Workday Customer Id,false,false,,
X00042,Contact,ShipToContactId,Workday_MobilePhone_Device_Type__c,Workday MobilePhone Device Type,false,true,YES,
X00043,Contact,ShipToContactId,Workday_MobilePhone_Primary__c,Workday MobilePhone Primary,false,true,YES,
X00044,Contact,ShipToContactId,Workday_MobilePhone_Usage_Type__c,Workday MobilePhone Usage Type,false,true,YES,
X00045,Places,Ship_To_Address__c,Location_Type__c,Location Type,false,false,,
X00046,Places,Ship_To_Address__c,Primary__c,Primary,false,false,,
X00047,Places,Ship_To_Address__c,Public__c,Public,false,false,,
X00048,Places,Ship_To_Address__c,Street_Address_Line_2__c,Street Address Line 2,false,false,,
X00049,Places,Ship_To_Address__c,Street_Address_Line_3__c,Street Address Line 3,false,false,,
