Querying Data... done
 ID                 PRODUCT2ID         PRODUCT2.PRODUCTCODE ATTRIBUTEDEFINITIONID ISPRICEIMPACTING DEFAULTVALUE 
 ────────────────── ────────────────── ──────────────────── ───────────────────── ──────────────── ──────────── 
 0v7WC0000000TurYAE 01tWC00000DD1BSYA1 FIM-FIM-NRPS-DPEEXP  0tjWC0000000tqvYAA    false            null         
 0v7WC0000000TusYAE 01tWC00000DD1BRYA1 FIM-FIM-RNM-DPEENM   0tjWC0000000tqvYAA    false            null         
 0v7WC0000000TutYAE 01tWC00000DD1BUYA1 FIM-FIM-RSS-DPEEXS   0tjWC0000000tqvYAA    false            null         
 0v7WC0000000TuuYAE 01tWC00000DD1nkYAD FIM-FIM-RSP-TEOFSS   0tjWC0000000tqvYAA    false            null         
 0v7WC0000000TuvYAE 01tWC00000DD1niYAD FIM-FIM-RSP-TEFSFNSS 0tjWC0000000tqvYAA    false            null         
 0v7WC0000000TuwYAE 01tWC00000DD1nhYAD FIM-FIM-RSP-TEOFSD   0tjWC0000000tqvYAA    false            null         
 0v7WC0000000TuxYAE 01tWC00000DD1njYAD FIM-FIM-RSP-TEPFSRS  0tjWC0000000tqvYAA    false            null         
 0v7WC0000000TuyYAE 01tWC00000DD1KwYAL VM-VLM-RSL-FVSS      0tjWC0000000tqvYAA    false            null         
 0v7WC0000000TuzYAE 01tWC00000DD1KvYAL VM-VLM-RSL-FVMS      0tjWC0000000tqvYAA    false            null         
 0v7WC0000000Tv0YAE 01tWC00000DD1KfYAL VM-VLM-RSL-FMPS      0tjWC0000000tqvYAA    false            null         
 0v7WC0000000Tv1YAE 01tWC00000DD10xYAD VM-BSL-RSL-FPSS      0tjWC0000000tqvYAA    false            null         
 0v7WC0000000Tv2YAE 01tWC00000DD1LBYA1 VM-DDL-RSL-FWASS     0tjWC0000000tqvYAA    false            null         
 0v7WC0000000Tv3YAE 01tWC00000DD1KlYAL VM-DDL-RSL-FPTES     0tjWC0000000tqvYAA    false            null         
 0v7WC0000000Tv4YAE 01tWC00000DD1KmYAL VM-VLM-RSL-FPTIS     0tjWC0000000tqvYAA    false            null         
 0v7WC0000000Tv5YAE 01tWC00000DD1TlYAL BP-ETM-RMS-OPENSU    0tjWC0000000tqvYAA    false            null         
 0v7WC0000000Tv6YAE 01tWC00000DD1lHYAT BP-TSE-RMS-SOCIMC    0tjWC0000000tqvYAA    false            null         
 0v7WC0000000Tv7YAE 01tWC00000DD1lLYAT BP-TSE-RMS-SOCIMS    0tjWC0000000tqvYAA    false            null         
 0v7WC0000000Tv8YAE 01tWC00000DD1lJYAT BP-TSE-RMS-SOCIMP    0tjWC0000000tqvYAA    false            null         
 0v7WC0000000Tv9YAE 01tWC00000DD1lKYAT BP-TSE-RMS-SOCIMR    0tjWC0000000tqvYAA    false            null         
 0v7WC0000000TvAYAU 01tWC00000DD10iYAD HRM-HRM-RSL-SAPS     0tjWC0000000tqvYAA    false            null         
 0v7WC0000000TvBYAU 01tWC00000DD17PYAT HRM-HRM-RSL-CLSAAS   0tjWC0000000tqvYAA    false            null         
 0v7WC0000000TvCYAU 01tWC00000DD17QYAT HRM-HRM-RSL-CLSACH   0tjWC0000000tqvYAA    false            null         
 0v7WC0000000TvFYAU 01tWC00000DD1fiYAD HRM-HRM-RSL-SEAW     0tjWC0000000tqvYAA    false            null         
 0v7WC0000000TvGYAU 01tWC00000DD1LiYAL HRM-HRM-RSL-GDPRS    0tjWC0000000tqvYAA    false            null         
 0v7WC0000000UAzYAM 01tWC00000DD1RJYA1 HRM-HRM-RSL-MICROL   0tjWC0000000tqvYAA    false            null         
 0v7WC0000000UB0YAM 01tWC00000DD1RoYAL HRM-HRM-RSL-NANOLE   0tjWC0000000tqvYAA    false            null         
Total number of records retrieved: 26.
