 ›   Warning: @salesforce/cli update available from 2.64.8 to 2.137.7.
Querying Data... done
Id,OrderId,Order.OrderNumber,Product2.Name,Product2.Fortra_Product_Type__c,Fortra_Product_Type__c,Base_Price__c,Source_List_Price__c,Original_Order_Item__c,Quantity,UnitPrice,ListPrice
802WC00000LXvJbYAL,801WC00000eiL9oYAE,00004756,5250 Integrator,Perpetual,Perpetual,,,802WC00000LXvJZYA1,1,3675,3675
802WC00000LXvJaYAL,801WC00000eiL9oYAE,00004756,5250 Integrator,Perpetual,Perpetual,,,802WC00000LXvJZYA1,1,3675,3675
802WC00000LtnycYAB,801WC00000fDSesYAG,00004775,5250 Integrator,Perpetual,Perpetual,,,802WC00000LtnybYAB,1,3675,3675
802WC00000LtnydYAB,801WC00000fDSesYAG,00004775,5250 Integrator,Perpetual,Perpetual,,,802WC00000LtnybYAB,1,3675,3675
802WC00000LyFmTYAV,801WC00000fuLa4YAE,00004783,5250 Integrator,Perpetual,,,,802WC00000LyFbBYAV,1,3675,3675
802WC00000LyFmUYAV,801WC00000fuLa4YAE,00004783,5250 Integrator,Perpetual,,,,802WC00000LyFbBYAV,1,3675,3675
802WC00000LyFmVYAV,801WC00000fuLa5YAE,00004784,UAT Power Split Test - Order Line and Hardware --do not delete!,,,,,802WC00000LyFbCYAV,1,3675,3675
802WC00000LyFmWYAV,801WC00000fuLa5YAE,00004784,UAT Power Split Test - Order Line and Hardware --do not delete!,,,,,802WC00000LyFbCYAV,1,3675,3675
802WC00000Ly9VnYAJ,801WC00000fuRxHYAU,00004790,5250 Integrator,Subscription,Subscription,,,802WC00000Ly9VmYAJ,1,2021.25,2021.25
802WC00000Ly9VoYAJ,801WC00000fuRxHYAU,00004790,5250 Integrator,Subscription,Subscription,,,802WC00000Ly9VmYAJ,1,2021.25,2021.25
802WC00000LyESUYA3,801WC00000fuZgQYAU,00004793,5250 Integrator,Subscription,Subscription,,,802WC00000LyESTYA3,1,2021.25,2021.25
802WC00000LyESVYA3,801WC00000fuZgQYAU,00004793,5250 Integrator,Subscription,Subscription,,,802WC00000LyESTYA3,1,2021.25,2021.25
802WC00000LyOGIYA3,801WC00000fuokTYAQ,00004795,5250 Integrator,Subscription,Subscription,,,802WC00000LyOGHYA3,1,2021.25,2021.25
802WC00000LyOGJYA3,801WC00000fuokTYAQ,00004795,5250 Integrator,Subscription,Subscription,,,802WC00000LyOGHYA3,1,2021.25,2021.25
802WC00000LySTcYAN,801WC00000fup3TYAQ,00004798,5250 Integrator,Subscription,Subscription,,,802WC00000LySTaYAN,1,2021.25,2021.25
802WC00000LySTbYAN,801WC00000fup3TYAQ,00004798,5250 Integrator,Subscription,Subscription,,,802WC00000LySTaYAN,1,2021.25,2021.25
802WC00000LyOhiYAF,801WC00000fuse2YAA,00004796,5250 Integrator,Subscription,Subscription,,,802WC00000LyOhhYAF,1,2021.25,2021.25
802WC00000LyOhjYAF,801WC00000fuse2YAA,00004796,5250 Integrator,Subscription,Subscription,,,802WC00000LyOhhYAF,1,2021.25,2021.25
802WC00000LyPx8YAF,801WC00000fuwHpYAI,00004797,5250 Integrator,Subscription,Subscription,,,802WC00000LyPx7YAF,1,2021.25,2021.25
802WC00000LyPx9YAF,801WC00000fuwHpYAI,00004797,5250 Integrator,Subscription,Subscription,,,802WC00000LyPx7YAF,1,2021.25,2021.25
802WC00000M9boUYAR,801WC00000gEvJEYA0,00004805,5250 Integrator,Subscription,Subscription,,,802WC00000M9boTYAR,1,2021.25,2021.25
802WC00000M9boVYAR,801WC00000gEvJEYA0,00004805,5250 Integrator,Subscription,Subscription,,,802WC00000M9boTYAR,1,2021.25,2021.25
802WC00000MIXISYA5,801WC00000gPisJYAS,00004822,5250 Integrator,Perpetual,Perpetual,,,802WC00000MIXIRYA5,1,3675,3675
802WC00000MIXITYA5,801WC00000gPisJYAS,00004822,5250 Integrator,Perpetual,Perpetual,,,802WC00000MIXIRYA5,1,3675,3675
802WC00000MrnPNYAZ,801WC00000h6rAYYAY,00014777,Advanced Reporting Suite,Subscription,Subscription,,,802WC00000MrnPLYAZ,1,15,15
802WC00000MrnPOYAZ,801WC00000h6rAYYAY,00014777,Advanced Reporting Suite,Subscription,Subscription,,,802WC00000MrnPLYAZ,1,15,15
802WC00000MrnPPYAZ,801WC00000h6rAYYAY,00014777,Advanced Reporting Suite,Subscription,Subscription,,,802WC00000MrnPLYAZ,1,15,15
802WC00000MrnPQYAZ,801WC00000h6rAYYAY,00014777,Advanced Reporting Suite,Subscription,Subscription,,,802WC00000MrnPLYAZ,1,15,15
802WC00000MrnPRYAZ,801WC00000h6rAYYAY,00014777,Advanced Reporting Suite,Subscription,Subscription,,,802WC00000MrnPLYAZ,1,15,15
802WC00000MrnPSYAZ,801WC00000h6rAYYAY,00014777,Advanced Reporting Suite,Subscription,Subscription,,,802WC00000MrnPLYAZ,1,15,15
802WC00000MrnPTYAZ,801WC00000h6rAYYAY,00014777,Advanced Reporting Suite,Subscription,Subscription,,,802WC00000MrnPLYAZ,1,15,15
802WC00000MrnPUYAZ,801WC00000h6rAYYAY,00014777,Advanced Reporting Suite,Subscription,Subscription,,,802WC00000MrnPLYAZ,1,15,15
802WC00000MrnPVYAZ,801WC00000h6rAYYAY,00014777,Advanced Reporting Suite,Subscription,Subscription,,,802WC00000MrnPLYAZ,1,15,15
802WC00000OHEX0YAP,801WC00000jzwl8YAA,00095316,5250 Integrator,Perpetual,Perpetual,,,802WC00000OHEWzYAP,1,3675,3675
802WC00000OHEX1YAP,801WC00000jzwl8YAA,00095316,5250 Integrator,Perpetual,Perpetual,,,802WC00000OHEWzYAP,1,3675,3675
802WC00000OHEX2YAP,801WC00000jzwl8YAA,00095316,5250 Integrator,Perpetual,Perpetual,,,802WC00000OHEWzYAP,1,3675,3675
802WC00000OHEX3YAP,801WC00000jzwl8YAA,00095316,5250 Integrator,Perpetual,Perpetual,,,802WC00000OHEWzYAP,1,3675,3675
802WC00000OQLFxYAP,801WC00000kEEdKYAW,00095351,5250 Integrator,Perpetual,Perpetual,,,802WC00000OQLFwYAP,1,3675,3675
802WC00000OQLFyYAP,801WC00000kEEdKYAW,00095351,5250 Integrator,Perpetual,Perpetual,,,802WC00000OQLFwYAP,1,3675,3675
802WC00000OUUPSYA5,801WC00000kJkcXYAS,00095362,5250 Integrator,Perpetual,Perpetual,,,802WC00000OUUPRYA5,1,3675,3675
